wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
6171.542,4.204,-2.209,c3D,w3D*,29,98,c3D,w3D*,c,c,label,label,True
6171.627,4.44,-4.636,c3F,t5D*,32,105,c3F,t5D*,c,c,label,label,True
6172.04,4.106,-1.275,b3F,x3D*,26,85,b3F,x3D*,c,c,label,label,True
6172.768,3.556,-4.997,a3D,v5P*,18,55,a3D,v5P*,c,c,label,label,True
6173.828,3.556,-3.693,a3D,v5P*,18,55,a3D,v5P*,c,c,label,label,True
6174.426,1.004,-7.867,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6176.025,1.004,-7.521,a5D,b5D*,3,0,a5D,none,c,x,label,label-absent->energy-route-disabled,False
6178.378,3.432,-9.571,2H,2F*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6178.409,3.845,-4.419,b3D,x5G*,20,71,b3D,x5G*,c,c,label,label,True
6178.764,4.449,-6.841,b3H,t5D*,33,105,b3H,t5D*,c,c,label,label,True
6179.146,3.85,-5.194,a3I,x5G*,21,71,a3I,x5G*,c,c,label,label,True
6179.489,4.575,-7.514,e7S,r5F*,36,111,e7S,r5F*,c,c,label,label,True
6180.373,4.159,-5.973,z5D*,e3F,27,94,z5D*,e3F,c,c,label,label,True
