wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
6664.255,4.468,-6.676,z3F*,h5S,34,101,z3F*,h5S,c,c,label,label,True
6666.151,3.887,-2.882,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
6667.428,3.888,-2.838,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
6668.637,3.845,-2.536,b3D,y3F*,20,62,b3D,y3F*,c,c,label,label,True
6669.093,3.89,-2.917,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
6669.281,4.175,-0.559,z5D*,f5D,27,84,z5D*,f5D,c,c,label,label,True
6670.425,4.239,-9.002,z3P*,g7S,30,86,z3P*,g7S,c,c,label,label,True
6671.48,3.889,-2.307,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
6672.393,2.129,-12.69,3P2,1D2*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6672.393,2.129,-9.439,3P2,1D2*,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
6672.669,4.532,-9.981,d3F,7P*,35,0,d3F,none,c,x,label,label-absent->energy-route-disabled,False
6673.961,4.532,-8.31,d3F,7P*,35,0,d3F,none,c,x,label,label-absent->energy-route-disabled,False
6677.218,3.847,-1.524,b3D,y3F*,20,62,b3D,y3F*,c,c,label,label,True
6679.282,3.422,-6.614,b3G,z5G*,16,48,b3G,z5G*,c,c,label,label,True
6680.276,4.159,-0.846,z5D*,f5D,27,84,z5D*,f5D,c,c,label,label,True
6683.5,3.98,-6.084,a1I,y3G*,25,69,a1I,y3G*,c,c,label,label,True
6683.823,3.845,-2.075,b3D,y3F*,20,62,b3D,y3F*,c,c,label,label,True
6684.097,4.535,-8.75,d3F,7P*,35,0,d3F,none,c,x,label,label-absent->energy-route-disabled,False
6685.453,4.099,-3.192,b3F,u5F*,26,78,b3F,u5F*,c,c,label,label,True
6688.976,3.887,-3.215,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
6689.585,3.435,-7.26,b3G,x5D*,16,49,b3G,x5D*,c,c,label,label,True
6690.262,3.888,-2.573,a5F,w5D*,23,64,a5F,w5D*,c,c,label,label,True
