wave_A,ep_eV,loggf,term_low,term_up,level_low,level_up,label_low,label_up,flag_low,flag_up,reason_low,reason_up,nlte
4368.107,3.909,-3.103,a2D,z4D*,159,186,a2D,z4D*,c,c,label,label,True
4368.596,7.773,-2.321,e2G,v2G*,191,238,e2G,v2G*,c,c,label,label,True
4371.025,7.774,-1.677,e2G,v2G*,191,238,e2G,v2G*,c,c,label,label,True
4374.61,5.67,-3.132,c2D,z2F*,176,208,c2D,z2F*,c,c,label,label,True
4391.791,5.493,-2.369,b2S,y4F*,175,201,b2S,y4F*,c,c,label,label,True
4414.758,5.319,-2.965,b2D,z2G*,174,197,b2D,z2G*,c,c,label,label,True
4427.149,5.874,-3.547,d2D,2D*,178,0,d2D,none,c,x,label,label-absent->energy-route-disabled,False
4428.424,5.67,-3.266,c2D,z4S*,176,206,c2D,z4S*,c,c,label,label,True
4430.429,5.493,-2.647,b2S,z2P*,175,200,b2S,z2P*,c,c,label,label,True
4433.52,5.871,-3.382,d2D,y2G*,178,212,d2D,y2G*,c,c,label,label,True
4447.429,8.348,-2.775,y4G*,f4D,202,251,y4G*,f4D,c,c,label,label,True
4456.895,3.104,-4.426,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4457.302,4.012,-4.341,a2F,z4D*,160,186,a2F,z4D*,c,c,label,label,True
4465.73,6.487,-1.279,d2G,x2H*,184,220,d2G,x2H*,c,c,label,label,True
4474.562,5.493,-3.093,b2S,z2P*,175,200,b2S,z2P*,c,c,label,label,True
4489.099,4.012,-2.997,a2F,z4D*,160,186,a2F,z4D*,c,c,label,label,True
4503.556,5.662,-3.098,c2D,x4D*,176,205,c2D,x4D*,c,c,label,label,True
4504.552,3.104,-4.524,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4506.053,6.484,-2.167,d2G,x4P*,184,222,d2G,x4P*,c,c,label,label,True
4507.083,4.042,-3.824,a2F,z4D*,160,186,a2F,z4D*,c,c,label,label,True
4507.205,3.105,-4.185,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4511.775,6.484,-1.375,d2G,x2H*,184,220,d2G,x2H*,c,c,label,label,True
4513.073,5.871,-3.559,d2D,4F*,178,0,d2D,none,c,x,label,label-absent->energy-route-disabled,False
4514.458,5.67,-2.728,c2D,x4D*,176,205,c2D,x4D*,c,c,label,label,True
4515.566,8.353,-1.306,y4G*,e4G,202,250,y4G*,e4G,c,c,label,label,True
4515.784,6.484,-1.974,d2G,x2F*,184,218,d2G,x2F*,c,c,label,label,True
4516.008,5.67,-3.675,c2D,x4D*,176,205,c2D,x4D*,c,c,label,label,True
4523.457,6.487,-2.078,d2G,2I*,184,0,d2G,none,c,x,label,label-absent->energy-route-disabled,False
4531.825,8.363,-1.104,y4F*,e4G,201,250,y4F*,e4G,c,c,label,label,True
4533.983,6.282,-2.645,d2F,x2G*,182,216,d2F,x2G*,c,c,label,label,True
4535.355,5.33,-4.108,b2D,z2S*,174,194,b2D,z2S*,c,c,label,label,True
4538.707,5.319,-3.532,b2D,y4D*,174,193,b2D,y4D*,c,c,label,label,True
4539.595,4.042,-2.29,a2F,z4D*,160,186,a2F,z4D*,c,c,label,label,True
4539.843,6.484,-2.395,d2G,w4F*,184,219,d2G,w4F*,c,c,label,label,True
4542.807,3.104,-4.673,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4544.688,3.105,-4.176,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4545.505,3.105,-4.498,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4546.624,7.773,-1.279,e2G,u2F*,191,237,e2G,u2F*,c,c,label,label,True
4548.05,6.282,-3.617,d2F,x2G*,182,216,d2F,x2G*,c,c,label,label,True
4549.216,5.874,-4.232,d2D,2D*,178,0,d2D,none,c,x,label,label-absent->energy-route-disabled,False
4549.255,7.774,-2.517,e2G,u2F*,191,237,e2G,u2F*,c,c,label,label,True
4549.965,8.351,-1.381,y4G*,e4G,202,250,y4G*,e4G,c,c,label,label,True
4552.271,6.285,-2.67,d2F,x2G*,182,216,d2F,x2G*,c,c,label,label,True
4554.661,5.493,-4.074,b2S,y4P*,175,199,b2S,y4P*,c,c,label,label,True
4554.988,4.071,-1.282,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4558.31,8.356,-1.272,y4F*,e4G,201,250,y4F*,e4G,c,c,label,label,True
4558.65,4.073,-0.449,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4558.783,4.074,-2.53,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4564.27,7.774,-1.369,e2G,u2F*,191,237,e2G,u2F*,c,c,label,label,True
4565.74,4.042,-1.82,a2F,z4D*,160,186,a2F,z4D*,c,c,label,label,True
4571.241,3.104,-4.359,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4572.79,3.105,-4.604,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4572.826,7.386,-2.386,e2F,v2F*,190,231,e2F,v2F*,c,c,label,label,True
4573.616,3.105,-4.439,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4577.419,8.348,-1.465,y4G*,e4G,202,250,y4G*,e4G,c,c,label,label,True
4580.805,0.0,-8.891,a6S,a4P*,149,0,a6S,none,c,x,label,label-absent->energy-route-disabled,False
4581.138,0.0,-8.524,a6S,a4P*,149,0,a6S,none,c,x,label,label-absent->energy-route-disabled,False
4582.386,6.484,-2.646,d2G,x2F*,184,218,d2G,x2F*,c,c,label,label,True
4587.264,6.487,-1.651,d2G,x2F*,184,218,d2G,x2F*,c,c,label,label,True
4588.199,4.071,-0.627,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4588.399,3.104,-4.542,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4588.624,8.355,-1.459,z2D*,e4G,203,250,z2D*,e4G,c,c,label,label,True
4588.837,3.739,-5.273,a4H,z4F*,156,183,a4H,z4F*,c,c,label,label,True
4589.901,4.072,-2.42,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4589.96,3.105,-4.496,b4D,z6F*,154,177,b4D,z6F*,c,c,label,label,True
4592.049,4.074,-1.221,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4601.938,3.747,-3.914,a4H,z4F*,156,183,a4H,z4F*,c,c,label,label,True
4604.46,8.35,-1.649,y4G*,e4G,202,250,y4G*,e4G,c,c,label,label,True
4604.861,5.662,-2.672,c2D,z2D*,176,203,c2D,z2D*,c,c,label,label,True
4611.988,8.354,-1.624,z2D*,e4G,203,250,z2D*,e4G,c,c,label,label,True
4616.241,5.67,-2.346,c2D,z2D*,176,203,c2D,z2D*,c,c,label,label,True
4616.522,7.387,-2.401,e2F,v2F*,190,231,e2F,v2F*,c,c,label,label,True
4616.629,4.072,-1.361,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4618.803,4.074,-0.84,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4618.884,3.757,-4.009,a4H,z4F*,156,183,a4H,z4F*,c,c,label,label,True
4621.467,3.739,-4.245,a4H,z4F*,156,183,a4H,z4F*,c,c,label,label,True
4625.453,5.67,-3.336,c2D,y4G*,176,202,c2D,y4G*,c,c,label,label,True
4634.07,4.072,-0.99,b4F,z4D*,161,186,b4F,z4D*,c,c,label,label,True
4634.755,3.747,-4.36,a4H,z4F*,156,183,a4H,z4F*,c,c,label,label,True
4638.896,5.319,-4.164,b2D,y4D*,174,193,b2D,y4D*,c,c,label,label,True
4647.118,3.739,-4.807,a4H,z4F*,156,183,a4H,z4F*,c,c,label,label,True
4658.209,8.416,-1.565,x4D*,e4P,205,249,x4D*,e4P,c,c,label,label,True
4660.389,11.65,-1.486,6D*,6D,0,0,none,none,x,x,label-absent->energy-route-disabled,label-absent->energy-route-disabled,False
4669.379,8.415,-1.759,x4D*,e4P,205,249,x4D*,e4P,c,c,label,label,True
4669.907,8.415,-2.182,x4D*,e4P,205,249,x4D*,e4P,c,c,label,label,True
