wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
3006.83	3006.83	0.125	3.0	91900000.0	B	T5520,T6385	L3513	20.409133  -   24.531351	20.409133	-0.42596873227228116	10.0	3006.83
	3023.669	0.0934	1.0	22700000.0	B	T5520		22.103082  -   26.202344	22.103082	-1.0296531237699067	10.0	3023.669
	3062.83	1.49e-11	3.0	0.0318	C	T7333		0.00604   -    4.05289	0.00604	-10.349692476868064	25.0	3062.83
	3070.55	4.38e-14	5.0	0.000155	D	T7333		0.01622   -    4.05289	0.01622	-12.659555885159882	50.0	3070.55
	3125.92	0.000896	3.0	611000.0	D	T6385		20.409133  -   24.374310	20.409133	-2.5705707356182126	50.0	3125.92
	3176.87	1.41e-12	5.0	0.000933	D	T4899		1.89897   -    5.80055	1.89897	-11.1518108830086	50.0	3176.87
	3190.194	0.000504	3.0	330000.0	D	T6385		20.646058  -   24.531351	20.646058	-2.8204482088348124	50.0	3190.194
	3196.391	0.000192	5.0	209000.0	D	T6385		20.653592  -   24.531351	20.653592	-3.0177287669604316	50.0	3196.391
	3311.418	0.00299	3.0	1090000.0	B	T6385n		20.646058  -   24.389123	20.646058	-2.047207556955908	10.0	3311.418
	3318.097	0.0277	5.0	16800000.0	B	T6385n		20.653592  -   24.389123	20.653592	-0.8585502265995327	10.0	3318.097
	3324.575	0.0471	3.0	28400000.0	B	T6385n		20.646058  -   24.374310	20.646058	-0.8498578381514413	10.0	3324.575
	3328.724	0.116	7.0	97900000.0	B	T6385n		20.665518  -   24.389123	20.665518	-0.09044397075882467	10.0	3328.724
	3329.701	0.00335	5.0	2010000.0	D	T7333		17.877026  -   21.599539	17.877026	-1.7759851886271358	50.0	3329.701
	3330.317	0.0654	3.0	118000000.0	B	T6385n		20.646058  -   24.367883	20.646058	-0.7073009969560703	10.0	3330.317
	3331.307	0.0882	5.0	88300000.0	B	T6385n		20.653592  -   24.374310	20.653592	-0.35556141053216145	10.0	3331.307
