wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	51144.0	0.0176	4.0	29900.0	D+	u18,LS		13.000950   -   13.2433051	13.00095	-1.1524273408578878	40.0	51144.0
	51183.37	0.000558	6.0	2130.0	D+	u18,LS		12.9966572  -   13.2388265	12.9966572	-2.4752145506787775	40.0	51183.37
	52106.9	0.0088	4.0	21600.0	D+	u18,LS		13.000950   -   13.2388265	13.00095	-1.453457336521869	40.0	52106.9
	52644.9	0.00136	4.0	6530.0	D+	u18,LS		13.000950   -   13.2363957	13.00095	-2.26440110030182	40.0	52644.9
	52791.39	0.00196	2.0	2340.0	B	T5714n		12.1219574  -   12.3567502	12.1219574	-2.406713932979543	10.0	52791.39
	52833.1	0.0136	2.0	16200.0	D+	u18,LS		13.004219   -   13.2388265	13.004219	-1.5654310959658013	40.0	52833.1
	53382.2	0.0053	4.0	12400.0	C	u18,LS		13.6936867  -   13.9258810	13.6936867	-1.6736641390712486	25.0	53382.2
	53386.2	0.0134	2.0	31300.0	D+	u18,LS		13.004219   -   13.2363957	13.004219	-1.5718652059712113	40.0	53386.2
	53681.54	0.149	4.0	688000.0	D+	u18,LS		12.9706652  -   13.2015647	12.9706652	-0.22475374025976358	40.0	53681.54
	53746.3	0.0082	6.0	14200.0	C	u18,LS		13.019401   -   13.2500220	13.019401	-1.3080348972326397	25.0	53746.3
	53804.56	0.000214	4.0	492.0	B	T5714n		12.1263787  -   12.3567502	12.1263787	-3.067526235322847	10.0	53804.56
	53818.61	0.00167	4.0	2570.0	B	T5714n		12.1263787  -   12.3566901	12.1263787	-2.175223537524454	10.0	53818.61
	54009.1	0.0369	8.0	84300.0	C	u18,LS		13.0205230  -   13.2500220	13.020523	-0.529883646848996	25.0	54009.1
	54052.15	0.0316	6.0	108000.0	C	u18,LS		13.6965647  -   13.9258810	13.6965647	-0.7221616669979525	25.0	54052.15
	54127.83	0.0261	4.0	119000.0	C	u18,LS		13.6936867  -   13.9226824	13.6936867	-0.9812995013337567	25.0	54127.83
	54816.53	0.146	2.0	323000.0	D+	u18,LS		12.9754460  -   13.2015647	12.975446	-0.5346171485515817	40.0	54816.53
	54984.8	0.0148	4.0	21700.0	C	u18,LS		13.017878   -   13.2433051	13.017878	-1.2276782932770802	25.0	54984.8
	55010.45	0.501	2.0	552000.0	D+	u18,LS		13.6426905  -   13.8680121	13.6426905	0.0008677215312269133	40.0	55010.45
	55358.7	0.024	6.0	52300.0	C	u18,LS		13.019401   -   13.2433051	13.019401	-0.8416375079047503	25.0	55358.7
	55485.7	0.447	4.0	645000.0	D+	u18,LS		13.6511356  -   13.8745272	13.6511356	0.25236751445989886	40.0	55485.7
	55637.5	0.00596	8.0	17100.0	C	u18,LS		13.0205230  -   13.2433051	13.020523	-1.32166375326782	25.0	55637.5
	55727.2	0.0209	2.0	22400.0	C	u18,LS		13.016403   -   13.2388265	13.016403	-1.3788237182249647	25.0	55727.2
