wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
3000.0623	3000.06156	0.0031	8.0	3000000.0	D+	T6892c83	L18349c139	3.81430861  -    7.9458259	3.81430861	-1.6055483191737838	40.0	3000.0623
3000.075	3000.08464		6.0				L18349c142	9.8300771   -   13.9615627	9.8300771			3000.075
3000.247	3000.2444	0.0055	12.0	4900000.0	D+	T6892c83	L18349c139	9.1256755   -   13.2569411	9.1256755	-1.1804560644581312	40.0	3000.247
3000.295	3000.2871		4.0				L18349c143	9.4388507   -   13.5700574	9.4388507			3000.295
3000.295	3000.29083	0.0022	2.0	800000.0	D	T6892c83	L18349c143	7.1388229   -   11.2700245	7.1388229	-2.3565473235138126	50.0	3000.295
3000.755	3000.75474		10.0				L18349c143	9.0996679   -   13.2302308	9.0996679			3000.755
3001.123	3001.13283	0.0066	8.0	4900000.0	D+	T6892c83	L18349c143	8.2297382   -   12.3597808	8.2297382	-1.2773660774661877	40.0	3001.123
3001.31	3001.31565	0.0065	4.0	10000000.0	D+	T6892c83	L18349c143	8.2589171   -   12.3887082	8.2589171	-1.585026652029182	40.0	3001.31
3001.4003	3001.39927	0.035	2.0	13000000.0	D+	T6892c83	L18349c139	8.0349812   -   12.1646572	8.0349812	-1.154901959985743	40.0	3001.4003
3001.601	3001.59564	0.0052	4.0	3900000.0	D+	T6892c83	L18349c142	8.2589171   -   12.3883229	8.2589171	-1.6819366650372385	40.0	3001.601
3001.972	3001.97089	0.0055	6.0	4100000.0	D+	T6892c83	L18349c143	8.2477153   -   12.3766049	8.2477153	-1.4814860601221125	40.0	3001.972
3002.317	3002.31926	0.0036	6.0	2000000.0	D+	T6892c83	L18349c143	3.9441623   -    8.0725728	3.9441623	-1.665546248849069	40.0	3002.317
3002.64344	3002.64448	0.036	4.0	17900000.0	C+	T7589	L18349c148	1.69526130  -    5.82322475	1.6952613	-0.8416375079047503	18.0	3002.64344
