wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
3781.186	3781.18615	0.0023	5.0	765000.0	C	T5720	L11631	2.19786640  -   5.47591165	2.1978664	-1.9393021596463884	25.0	3781.186
3781.9396	3781.9394	0.011	5.0	3800000.0	E	T2578n	L11631	3.63977237  -   6.91716472	3.63977237	-1.2596373105057561	100.0	3781.9396
3782.117	3782.1127		3.0				L11631	3.41489715  -   6.6921394	3.41489715			3782.117
3782.4487	3782.44784	0.00253	7.0	1180000.0	C	T5720	L11631	2.99804479  -   6.27499663	2.99804479	-1.7517814388099253	25.0	3782.4487
3782.6093	3782.6093		3.0				L11631	3.07133880  -   6.34815078	3.0713388			3782.6093
3785.7061	3785.706	0.00324	13.0	1510000.0	C+	T5720	L11631	3.23672008  -   6.51085164	3.23672008	-1.375511637486551	18.0	3785.7061
3785.7862	3785.78819		5.0				L11631	3.41695281  -   6.69101333	3.41695281			3785.7862
3785.9481	3785.9479	0.0105	11.0	4140000.0	B+	T5720	L11631	2.43269470  -   5.70661711	2.4326947	-0.9374180157718369	7.0	3785.9481
3786.1491	3786.14893	0.00964	5.0	3200000.0	B	T5720	L11631	2.83159117  -   6.10533975	2.83159117	-1.3169529617611504	10.0	3786.1491
3786.1867	3786.18693	0.028	5.0	13000000.0	D	T2578n	L11631	2.83159117  -   6.10530689	2.83159117	-0.8538719643217619	50.0	3786.1867
3786.6766	3786.67669	0.00199	3.0	2770000.0	A	T3548	L11631	1.01105568  -   4.28434800	1.01105568	-2.224025668870631	3.0	3786.6766
3787.163	3787.1636	0.021	5.0	9900000.0	D	T2491n	L11631	3.63977237  -   6.9126439	3.63977237	-0.9788107009300618	50.0	3787.163
3787.8799	3787.87991	0.0461	3.0	12900000.0	A	T3548	L11631	1.01105568  -   4.28330826	1.01105568	-0.8591778198906894	3.0	3787.8799
3789.1758	3789.17552	0.00569	9.0	2160000.0	B	T5720	L11631	2.72754450  -   5.99867825	2.7275445	-1.290645224165604	10.0	3789.1758
3789.5736	3789.57382		5.0				L11631	2.60850194  -   5.87929188	2.60850194			3789.5736
3789.8189	3789.81618	0.0069	9.0	4100000.0	E	T2578n	L11631	3.36825640  -   6.63883718	3.3682564	-1.2069083998234198	100.0	3789.8189
3790.0927	3790.09277	0.00347	5.0	2680000.0	A	T3548	L11631	0.99011115  -   4.26045326	0.99011115	-1.7607005208731075	3.0	3790.0927
3790.2384	3790.23791		9.0				L11631	2.55917148  -   5.82938837	2.55917148			3790.2384
3790.412	3790.4101		7.0				L11631	3.88350907  -   7.15357742	3.88350907			3790.412
3790.4952	3790.49515		7.0				L11631	3.39650880  -   6.66650376	3.3965088			3790.4952
3790.6544	3790.65368	0.0057	5.0	4410000.0	C	T5720	L11631	3.03847046  -   6.30832866	3.03847046	-1.5451551399914898	25.0	3790.6544
3790.7538	3790.75401	0.00208	7.0	965000.0	D+	T5720	L11631	2.17594512  -   5.44571679	2.17594512	-1.8368386250229816	40.0	3790.7538
3791.5055	3791.50536	0.00117	9.0	446000.0	C+	T5720	L11631	2.55917148  -   5.82829520	2.55917148	-1.9775716288145135	18.0	3791.5055
3791.7421	3791.74178	0.0086	5.0	6700000.0	E	T2578n	L11631	3.41695281  -   6.68587270	3.41695281	-1.3665315444204136	100.0	3791.7421
3792.1542	3792.15386	0.00416	9.0	1930000.0	B	T5720	L11631	2.72754450  -   5.99610917	2.7275445	-1.4266641599339325	10.0	3792.1542
3792.8264	3792.8272	0.00106	3.0	296000.0	C	T5720	L11631	2.22271209  -   5.49069652	2.22271209	-2.4975728800155674	25.0	3792.8264
3793.3531	3793.35423		5.0				L11631	3.03847046  -   6.30600086	3.03847046			3793.3531
3793.4804	3793.48018	0.0171	7.0	7920000.0	B	T5720	L11631	2.99804479  -   6.26546671	2.99804479	-0.9219058495935893	10.0	3793.4804
3793.5869	3793.58469		7.0				L11631	3.39650880  -   6.66384071	3.3965088			3793.5869
3793.8714	3793.8712	0.0132	3.0	6130000.0	B	T5720	L11631	2.84504259  -   6.11212776	2.84504259	-1.4023048140744878	10.0	3793.8714
3794.3395	3794.3392	0.011	9.0	4150000.0	B+	T5720	L11631	2.45343044  -   5.72011266	2.45343044	-1.00436480540245	7.0	3794.3395
3795.0019	3795.00205	0.0347	5.0	11500000.0	A	T3548	L11631	0.99011115  -   4.25622280	0.99011115	-0.7607005208731075	3.0	3795.0019
3797.5146	3797.5145	0.0989	13.0	45700000.0	B+	T5720	L11631	3.23672008  -   6.50067093	3.23672008	0.10913964390401619	7.0	3797.5146
3797.9489	3797.94887	0.00145	7.0	937000.0	C+	T5720	L11631	2.58810592  -   5.85168345	2.58810592	-1.9935339577507682	18.0	3797.9489
3798.5111	3798.51096	0.00855	9.0	3230000.0	A	T3548	L11631	0.91460217  -   4.17769679	0.91460217	-1.1137913758325024	3.0	3798.5111
3799.5473	3799.54711	0.0204	7.0	7310000.0	A	T3548	L11631	0.95815732  -   4.22036211	0.95815732	-0.8452717925598444	3.0	3799.5473
3801.6791	3801.67922	0.019	5.0	6260000.0	C+	T5720	L11631	2.83159117  -   6.09196644	2.83159117	-1.0222763947111522	18.0	3801.6791
3801.8084	3801.80862		3.0				L11631	2.84504259  -   6.10530689	2.84504259			3801.8084
3801.9837	3801.98342	0.0095	11.0	3700000.0	E	T2578n	L11631	3.33201954  -   6.59213395	3.33201954	-0.9808837095529273	100.0	3801.9837
3802.2786	3802.2778	0.0122	5.0	5630000.0	C+	T5720	L11631	3.30092244  -   6.56078442	3.30092244	-1.2146701649892329	18.0	3802.2786
3804.0092	3804.00898	0.0082	11.0	4600000.0	D	T2491n	L11631	3.33201954  -   6.59039805	3.33201954	-1.0447934624580582	50.0	3804.0092
3804.6108	3804.60834		3.0				L11631	3.27398440  -   6.53184961	3.2739844			3804.6108
3804.7911	3804.7877		7.0				L11631	3.01762252  -   6.27533411	3.01762252			3804.7911
3805.342	3805.34158		5.0				L11631	3.41695281  -   6.67419029	3.41695281			3805.342
3805.342	3805.342	0.228	9.0	86000000.0	B+	T5720	L11631	3.30140276  -   6.5586399	3.30140276	0.3121773564397787	7.0	3805.342
3805.789	3805.7881		5.0				L11631	4.20888328  -   7.4657386	4.20888328			3805.789
3806.2164	3806.2165	0.055	3.0	25000000.0	D+	T2491n	L11631	3.41489715  -   6.67138589	3.41489715	-0.7825160557860937	40.0	3806.2164
3806.6954	3806.6953	0.0945	11.0	43500000.0	B+	T5720	L11631	3.26711257  -   6.52319179	3.26711257	0.016824493667488026	7.0	3806.6954
3806.7601	3806.76019		7.0				L11631	2.58810592  -   5.84412959	2.58810592			3806.7601
3807.5366	3807.53675	0.034	3.0	9370000.0	C+	T5720	L11631	2.22271209  -   5.47807170	2.22271209	-0.9913998282380824	18.0	3807.5366
3808.2807	3808.2814	0.00231	5.0	759000.0	C+	T5720	L11631	3.01725044  -   6.27197352	3.01725044	-1.9374180157718368	18.0	3808.2807
3808.7283	3808.7283	0.0077	9.0	3540000.0	B	T4293	L11631	2.55917148  -   5.81351269	2.55917148	-1.1592667653881932	10.0	3808.7283
3809.0396	3809.0399	0.011	1.0	1700000.0	E	T2578n	L11631	2.85805275  -   6.11212776	2.85805275	-1.958607314841775	100.0	3809.0396
3809.5641	3809.56388	0.004	7.0	1430000.0	C+	T5720	L11631	2.99804479  -   6.25167222	2.99804479	-1.5528419686577808	18.0	3809.5641
3810.7554	3810.7555	0.0254	5.0	19400000.0	C+	T5720	L11631	3.30092244  -   6.55353246	3.30092244	-0.8961962790440431	18.0	3810.7554
3811.0348	3811.03432	0.000548	9.0	206000.0	C+	T5720	L11631	2.72754450  -   5.97991659	2.7275445	-2.306976932076306	18.0	3811.0348
3811.8042	3811.80404		9.0				L11631	3.36825640  -   6.61997175	3.3682564			3811.8042
3811.8907	3811.8907	0.00549	7.0	2520000.0	B+	T5720	L11631	2.75857762  -   6.01021907	2.75857762	-1.4153296155356512	7.0	3811.8907
	3812.07789	1.2e-11	9.0	0.007	E	T6409		0.0000000   -   3.25148176	0.0	-9.96657624451305	100.0	3812.07789
	3812.07789	2.4e-11	9.0	0.014	E	T6409		0.0000000   -   3.25148176	0.0	-9.665546248849068	100.0	3812.07789
3812.9643	3812.96424	0.0123	7.0	7910000.0	A	T3548	L11631	0.95815732  -   4.20888328	0.95815732	-1.0649968485463452	3.0	3812.9643
3813.0578	3813.05775	0.012	7.0	5520000.0	B	T5720	L11631	2.58810592  -   5.83875215	2.58810592	-1.0757207139381184	10.0	3813.0578
