wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	906.20741	0.00615	4.0	99900000.0	D+	T5723LS		0.0000000  -   13.6816580	0.0	-1.609064892896621	40.0	906.20741
	906.4316	0.0123	4.0	99900000.0	D+	T5723LS		0.0000000  -   13.6782741	0.0	-1.3080348972326397	40.0	906.4316
	906.61853	0.0184	4.0	99800000.0	D+	T5723LS		0.0000000  -   13.6754539	0.0	-1.1331221856625011	40.0	906.61853
909.697	909.69742	0.00545	4.0	29300000.0	D+	T5723LS	L3513	0.0000000  -   13.6291690	0.0	-1.6615435063953952	40.0	909.697
910.278	910.27824	0.00363	4.0	29200000.0	D+	T5723LS	L3513	0.0000000  -   13.6204726	0.0	-1.838033383635925	40.0	910.278
910.645	910.64536	0.00182	4.0	29200000.0	D+	T5723LS	L3513	0.0000000  -   13.6149817	0.0	-2.137868620686963	40.0	910.645
	951.07924	0.000169	4.0	829000.0	B	T7370		0.0000000  -   13.0361586	0.0	-3.170053304058364	10.0	951.07924
	951.29485	2.32e-05	4.0	171000.0	B	T7370		0.0000000  -   13.0332041	0.0	-4.032452023781138	10.0	951.29485
	952.3034	0.00229	4.0	11200000.0	B	T7370		0.0000000  -   13.019401	0.0	-2.0381045263321496	10.0	952.3034
	952.4148	0.00197	4.0	14500000.0	B	T7370		0.0000000  -   13.017878	0.0	-2.1034737825104446	10.0	952.4148
	952.5227	0.000518	4.0	7620000.0	B	T7370		0.0000000  -   13.016403	0.0	-2.6836102489268048	10.0	952.5227
953.415	953.4152	0.0129	4.0	190000000.0	B	T7370	L3513	0.0000000  -   13.004219	0.0	-1.2873502983727887	10.0	953.415
953.655	953.6549	0.0247	4.0	181000000.0	B	T7370	L3513	0.0000000  -   13.000950	0.0	-1.005243055412372	10.0	953.655
953.97	953.9699	0.0331	4.0	162000000.0	B	T7370	L3513	0.0000000  -   12.9966572	0.0	-0.8781120148963188	10.0	953.97
	954.10416	0.004	4.0	19500000.0	B+	T7370		0.0000000  -   12.9948285	0.0	-1.7958800173440752	7.0	954.10416
	955.2644	6.92e-05	4.0	337000.0	B+	T7370		0.0000000  -   12.9790453	0.0	-3.55783391421528	7.0	955.2644
	955.43717	1.91e-06	4.0	14000.0	B+	T7370		0.0000000  -   12.9766983	0.0	-5.11690664142431	7.0	955.43717
	955.52938	1.8e-05	4.0	263000.0	B	T7370		0.0000000  -   12.9754460	0.0	-4.142667503568732	10.0	955.52938
	955.88157	5.88e-05	4.0	429000.0	B	T7370		0.0000000  -   12.9706652	0.0	-3.628562682595899	10.0	955.88157
	959.49373	5.18e-05	4.0	375000.0	B+	T7370		0.0000000  -   12.9218353	0.0	-3.6836102489268048	7.0	959.49373
	960.20138	1.16e-05	4.0	169000.0	B+	T7370		0.0000000  -   12.9123120	0.0	-4.333482019445119	7.0	960.20138
963.99	963.9903	0.0124	4.0	59400000.0	A	T7370	L3513	0.0000000  -   12.861560	0.0	-1.3045183235098026	3.0	963.99
964.626	964.6256	0.0079	4.0	56600000.0	A	T7370	L3513	0.0000000  -   12.853090	0.0	-1.5003129173815961	3.0	964.626
965.041	965.0413	0.00386	4.0	55200000.0	A	T7370	L3513	0.0000000  -   12.847554	0.0	-1.8113527040002826	3.0	965.041
	980.623	0.048	6.0	333000000.0	C+	T5714		2.3835298  -   15.02695	2.3835298	-0.5406075122407691	18.0	980.623
	980.706	0.00495	4.0	22900000.0	C+	T5714		2.3846100  -   15.02695	2.38461	-1.7033348097384688	18.0	980.706
	989.265	0.00973	6.0	99500000.0	C	T5714		2.3835298  -   14.91649	2.3835298	-1.2337359093480045	25.0	989.265
	989.335	0.00822	4.0	112000000.0	C	T5714		2.3846100  -   14.91669	2.38461	-1.4830681911319872	25.0	989.335
	989.35	0.0016	4.0	10900000.0	C	T5714		2.3846100  -   14.91649	2.38461	-2.193820026016113	25.0	989.35
	990.773	0.00244	6.0	24900000.0	C+	T5714		2.3835298  -   14.89742	2.3835298	-1.834458923277627	18.0	990.773
	990.829	0.0346	6.0	235000000.0	C+	T5714		2.3835298  -   14.89671	2.3835298	-0.6827726508235797	18.0	990.829
	990.858	0.0333	4.0	226000000.0	C+	T5714		2.3846100  -   14.89742	2.38461	-0.8754957751657177	18.0	990.858
	990.914	0.00364	4.0	16500000.0	C+	T5714		2.3846100  -   14.89671	2.38461	-1.8368386250229816	18.0	990.914
	1000.145	0.000392	6.0	3920000.0	C	T5714		2.3835298  -   14.78016	2.3835298	-2.628562682595899	25.0	1000.145
	1000.145	0.00558	6.0	37200000.0	C+	T5714		2.3835298  -   14.78016	2.3835298	-1.4752145506787777	18.0	1000.145
	1000.232	0.000612	4.0	2720000.0	C	T5714		2.3846100  -   14.78016	2.38461	-2.6111885865264766	25.0	1000.232
	1000.232	0.00543	4.0	36200000.0	C+	T5714		2.3846100  -   14.78016	2.38461	-1.6631401790831906	18.0	1000.232
	1003.37221	2.81e-08	4.0	186.0	B	T7370		0.0000000  -   12.3567502	0.0	-6.949233688766958	10.0	1003.37221
	1003.3771	1.9e-07	4.0	840.0	B	T7370		0.0000000  -   12.3566901	0.0	-6.119186407719209	10.0	1003.3771
1067.614	1067.61443	0.00804	6.0	35300000.0	C	u18,LS	L3513	2.3835298  -   13.9967297	2.3835298	-1.316592700867905	25.0	1067.614
	1068.51244	0.000401	6.0	2340000.0	D+	u18,LS		2.3835298  -   13.9869696	2.3835298	-2.618704376996174	40.0	1068.51244
1068.612	1068.61193	0.00842	4.0	32800000.0	C	u18,LS	L3513	2.3846100  -   13.9869696	2.38461	-1.4726279171723882	25.0	1068.612
	1082.706	0.0332	4.0	126000000.0	C+	T5714		3.5756182  -   15.02695	3.5756182	-0.8768019249680014	18.0	1082.706
	1090.191	0.0117	2.0	65500000.0	C	u18,LS		3.5755704  -   14.94828	3.5755704	-1.630784142589857	25.0	1090.191
	1090.195	0.0117	4.0	131000000.0	C	u18,LS		3.5756182  -   14.94828	3.5756182	-1.329754146925876	25.0	1090.195
	1093.227	0.0141	2.0	78800000.0	C	T5714		3.5755704  -   14.91669	3.5755704	-1.5497508916806388	25.0	1093.227
	1093.232	0.00345	4.0	38500000.0	C	T5714		3.5756182  -   14.91669	3.5756182	-1.8601209135987635	25.0	1093.232
	1093.246	0.00713	2.0	19900000.0	C	T5714		3.5755704  -   14.91649	3.5755704	-1.8458804744841533	25.0	1093.246
	1093.251	0.0178	4.0	99600000.0	C	T5714		3.5756182  -   14.91649	3.5756182	-1.1475200063631437	25.0	1093.251
	1095.088	0.000414	2.0	1150000.0	C	T5714		3.5755704  -   14.89742	3.5755704	-3.0819696632151197	25.0	1095.088
	1095.161	0.000378	4.0	1400000.0	C	T5714		3.5756182  -   14.89671	3.5756182	-2.8204482088348124	25.0	1095.161
1097.237	1097.23718	0.0153	6.0	63500000.0	C	u18,LS	L3513	2.3835298  -   13.6832014	2.3835298	-1.0371573187987575	25.0	1097.237
1098.095							L3513					1098.095
	1098.15482	0.000765	6.0	4230000.0	C	u18,LS		2.3835298  -   13.6737591	2.3835298	-2.338187314462739	25.0	1098.15482
1098.26	1098.25991	0.016	4.0	59100000.0	C	u18,LS	L3513	2.3846100  -   13.6737591	2.38461	-1.193820026016113	25.0	1098.26
1100.36	1100.35974	0.00436	6.0	36000000.0	D+	u18,LS	L3513	2.3835298  -   13.6511356	2.3835298	-1.5823622603477703	40.0	1100.36
1100.465	1100.46525	0.000726	4.0	4000000.0	D+	u18,LS	L3513	2.3846100  -   13.6511356	2.38461	-2.537003387971944	40.0	1100.465
1101.291	1101.29074	0.00363	4.0	39900000.0	D+	u18,LS	L3513	2.3846100  -   13.6426905	2.38461	-1.838033383635925	40.0	1101.291
	1106.549	0.00112	2.0	3040000.0	C	T5714		3.5755704  -   14.78016	3.5755704	-2.6497519816658373	25.0	1106.549
	1106.553	0.000969	4.0	3520000.0	C+	T5714		3.5756182  -   14.78016	3.5756182	-2.4116162316212724	18.0	1106.553
	1106.553	0.000136	4.0	739000.0	C	T5714		3.5756182  -   14.78016	3.5756182	-3.26440110030182	25.0	1106.553
1134.165	1134.16529	0.0146	4.0	151000000.0	B	T7370	L3513	0.0000000  -   10.9317574	0.0	-1.2335871528876006	10.0	1134.165
1134.415	1134.41489	0.0287	4.0	149000000.0	B	T7370	L3513	0.0000000  -   10.9293522	0.0	-0.9400581119380453	10.0	1134.415
1134.98	1134.98025	0.0416	4.0	144000000.0	B	T7370	L3513	0.0000000  -   10.9239080	0.0	-0.7788466780452948	10.0	1134.98
1143.65							L3513					1143.65
	1159.81685	9.96e-06	4.0	49400.0	A	T7370		0.0000000  -   10.6899808	0.0	-4.399680670248339	3.0	1159.81685
	1160.93657	2.75e-06	4.0	27200.0	A	T7370		0.0000000  -   10.6796703	0.0	-4.958607314841775	3.0	1160.93657
1163.884	1163.88358	0.0066	6.0	32500000.0	B	T7370	L3513	2.3835298  -   13.0361586	2.3835298	-1.4023048140744878	10.0	1163.884
	1164.00162	7.7e-05	4.0	253000.0	B	T7370		2.3846100  -   13.0361586	2.38461	-3.5114492834995557	10.0	1164.00162
1164.206	1164.20648	0.000404	6.0	2980000.0	B	T7370	L3513	2.3835298  -   13.0332041	2.3835298	-2.6154673845057514	10.0	1164.206
1164.325	1164.32459	0.00573	4.0	28200000.0	B	T7370	L3513	2.3846100  -   13.0332041	2.38461	-1.6397853867046477	10.0	1164.325
	1165.59441	0.00046	6.0	1690000.0	B	T7370		2.3835298  -   13.0205230	2.3835298	-2.5590909179347823	10.0	1165.59441
	1165.7174	1.69e-05	6.0	83100.0	B	T7370		2.3835298  -   13.019401	2.3835298	-3.9939620450026827	10.0	1165.7174
	1165.8358	6.08e-05	4.0	199000.0	B	T7370		2.3846100  -   13.019401	2.38461	-3.614036429399303	10.0	1165.8358
	1165.8843	3.3e-06	6.0	24300.0	B	T7370		2.3835298  -   13.017878	2.3835298	-4.703334809738469	10.0	1165.8843
	1166.0027	1.38e-05	4.0	67900.0	B	T7370		2.3846100  -   13.017878	2.38461	-4.2580609222708015	10.0	1166.0027
	1166.1645	8.5e-07	4.0	8400.0	C	T7370		2.3846100  -   13.016403	2.38461	-5.468521082957745	25.0	1166.1645
1167.448	1167.44846	0.0301	6.0	110000000.0	A	T7370	L3513	2.3835298  -   13.0036301	2.3835298	-0.743282254022513	3.0	1167.448
	1167.5025	5.1e-08	4.0	500.0	E	T7370		2.3846100  -   13.004219	2.38461	-6.690369832574102	100.0	1167.5025
	1167.7432	1.6e-06	6.0	11700.0	C	T7370		2.3835298  -   13.000950	2.3835298	-5.017728766960432	25.0	1167.7432
	1167.862	1.44e-05	4.0	70300.0	B+	T7370		2.3846100  -   13.000950	2.38461	-4.239577516576788	7.0	1167.862
	1168.21548	0.000266	6.0	1300000.0	B+	T7370		2.3835298  -   12.9966572	2.3835298	-2.796967112985289	7.0	1168.21548
1168.334	1168.3344	0.00381	4.0	12400000.0	B+	T7370	L3513	2.3846100  -   12.9966572	2.38461	-1.8170150329964183	7.0	1168.334
1168.417	1168.41681	0.000691	6.0	3380000.0	A	T7370	L3513	2.3835298  -   12.9948285	2.3835298	-2.382370702242158	3.0	1168.417
1168.536	1168.53578	0.0286	4.0	93200000.0	A	T7370	L3513	2.3846100  -   12.9948285	2.38461	-0.9415739755429946	3.0	1168.536
	1169.69344	0.000762	6.0	2790000.0	B+	T7370		2.3835298  -   12.9832471	2.3835298	-2.339893778276756	7.0	1169.69344
	1170.1573	6.23e-05	6.0	303000.0	B+	T7370		2.3835298  -   12.9790453	2.3835298	-3.427360702957187	7.0	1170.1573
	1170.27662	0.000943	4.0	3060000.0	B+	T7370		2.3846100  -   12.9790453	2.38461	-2.4234283159347094	7.0	1170.27662
	1170.41656	6.7e-06	6.0	49100.0	C	T7370		2.3835298  -   12.9766983	2.3835298	-4.39577394691553	25.0	1170.41656
	1170.53593	2.29e-05	4.0	111000.0	B+	T7370		2.3846100  -   12.9766983	2.38461	-4.03810452633215	7.0	1170.53593
	1170.67433	0.000602	4.0	5860000.0	C+	T7370		2.3846100  -   12.9754460	2.38461	-2.618343517414213	18.0	1170.67433
	1171.08352	0.00172	6.0	12500000.0	C+	T7370		2.3835298  -   12.9706652	2.3835298	-1.9863203027088074	18.0	1171.08352
	1171.20303	8.08e-05	4.0	393000.0	C+	T7370		2.3846100  -   12.9706652	2.38461	-3.4905286478974515	18.0	1171.20303
1176.51	1176.50981	0.0118	6.0	85200000.0	B+	T7370	L3513	2.3835298  -   12.9218353	2.3835298	-1.1499667423102309	7.0	1176.51
1176.63	1176.63043	0.00206	4.0	9910000.0	B+	T7370	L3513	2.3846100  -   12.9218353	2.38461	-2.0840727883028842	7.0	1176.63
1177.695	1177.6948	0.0107	4.0	103000000.0	B+	T7370	L3513	2.3846100  -   12.9123120	2.38461	-1.368556230986828	7.0	1177.695
	1183.2777	3.95e-07	6.0	1880.0	C	T7370		2.3835298  -   12.861560	2.3835298	-5.6252516539898965	25.0	1183.2777
	1183.3997	6.8e-08	4.0	216.0	C	T7370		2.3846100  -   12.861560	2.38461	-6.565431095965801	25.0	1183.3997
	1184.235	3.44e-05	6.0	245000.0	B	T7370		2.3835298  -   12.853090	2.3835298	-3.685290307044826	10.0	1184.235
	1184.3573	7.01e-06	4.0	33400.0	B	T7370		2.3846100  -   12.853090	2.38461	-4.552221990705379	10.0	1184.3573
	1184.9839	1.88e-05	4.0	178000.0	B	T7370		2.3846100  -   12.847554	2.38461	-4.123782159408358	10.0	1184.9839
	1188.96871	0.00788	4.0	24800000.0	C	u18,LS		3.5756182  -   14.0034956	3.5756182	-1.5014137911824823	25.0	1188.96871
	1189.22842	0.00878	2.0	20700000.0	C	u18,LS		3.5755704  -   14.0011704	3.5755704	-1.7554754884299162	25.0	1189.22842
	1189.23388	0.000876	4.0	4130000.0	C	u18,LS		3.5756182  -   14.0011704	3.5756182	-2.455435902503957	25.0	1189.23388
	1190.9207	0.0031	2.0	14600000.0	D+	u18,LS		3.5755704  -   13.9863558	3.5755704	-2.207608310501746	40.0	1190.9207
	1190.92618	0.000776	4.0	7300000.0	D+	u18,LS		3.5756182  -   13.9863558	3.5756182	-2.508078287413849	40.0	1190.92618
	1191.01341	0.00155	2.0	3650000.0	D+	u18,LS		3.5755704  -   13.9855454	3.5755704	-2.5086383061657274	40.0	1191.01341
	1191.01888	0.00387	4.0	18200000.0	D+	u18,LS		3.5756182  -   13.9855454	3.5756182	-1.810229043653126	40.0	1191.01888
1199.55	1199.54964	0.132	4.0	407000000.0	A	T7370	L3513	0.0000000  -   10.3358956	0.0	-0.27736607746618774	3.0	1199.55
1200.223	1200.22329	0.0869	4.0	403000000.0	A	T7370	L3513	0.0000000  -   10.3300944	0.0	-0.45892023222337114	3.0	1200.223
1200.71	1200.70981	0.0432	4.0	400000000.0	A	T7370	L3513	0.0000000  -   10.3259087	0.0	-0.7624562618571255	3.0	1200.71
1225.026	1225.02574	0.0149	4.0	44100000.0	C	u18,LS	L3513	3.5756182  -   13.6965647	3.5756182	-1.2247537402597635	25.0	1225.026
