wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
3001.696	3001.693		6.0				L10621	28.8217045   -     32.950977	28.8217045			3001.696
3002.977	3002.978		2.0				L10621	28.8390335   -     32.966538	28.8390335			3002.977
3005.958	3005.95		6.0				L10621	28.8217045   -     32.945128	28.8217045			3005.958
3005.958	3005.979		6.0				L10621	28.8570199   -     32.980404	28.8570199			3005.958
	3006.122		6.0				L11267	28.8217045   -     32.944893	28.8217045			3006.122
3006.565	3006.544		8.0				L10621	28.8577953   -     32.980404	28.8577953			3006.565
3007.035	3007.01		8.0				L10621	28.8577953   -     32.979766	28.8577953			3007.035
3007.035	3007.029		2.0				L10621	28.8525664   -     32.974511	28.8525664			3007.035
	3007.112		6.0				L11267	28.8570199   -     32.978851	28.8570199			3007.112
	3007.118		6.0				L11267	28.8570199   -     32.978843	28.8570199			3007.118
3007.681	3007.678		8.0				L10621	28.8577953   -     32.978851	28.8577953			3007.681
3007.681	3007.683		8.0				L10621	28.8577953   -     32.978843	28.8577953			3007.681
3008.318	3008.307		4.0				L10621	28.8307832   -     32.950977	28.8307832			3008.318
	3008.422		4.0				L11267	28.8307832   -     32.950819	28.8307832			3008.422
3009.57	3009.579		4.0				L10621	28.8568239   -     32.975276	28.8568239			3009.57
	3009.722		6.0				L11267	28.8570199   -     32.975276	28.8570199			3009.722
	3010.138		4.0				L11267	28.8568239   -     32.974511	28.8568239			3010.138
3011.534	3011.527		6.0				L10621	28.8630624   -     32.978851	28.8630624			3011.534
3011.534	3011.533		6.0				L10621	28.8630624   -     32.978843	28.8630624			3011.534
	3012.756		4.0				L11267	28.8307832   -     32.944893	28.8307832			3012.756
3012.825	3012.806		2.0				L10621	28.8525664   -     32.966607	28.8525664			3012.825
3012.825	3012.857		2.0				L10621	28.8525664   -     32.966538	28.8525664			3012.825
3013.357	3013.361		6.0				L10621	28.8217045   -     32.934988	28.8217045			3013.357
	3013.497		6.0				L11267	28.8217045   -     32.934803	28.8217045			3013.497
3014.158	3014.145		6.0				L10621	28.8630624   -     32.975276	28.8630624			3014.158
3014.469	3014.459		2.0				L10621	28.8390335   -     32.950819	28.8390335			3014.469
	3015.928		4.0				L11267	28.8568239   -     32.966607	28.8568239			3015.928
3015.974	3015.978		4.0				L10621	28.8568239   -     32.966538	28.8568239			3015.974
3020.173	3020.163		4.0				L10621	28.8307832   -     32.934803	28.8307832			3020.173
