band,holding,species,wavelength_air_A,ep_eV,loggf,canonical_line_id,measurement_eligibility,status,ew_mA,core_depth,method,provenance,reason
Y,solar_crires_plus_y_wide_rya1054,Si I,10414.913,6.6192,-1.137,gf_167396,HOLD,DIAGNOSTIC_SERVED,6.1149,0.03821,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,canonical line remains HOLD for identity/gf adjudication
Y,solar_crires_plus_y_wide_rya1054,Si I,10517.511,6.7271,-1.038,gf_167409,HOLD,DIAGNOSTIC_SERVED,1.9976,0.01394,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,canonical line remains HOLD for identity/gf adjudication
Y,solar_crires_plus_y_wide_rya1054,Si I,10582.16,6.2227,-1.169,gf_167417,HOLD,DIAGNOSTIC_SERVED,26.8433,0.11811,"integrated over +/-0.153 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,canonical line remains HOLD for identity/gf adjudication
Y,solar_crires_plus_y_wide_rya1054,Si I,10585.141,4.9538,0.012,gf_167420,HOLD,DIAGNOSTIC_SERVED,109.1685,0.58501,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.7270, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10602.816,5.8708,-0.942,gf_167421,HOLD,DIAGNOSTIC_SERVED,13.3987,0.08009,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.9644, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10603.425,4.9296,-0.305,gf_167422,HOLD,DIAGNOSTIC_SERVED,98.1866,0.52324,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.7788, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10627.648,5.8625,-0.866,gf_167426,HOLD,DIAGNOSTIC_SERVED,70.7853,0.3528,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.9246, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10660.973,4.9201,-0.266,gf_167429,HOLD,DIAGNOSTIC_SERVED,100.6387,0.53948,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.7789, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10689.716,5.9537,-0.12,gf_167436,HOLD,DIAGNOSTIC_SERVED,83.7647,0.40751,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.8759, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
Y,solar_crires_plus_y_wide_rya1054,Si I,10694.251,5.9639,0.048,gf_167438,HOLD,DIAGNOSTIC_SERVED,79.3214,0.43632,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_crires_plus_y_wide_rya1054 · vesta_crires_plus_Y_9800_10796_normalized.csv,"side-band 95th pct is 0.8408, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
