band,lo_A,hi_A,ion,n_transitions,n_in_domain,n_fail_delta_E,n_fail_feature,n_fail_level,delta_E_min,delta_E_max,elo_max
VIS (training overlap),4788,6810,I,3374,1549,8,1129,1477,1.8201,2.5887,6.401
VIS (training overlap),4788,6810,II,318,24,49,292,272,1.8325,2.5832,10.678
IR (RYA-783),6910,9199,I,1839,0,1839,1078,954,1.3483,1.7934,7.017
IR (RYA-783),6910,9199,II,112,0,112,98,93,1.3492,1.7927,9.941
extended IR (RYA-762),9199,13000,I,1971,0,1971,1664,1268,0.9537,1.3473,7.076
extended IR (RYA-762),9199,13000,II,51,0,51,51,48,0.9648,1.3469,9.962
