element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4510.8205,45.29157081575543,-4.998238162197876,7.33984375,True,nan,3.6025,6.3503,-2.89,1,gt02,"transition energy Eup-Elo 2.7478 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7478,,,0.04608484289501222,
Fe,I,VIS,4769.8116,44.08790643167466,-5.034181749125343,8.341796875,True,nan,4.4346,7.0332,-2.499,1,gt02,"transition energy Eup-Elo 2.5986 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 7.0332 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.5986000000000002,,,-0.019173031914649974,
Fe,I,VIS,4781.7419,50.40306849149251,-4.977129154179201,7.515625,True,nan,3.5732,6.1654,-2.191,1,gt02,"transition energy Eup-Elo 2.5922 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.5922,,,0.04474199915458352,
Fe,I,VIS,4787.8264,53.373410681502655,-4.952813439010544,7.55078125,True,nan,2.998,5.5869,-2.53,1,gt02,,True,True,True,True,True,2.5888999999999998,0.026123802940458102,,0.026123802940458102,7.576905052940458
Fe,I,VIS,4880.5238,58.046633554939554,-4.924689397294211,,False,"COG-INVERSION: bisection did not converge, so this EW does not map to an abundance here",4.0758,6.6155,-2.073,1,,no 1D-LTE abundance (line excluded upstream),,,,,False,,,,,
Fe,I,VIS,4932.0836,52.17726892637214,-4.975549085956095,8.5,True,nan,4.652,7.1652,-1.483,1,gt02,,True,True,True,True,True,2.5131999999999994,0.04824438953519446,,0.04824438953519446,8.548244389535194
Fe,I,VIS,4974.2458,30.35698153326133,-5.214468655481391,8.271484375,True,nan,5.9004,8.3922,-0.367,1,gt02,"Elo 5.9004 eV outside training [2.1750, 5.1000] (gt02, n=154); Eup 8.3922 eV outside training [4.1024, 7.2938] (gt02, n=154); upper level 8.3922 eV is not within 0.02 eV of any level in the training set",False,True,False,True,False,2.4918000000000005,,,-0.07857993012868006,
Fe,I,VIS,4975.4116,46.959992281442496,-5.025100997514161,8.640625,True,nan,3.3014,5.7926,-3.444,1,gt02,,True,True,True,True,True,2.4912,0.0448467206857672,,0.0448467206857672,8.685471720685767
Fe,I,VIS,5054.6423,51.72684247019093,-4.989974458610225,7.638671875,True,nan,3.6398,6.092,-1.921,1,gt02,,True,True,True,True,True,2.4521999999999995,0.03396438696785256,,0.03396438696785256,7.6726362619678525
Fe,I,VIS,5106.4573,50.74977092218517,-5.002685618463817,7.8671875,True,nan,4.607,7.0343,-1.687,1,gt02,upper level 7.0343 eV is not within 0.02 eV of any level in the training set,True,True,False,True,False,2.4273,,,0.04496958368922496,
