wavelength_air_A,flux_normalized
9.800026125271157071e+03,9.704593133147590978e-01
9.800055114844179116e+03,9.689614461013855706e-01
9.800084104417208437e+03,9.642676625954639258e-01
9.800113093990234120e+03,9.423958267170273739e-01
9.800142083563259803e+03,9.234202808283777930e-01
9.800171073136287305e+03,9.020477880888068123e-01
9.800200062709311169e+03,8.665932699476829315e-01
9.800229052282340490e+03,8.185548040464373232e-01
9.800258041855366173e+03,7.853973186671020512e-01
9.800287031428391856e+03,7.460477221735701825e-01
9.800316021001419358e+03,7.556356536458075368e-01
9.800345010574443222e+03,7.722146689296760513e-01
9.800374000147472543e+03,7.987809503393875632e-01
9.800402989720496407e+03,8.350348867693653254e-01
9.800431979293525728e+03,8.715884573544389058e-01
9.800460968866551411e+03,8.992533781117558744e-01
9.800489958439578913e+03,9.115379190802403997e-01
9.800518948012602777e+03,9.119376143718159744e-01
9.800547937585632098e+03,9.161324732447848618e-01
9.800576927158655963e+03,9.041479494958823970e-01
9.800605916731683465e+03,8.830749986368845450e-01
9.800634906304710967e+03,8.521146322440089627e-01
9.800663895877736650e+03,8.121656989641145019e-01
9.800692885450762333e+03,7.563369672468311933e-01
9.800721875023788016e+03,6.718447008693194666e-01
9.800750864596815518e+03,5.632830329465037256e-01
9.800779854169839382e+03,4.540222060245474589e-01
9.800808843742868703e+03,3.241875079655526237e-01
9.800837833315894386e+03,2.493827445753299954e-01
9.800866822888920069e+03,2.498821653267152831e-01
9.800895812461947571e+03,3.285821375844654169e-01
9.800924802034976892e+03,4.496283024410711593e-01
9.800953791608000756e+03,5.761675384845409420e-01
9.800982781181028258e+03,6.756412327206959834e-01
9.801011770754053941e+03,7.511454324158794993e-01
9.801040760327079624e+03,8.089721268807262833e-01
9.801069749900108945e+03,8.437281555055101689e-01
9.801098739473130991e+03,8.627042424970784440e-01
9.801127729046160312e+03,8.768864258609024853e-01
9.801156718619184176e+03,8.867740683316022166e-01
9.801185708192211678e+03,9.061496705526975726e-01
9.801214697765240999e+03,9.000576061719374188e-01
9.801243687338263044e+03,8.879731435259758943e-01
9.801272676911292365e+03,9.014562354224320284e-01
9.801301666484318048e+03,9.163375595989475819e-01
9.801330656057343731e+03,9.238282643180025788e-01
9.801359645630371233e+03,9.373113732771788387e-01
9.801388635203395097e+03,9.585846111741662678e-01
9.801417624776424418e+03,9.695708991125994158e-01
9.801446614349451920e+03,9.637784581815715956e-01
