wave_A,element,ep_eV,loggf,depth_obs,purity_ew,chi2_red,gd_depth,gd_unsaturated,gd_purity,gd_gof,gd_robust,tier,vald_match,vald_dlam_A,vald_loggf,vald_ep_eV,vald_central_depth,vald_gf_source,meas_dlam_A,meas_depth,depth_ratio
10535.709,FeI,6.206,-0.108,0.103461,0.964876,0.68,Y, ,Y,Y,N,candidate,True,9.999999929277692e-05,-0.108,6.2057,0.139,VALD3,-0.014480037047178484,0.10250572336599417,0.990766794888839
10577.139,FeI,3.301,-3.136,0.088593,0.939221,0.36,Y, ,Y,Y,N,candidate,True,-0.0003999999989900971,-3.136,3.3014,0.118,VALD3,0.010609390752506442,0.08745145367642793,0.9871147119572418
10611.686,FeI,6.169,0.021,0.132381,0.974004,0.9,Y, ,Y,Y,N,candidate,True,-9.999999929277692e-05,0.021,6.1692,0.173,VALD3,-0.038798707792011555,0.1315700062329649,0.9938737902944145
10616.721,FeI,3.267,-3.127,0.076885,0.991158,0.62,Y, ,Y,Y,N,candidate,True,0.0,-3.127,3.2671,0.127,VALD3,-0.0006234281627257587,0.07747716609782385,1.0077019717477251
10674.07,FeI,6.169,-0.466,0.067731,0.977,0.26,Y, ,Y,Y,N,candidate,True,-0.0003999999989900971,-0.466,6.1692,0.085,VALD3,-0.03723755490682379,0.05913705913746892,0.873116580848783
