ion,wavelength_air_A,elo_eV,loggf,a_3d_lte_ap2002,a_1d_lte_ap2002,ew_mA,delta_E_eV,eup_eV,rew,weak_line_rew_lt_m49
I,4389.250000,0.052000,-4.550000,7.360000,7.450000,75.000000,2.823931,2.875931,-4.767329,False
I,4445.470000,0.087000,-5.380000,7.290000,7.410000,41.000000,2.788218,2.875218,-5.035134,True
I,5044.210000,2.851000,-2.020000,7.370000,7.400000,75.000000,2.457266,5.308266,-4.827732,False
I,5247.050000,0.087000,-4.980000,7.430000,7.540000,68.000000,2.362274,2.449274,-4.887406,False
I,5250.210000,0.121000,-4.900000,7.350000,7.470000,67.000000,2.360852,2.481852,-4.894102,False
I,5253.460000,3.283000,-1.570000,7.380000,7.400000,79.000000,2.359392,5.642392,-4.822818,False
I,5329.990000,4.076000,-1.220000,7.440000,7.470000,58.000000,2.325515,6.401515,-4.963298,True
I,5412.790000,4.434000,-1.720000,7.340000,7.360000,18.000000,2.289942,6.723942,-5.478149,True
I,5491.830000,4.186000,-2.190000,7.410000,7.430000,13.000000,2.256985,6.442985,-5.625774,True
I,5525.540000,4.230000,-1.080000,7.320000,7.350000,53.000000,2.243215,6.473215,-5.018099,True
I,5661.350000,4.284000,-1.760000,7.370000,7.390000,23.000000,2.189404,6.473404,-5.391192,True
I,5701.540000,2.559000,-2.140000,7.480000,7.520000,87.000000,2.173971,4.732971,-4.816473,False
I,5705.460000,4.301000,-1.360000,7.350000,7.380000,38.000000,2.172477,6.473477,-5.176507,True
I,5778.450000,2.588000,-3.440000,7.350000,7.430000,22.000000,2.145036,4.733036,-5.419389,True
I,5784.660000,3.396000,-2.530000,7.360000,7.410000,27.000000,2.142733,5.538733,-5.330914,True
I,5855.080000,4.607000,-1.480000,7.390000,7.410000,23.000000,2.116962,6.723962,-5.405805,True
I,5956.690000,0.859000,-4.500000,7.330000,7.470000,54.000000,2.080851,2.939851,-5.042611,True
I,6082.710000,2.223000,-3.550000,7.370000,7.470000,35.000000,2.037741,4.260741,-5.240029,True
I,6136.990000,2.198000,-2.930000,7.370000,7.450000,65.000000,2.019718,4.217718,-4.975042,True
I,6151.620000,2.176000,-3.370000,7.470000,7.580000,51.000000,2.014915,4.190915,-5.081419,True
I,6173.340000,2.223000,-2.880000,7.430000,7.520000,69.000000,2.007826,4.230826,-4.951671,True
I,6200.310000,2.608000,-2.370000,7.420000,7.510000,74.000000,1.999092,4.607092,-4.923182,True
I,6219.280000,2.198000,-2.450000,7.470000,7.500000,91.000000,1.992994,4.190994,-4.834699,False
I,6240.650000,2.223000,-3.170000,7.280000,7.380000,49.000000,1.986170,4.209170,-5.105034,True
I,6265.130000,2.176000,-2.540000,7.460000,7.530000,88.000000,1.978409,4.154409,-4.852447,False
I,6271.280000,3.332000,-2.700000,7.370000,7.420000,24.000000,1.976469,5.308469,-5.417145,True
I,6280.620000,0.859000,-4.390000,7.430000,7.510000,65.000000,1.973530,2.832530,-4.985089,True
I,6297.790000,2.223000,-2.640000,7.320000,7.410000,75.000000,1.968149,4.191149,-4.924127,True
I,6322.690000,2.588000,-2.470000,7.560000,7.640000,77.000000,1.960399,4.548399,-4.914411,True
I,6481.870000,2.279000,-3.010000,7.470000,7.550000,64.000000,1.912256,4.191256,-5.005520,True
I,6498.940000,0.958000,-4.690000,7.410000,7.560000,46.000000,1.907233,2.865233,-5.150085,True
I,6574.230000,0.990000,-5.020000,7.390000,7.540000,28.000000,1.885391,2.875391,-5.370687,True
I,6581.210000,1.485000,-4.680000,7.280000,7.390000,18.000000,1.883392,3.368392,-5.563033,True
I,6593.870000,2.433000,-2.370000,7.480000,7.540000,87.000000,1.879776,4.312776,-4.879621,False
I,6609.110000,2.559000,-2.660000,7.450000,7.530000,67.000000,1.875441,4.434441,-4.994068,True
