source,reference,wavelength_air_A,ep_eV,loggf,lower_level,upper_level,band,status,note
Bergemann2013,ApJ 764 115 Table 1,11991.57,4.92,-0.109,4s 3Po0,4p 3D1,J,PRIMARY_PUBLISHED,"J-band Si I line; wavelength and log gf from the published line table"
Bergemann2013,ApJ 764 115 Table 1,11984.20,4.93,0.239,4s 3Po1,4p 3D2,J,PRIMARY_PUBLISHED,"J-band Si I line; wavelength and log gf from the published line table"
Bergemann2013,ApJ 764 115 Table 1,12103.54,4.93,-0.351,4s 3Po1,4p 3D1,J,PRIMARY_PUBLISHED,"J-band Si I line; wavelength and log gf from the published line table"
Bergemann2013,ApJ 764 115 Table 1,12031.50,4.95,0.477,4s 3Po2,4p 3D3,J,PRIMARY_PUBLISHED,"J-band Si I line; wavelength and log gf from the published line table"
