line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,band,wavelength_frame,external_membership,reference_gf_source,reference_gf_sigma_dex,DH23_matches,physical_identity_status,reference_grade,codex_grade,deep_grade,measurement_eligibility,abundance
gf_117214,pk_0ad663364e47,14,1.0,Si I,3905.523,1.9087,1,-1.077,DenHartog2023,,linelist(VALD3),primary_lab_verified,,,-1.077,False,False,True,,DenHartog2023,0.04139,10.3847/1538-4365/acb642,False,LAB,False,VIS,air,explicitly_rejected,Garz1973+0.097dex (O'Brian&Lawler lifetimes),,1,HOLD_levels_and_J_not_in_canonical_schema,Reference Excluded,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117215,pk_69a676f71184,14,1.0,Si I,4102.936,1.9087,1,-3.026,DenHartog2023,,linelist(VALD3),primary_lab_verified,,,-3.026,False,False,True,,DenHartog2023,0.07188,10.3847/1538-4365/acb642,False,LAB,False,VIS,air,explicitly_rejected,Garz1973+0.097dex (O'Brian&Lawler lifetimes),,1,HOLD_levels_and_J_not_in_canonical_schema,Reference Excluded,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117216,pk_aeb8925f7aa6,14,1.0,Si I,4146.4258,4.9201,1,-4.543,VALD3,,linelist(VALD3),single_source,,,-4.543,False,False,True,,,,,False,VALD3,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117217,pk_5dc5fe0bdc10,14,1.0,Si I,4159.5951,4.9296,1,-4.03,VALD3,,linelist(VALD3),single_source,,,-4.03,False,False,True,,,,,False,VALD3,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117218,pk_2c4293237c15,14,1.0,Si I,4190.23,4.9296,1,-3.469,VALD3,,linelist(VALD3),single_source,,,-3.469,False,False,True,,,,,False,VALD3,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117219,pk_d5ab26a3eed8,14,1.0,Si I,4197.2809,4.9538,1,-4.311,VALD3,,linelist(VALD3),single_source,,,-4.311,False,False,True,,,,,False,VALD3,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117220,pk_b5c45fbeb30a,14,1.0,Si I,4213.038,4.93,1,-4.698,K07,,synth(GES),single_source,-4.698,,-4.698,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117221,pk_a05af6a6ec3d,14,1.0,Si I,4247.685,4.954,1,-4.263,K07,,synth(GES),single_source,-4.263,,-4.263,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117222,pk_a35ac853f8c2,14,1.0,Si I,4247.906,4.954,1,-4.317,K07,,synth(GES),single_source,-4.317,,-4.317,True,False,True,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
gf_117223,pk_893b4b96671b,14,1.0,Si I,4248.164,4.954,1,-5.223,K07,,synth(GES),single_source,-5.223,,,True,False,False,,,,,False,KURUCZ,False,VIS,air,not_in_RYA1169_source_set,,,0,HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,HOLD,
