filename,sha256,pages,text_extraction,same_bytes_as
Bergin_2024_ApJ_965_147.pdf,78ca625d0c11d531806dadcc814c892e998a9e9857d0c14200f96b1d24632842,12,text_extracted_not_full_scientific_review,
Brooke_2014_ApJS_210_23.pdf,7fd3329a6a441be1d811057fb481feebd63e2b094bb3e31d58e787df0fbf7310,15,text_extracted_not_full_scientific_review,
Buurman1986_Al.pdf,421574f850eaa017888dae073a0ff0b7dd7ccfa2111cd829be7c65b15dfc38cd,3,scan_or_sparse_text_needs_visual_review,
Buurman1990_Al.pdf,b0c58c9a0688d70cf2d2724ff3ba0babef2f8d04b89543ee433627d7e3d38607,2,scan_or_sparse_text_needs_visual_review,
C and O Abundances.pdf,7683b3a0ae57c70f8f1f3cb3a6fb785babed42d516f0fcf5954bfd44c45a0d41,16,text_extracted_not_full_scientific_review,
C and O in Disks.pdf,c3b57edf14918ff56b6e273c026b9cde1518f8ed4f5b809b4fbdae2774417238,16,text_extracted_not_full_scientific_review,
Cand O HArps.pdf,db83f4bb5169f1048e57e69cb5d15b2ea86620e89ea330bb3ae8807e91ec3ba2,15,text_extracted_not_full_scientific_review,
Carbon.pdf,727fb76a67941f0cca6956501ecef118c493b88aa98ece5cb6fa2f05c56825f3,16,text_extracted_not_full_scientific_review,
Den_Hartog_2011_ApJS_194_35.pdf,ea03e9865893b27e613e06f5d06712df5c24885081fd83d6ba8a45c54cce7253,11,text_extracted_not_full_scientific_review,
Den_Hartog_2014_ApJS_215_23.pdf,2889a90a19569bc282c2a24d55ac14fe2cdd558082d3e3f20f83c09880f4b064,13,text_extracted_not_full_scientific_review,
Den_Hartog_2019_ApJS_243_33.pdf,c930ed265c0865009f67a5f8296b354046127ac37a4cc70a1a08b1148975bbb9,17,text_extracted_not_full_scientific_review,
Gray_D_The-observation-and-analysis-of-stellar-photospheres_2005.pdf,94312be46ad32fe30157de4c30429327ca08b3969c2c759d573fad77c37bfb6b,548,scan_or_sparse_text_needs_visual_review,
MARCS Stellar Model.pdf,c79d8bf6ee086557169bd98d28a2d66afe60b07a33087fee0d3de287e95f6623,20,text_extracted_not_full_scientific_review,
Metal Poor.pdf,9813f7dd4212eb88a33376d2c5196bbf17bd265987ad354af4abffc2a7b3a15e,14,text_extracted_not_full_scientific_review,
Microturbulence.pdf,e89e9711766cbbe8d9afd9c1a6f58a045baa4c888d73dc40de15995a771a5c6f,57,text_extracted_not_full_scientific_review,
Nandakumar_2024_ApJ_964_96.pdf,5bf4deb280245cd31a4b0a5b1a28a17249c302f6f98aa6c8a8964707fb73c2af,14,text_extracted_not_full_scientific_review,
Oxygen Abudances.pdf,8a9775d50bfe8277a100f1cd8dd68fd8aec09eb4c3a72aa73be238f280d62d8d,24,text_extracted_not_full_scientific_review,
Peterson_2022_ApJS_260_28 (1).pdf,e7cb71315e7a136992217c386d5332b042f6c1d22c8a3bcbedaa180ddb89a2e1,12,text_extracted_not_full_scientific_review,
RMxAC..35_bbarbuy.pdf,73c6057d657e2a74d23551c5e65cb1687baa4a18a3eabe758e9c3ea52cb3f76c,2,text_extracted_not_full_scientific_review,
Ruffoni_2013_ApJ_779_17.pdf,7dbf4a3931769564fe1b11f1743efb76cd9780ea9066491b98f7c465a4da3db2,8,text_extracted_not_full_scientific_review,
Sousa et al 2011.pdf,bddda1e4f37d7444524e7085eadaa528bc2a2d8fda07052603e18644c635b9df,5,text_extracted_not_full_scientific_review,
Sousa et al 2012.pdf,5488419695d4bf7ba6bf56d2c2b848a5ab284a7ec8ca4a69e1b9ccae040f16fa,15,text_extracted_not_full_scientific_review,
Teske_2013_ApJ_778_132.pdf,27cf5672c69d47e9c27acca4db526170b9a39db14c82085560ecc6bf8ad3ad37,9,text_extracted_not_full_scientific_review,
TurboSpectrum.pdf,63c572850e3967a9c2785359e6278ab6d1f3f823b68917ece6f97468b06d729e,14,text_extracted_not_full_scientific_review,
WRITEnov2019.pdf,161c72df89dec734301aa0f58ff86ecf7dcaccd51dfec614e10b710fc6b97e53,33,text_extracted_not_full_scientific_review,
Zhao_2023_AJ_166_173.pdf,8c04f73ce02ef1a6de17a363b0d03f9e026e8153d8fbfb2920d79de21c5aef48,17,text_extracted_not_full_scientific_review,
aa1990.pdf,5606fc6138cd731fd2c9b61c83aa124ccb7a8791f23a86b2a20e616a00934a25,8,text_extracted_not_full_scientific_review,
aa22440-13.pdf,a9b44232952c6d4410d84c2de1edbfe42a839e16c28cc43c7bd05509a77d25ed,27,text_extracted_not_full_scientific_review,
aa24109-14.pdf,8b4f5212847bd5a1c1ac8f7f742e95fba8b6360f2035c753c1a7b81c8f0471b0,19,text_extracted_not_full_scientific_review,
aa26961-15.pdf,3f727fe1eb16d3f97bca210549375dfa495680bf866be110670f1f110cbcfa56,12,text_extracted_not_full_scientific_review,
aa27429-15.pdf,62bbd1916a240ceaa6f7dc0e766c934277a30b50f7f868c7a5006e9519be02d0,15,text_extracted_not_full_scientific_review,
aa27530-15.pdf,d20c673b7837f1550d6923c5245b86fa4e26b51f3db00a862e3e934611dae769,8,text_extracted_not_full_scientific_review,
aa30427-17.pdf,e7fd0e50b266835ab3c0d64120896b015a8d6f00a2478862e4ad6f76f937ce26,20,text_extracted_not_full_scientific_review,
aa32233-17.pdf,98884b6e3c4e1fbd0307b8a7b500b75409524ae489cfd01909dfa6a2fac5f725,21,text_extracted_not_full_scientific_review,
aa36265-19.pdf,84e86d7d780595154d5e9e55b7b5218f44e671fda84b1e748e7415d6b71e374c,19,text_extracted_not_full_scientific_review,
aa36291-19.pdf,0194615548180f659e3f6517e04a9b94e43972d9fe912dcbf62858823523e696,63,text_extracted_not_full_scientific_review,
aa40445-21.pdf,bcd9e4527eec239df0f44ee3f2f64a7757896a8cf18eac1c343478489e959938,30,text_extracted_not_full_scientific_review,Apslund 2021.pdf
aa45394-22 (1).pdf,8ac1ab522a916b4091db3c8ee012866684b24030c40ca1fadd129094c4d26955,7,text_extracted_not_full_scientific_review,aa45394-22.pdf
aa45394-22.pdf,8ac1ab522a916b4091db3c8ee012866684b24030c40ca1fadd129094c4d26955,7,text_extracted_not_full_scientific_review,aa45394-22 (1).pdf
aa45686-22 (1).pdf,3644cbf407f9c72f36f635ee32a4cb9293f220667133c0b867f69979d4a5b317,15,text_extracted_not_full_scientific_review,aa45686-22.pdf
aa45686-22.pdf,3644cbf407f9c72f36f635ee32a4cb9293f220667133c0b867f69979d4a5b317,15,text_extracted_not_full_scientific_review,aa45686-22 (1).pdf
aa48462-23.pdf,59cfe0639914883c7f0f85a55817325e2bbd61d4155180b3e58dae064fff1df8,23,text_extracted_not_full_scientific_review,
aa51889-24.pdf,752eef60ac737385477295cd1577d6377b1ffac7ea3923a4d3fb5f781bf65547,16,text_extracted_not_full_scientific_review,
aa58382-25.pdf,58320f1b2b506322524089c46ffde6dd8e4e29ac687207f960f5515f9b28a8d0,19,text_extracted_not_full_scientific_review,
