external_source,external_line,external_wavelength_air_A,external_ep_eV,external_loggf,canonical_line_id,canonical_wavelength_air_A,canonical_ep_eV,canonical_loggf,delta_wavelength_mA,delta_loggf_dex,canonical_gf_reference,canonical_source,canonical_physical_identity_status,reference_grade,codex_grade,deep_grade,identity_disposition,gf_disposition
Bergemann2013 Table 1,4s 3Po0 -> 4p 3D1,11991.57,4.92,-0.109,gf_167642,11991.568,4.9201,-0.1089999999999999,-2.0,0.0,VALD3,ir_vald_9200_13000(RYA-762),HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,EXTERNAL_LEVEL_IDENTITY_RECORDED_CANONICAL_LEVEL_FIELDS_MISSING,HOLD_VALD_ONLY_NO_PRIMARY_LAB_PROVENANCE
Bergemann2013 Table 1,4s 3Po1 -> 4p 3D2,11984.20,4.93,0.239,gf_167640,11984.198,4.9296,0.239,-2.0,0.0,VALD3,ir_vald_9200_13000(RYA-762),HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,EXTERNAL_LEVEL_IDENTITY_RECORDED_CANONICAL_LEVEL_FIELDS_MISSING,HOLD_VALD_ONLY_NO_PRIMARY_LAB_PROVENANCE
Bergemann2013 Table 1,4s 3Po1 -> 4p 3D1,12103.54,4.93,-0.351,gf_167655,12103.534,4.9296,-0.35,-6.0,0.001,VALD3,ir_vald_9200_13000(RYA-762),HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,EXTERNAL_LEVEL_IDENTITY_RECORDED_CANONICAL_LEVEL_FIELDS_MISSING,HOLD_VALD_ONLY_NO_PRIMARY_LAB_PROVENANCE
Bergemann2013 Table 1,4s 3Po2 -> 4p 3D3,12031.50,4.95,0.477,gf_167646,12031.504,4.9538,0.477,4.0,0.0,VALD3,ir_vald_9200_13000(RYA-762),HOLD_levels_and_J_not_in_canonical_schema,HOLD_best_available_per_line_adjudication,HOLD_primary_lab_and_observed_depth_audit,HOLD_primary_lab_and_observed_depth_audit,EXTERNAL_LEVEL_IDENTITY_RECORDED_CANONICAL_LEVEL_FIELDS_MISSING,HOLD_VALD_ONLY_NO_PRIMARY_LAB_PROVENANCE
