product,A,sigma_stat,sd_lines,sd_quoted,n_lines,sigma_is_floor,note,_src,element,ion,band,instrument,treatment,n_excluded,stat_dex,syst_dex,dominant,handler
,7.568,,,,11,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,VIS,kpno_solar_atlas,1D-LTE,0.0,0.0564,0.1705,gf scale (UNGRADED),ProfileFitHandler
,7.517,,,,3,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,VIS,kpno_solar_atlas,ENGINE-A,8.0,0.0845,0.1705,gf scale (UNGRADED),ProfileFitHandler
,7.696,,,,4,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,red-optical,kpno_solar_atlas,1D-LTE,0.0,0.111,0.1731,gf scale (UNGRADED),ProfileFitHandler
,7.763,,,,1,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,red-optical,kpno_solar_atlas,ENGINE-A,3.0,0.0,0.1731,gf scale (UNGRADED),ProfileFitHandler
,7.461,,,,2,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,red-optical,kpno_solar_atlas,ENGINE-B-NLTE,2.0,0.045,0.1731,gf scale (UNGRADED),SynthesisHandler
,7.577,,,,59,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_LABGF_products.csv,Fe,I,near-UV,kpno_solar_atlas,1D-LTE-LABGF,2.0,0.0849,0.1128,pseudo-continuum,SynthesisHandler
,7.488,,,,40,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_SYNTH_products.csv,Fe,I,near-UV,kpno_solar_atlas,1D-LTE,0.0,0.0652,0.1972,gf scale (UNGRADED),SynthesisHandler
,7.586,,,,152,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,VIS,kpno_solar_atlas,1D-LTE,7.0,0.0305,0.1705,gf scale (UNGRADED),ProfileFitHandler
,7.6,,,,109,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,VIS,kpno_solar_atlas,ENGINE-A,43.0,0.0357,0.1705,gf scale (UNGRADED),ProfileFitHandler
,7.639,,,,101,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,red-optical,kpno_solar_atlas,1D-LTE,2.0,0.0355,0.1731,gf scale (UNGRADED),ProfileFitHandler
,7.645,,,,44,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,red-optical,kpno_solar_atlas,ENGINE-A,57.0,0.0494,0.1731,gf scale (UNGRADED),ProfileFitHandler
,7.549,,,,77,,,/mnt/codex-data/codex/rya845/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,red-optical,kpno_solar_atlas,ENGINE-B-NLTE,26.0,0.0243,0.1731,gf scale (UNGRADED),SynthesisHandler
,7.47,,,,8,,,/mnt/codex-data/codex/rya845/data/results/band_products/gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,VIS,kpno_solar_atlas,ENGINE-B-NLTE,3.0,0.0174,0.1705,gf scale (UNGRADED),SynthesisHandler
,7.572,,,,136,,,/mnt/codex-data/codex/rya845/data/results/band_products/gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,VIS,kpno_solar_atlas,ENGINE-B-NLTE,23.0,0.0332,0.1705,gf scale (UNGRADED),SynthesisHandler
,7.478,,,,10,,,/mnt/codex-data/codex/rya845/data/results/band_products/ts-lte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,VIS,kpno_solar_atlas,ENGINE-B,1.0,0.0119,0.17,gf scale (UNGRADED),SynthesisHandler
,7.523,,,,3,,,/mnt/codex-data/codex/rya845/data/results/band_products/ts-lte/FeII_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,II,red-optical,kpno_solar_atlas,ENGINE-B,1.0,0.0894,0.1726,gf scale (UNGRADED),SynthesisHandler
,7.517,,,,134,,,/mnt/codex-data/codex/rya845/data/results/band_products/ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,VIS,kpno_solar_atlas,ENGINE-B,25.0,0.032,0.17,gf scale (UNGRADED),SynthesisHandler
,7.509,,,,77,,,/mnt/codex-data/codex/rya845/data/results/band_products/ts-lte/FeI_6910_9199_kpno_solar_atlas_PROFILEFIT_products.csv,Fe,I,red-optical,kpno_solar_atlas,ENGINE-B,26.0,0.0241,0.1726,gf scale (UNGRADED),SynthesisHandler
,7.516,,,,20,,,rya824 lab-gf pool (RYA-850 wiring),Fe,I,red-optical,kpno_solar_atlas,1D-LTE-LABGF,0.0,0.0225,0.0618,gf scale (cited lab),ProfileFitHandler
,7.445,,,,9,,,rya824 lab-gf pool (RYA-850 wiring),Fe,I,VIS,kpno_solar_atlas,1D-LTE-LABGF,0.0,0.0394,0.0614,gf scale (cited lab),ProfileFitHandler
