holding,instrument,coverage_A,band,route,scale,model,atmos,gf,display_name,n,A,sigma_stat,sigma_syst,delta_same_line_LTE,literature_comparison,domain_status
solar_kpno,Kitt Peak Solar Flux Atlas (NSO/KPNO FTS),2960-13000,VIS,ew,1D-LTE,none,atlas9,kurucz,EW · 1D-LTE,4,6.531,0.1192,0.1705,0.0,"validate against RYA-716 6.43 [6.39,6.47]",in-domain
solar_kpno,Kitt Peak Solar Flux Atlas (NSO/KPNO FTS),2960-13000,VIS,ew,1D-NLTE,amarsi,atlas9,kurucz,EW · 1D-NLTE · Amarsi,2,6.351,0.0124,0.1705,-0.0223,"validate against RYA-716 6.43 [6.39,6.47]",in-domain
solar_kpno,Kitt Peak Solar Flux Atlas (NSO/KPNO FTS),2960-13000,VIS,synth,1D-LTE,none,atlas9,kurucz,Synth · 1D-LTE,4,6.271,0.0202,0.17,-0.2598,"validate against RYA-716 6.43 [6.39,6.47]",in-domain
solar_kpno,Kitt Peak Solar Flux Atlas (NSO/KPNO FTS),2960-13000,red-optical,ew,1D-LTE,none,atlas9,kurucz,EW · 1D-LTE,6,6.47,0.0517,0.1731,0.0,report-and-note,in-domain
solar_kpno,Kitt Peak Solar Flux Atlas (NSO/KPNO FTS),2960-13000,red-optical,ew,1D-NLTE,amarsi,atlas9,kurucz,EW · 1D-NLTE · Amarsi,4,6.38,0.0374,0.1731,-0.0282,report-and-note,in-domain
solar_kpno,Kitt Peak Solar Flux Atlas (NSO/KPNO FTS),2960-13000,red-optical,synth,1D-LTE,none,atlas9,kurucz,Synth · 1D-LTE,6,6.387,0.0285,0.1726,-0.0827,report-and-note,in-domain
