wavelength_air_A,elo_eV,loggf_agss21,grade_at_0.02A,our_ref_at_0.02A,grade_at_derived,our_ref_at_derived,our_loggf,delta_ours_minus_agss21,cited_sigma_dex,upgraded,agss21_cited_gf_source
5247.0,0.08729,-4.961,systematic:K07,(no row found),GF-NIST,NIST-C+ T3547,-4.9469,0.014100000000000001,0.012837224705172217,Y,COLLECTIVE (Table A.2 has no per-line source column)
5379.6,3.6946,-1.42,systematic:K07,(no row found),GF-LAB,PRIMARY LAB Belmonte2017,-1.42,0.0,0.03,Y,COLLECTIVE (Table A.2 has no per-line source column)
5483.1,4.15435,-1.39,GF-LAB,PRIMARY LAB DenHartog2014,GF-LAB,PRIMARY LAB DenHartog2014,-1.39,0.0,0.03,N,COLLECTIVE (Table A.2 has no per-line source column)
5538.5,4.21758,-1.54,GF-LAB,PRIMARY LAB Ruffoni2014,GF-LAB,PRIMARY LAB Ruffoni2014,-1.54,0.0,0.06,N,COLLECTIVE (Table A.2 has no per-line source column)
5600.2,4.26045,-1.42,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-1.4191,0.0008999999999999009,0.04139268515822508,Y,COLLECTIVE (Table A.2 has no per-line source column)
5618.6,4.20888,-1.25,systematic:K07,(no row found),GF-LAB,PRIMARY LAB DenHartog2014,-1.25,0.0,0.03,Y,COLLECTIVE (Table A.2 has no per-line source column)
5661.3,4.28435,-1.756,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-1.757,-0.0009999999999998899,0.04139268515822508,Y,COLLECTIVE (Table A.2 has no per-line source column)
5705.5,4.30128,-1.355,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-1.3556,-0.0005999999999999339,0.04139268515822508,Y,COLLECTIVE (Table A.2 has no per-line source column)
5775.1,4.22036,-1.08,GF-LAB,PRIMARY LAB DenHartog2014,GF-LAB,PRIMARY LAB DenHartog2014,-1.08,0.0,0.03,N,COLLECTIVE (Table A.2 has no per-line source column)
5778.5,2.58811,-3.44,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-3.4298,0.010199999999999765,0.09691001300805642,Y,COLLECTIVE (Table A.2 has no per-line source column)
5784.7,3.39651,-2.532,systematic:K07,(no row found),systematic:K07/SCALE-MISMATCH,PRIMARY LAB Ruffoni2014,-2.67,-0.1379999999999999,0.2,Y,COLLECTIVE (Table A.2 has no per-line source column)
5855.1,4.60759,-1.478,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-1.4782,-0.00019999999999997797,0.04139268515822508,Y,COLLECTIVE (Table A.2 has no per-line source column)
5956.7,0.859,-4.552,systematic:K07/SCALE-MISMATCH,NIST ASD v5.11 grade A,systematic:K07/SCALE-MISMATCH,NIST ASD v5.11 grade A,-4.605,-0.053000000000000824,0.2,N,COLLECTIVE (Table A.2 has no per-line source column)
6151.6,2.17595,-3.282,GF-NIST,NIST-C+ T4187,GF-NIST,NIST-C+ T4187,-3.2988,-0.016799999999999926,0.04139268515822508,N,COLLECTIVE (Table A.2 has no per-line source column)
6240.6,2.22271,-3.287,systematic:K07,(no row found),systematic:K07/SCALE-MISMATCH,VALD3,-3.233,0.053999999999999826,0.2,Y,COLLECTIVE (Table A.2 has no per-line source column)
6311.5,2.83159,-3.141,GF-NIST,NIST-C+ T6110,GF-NIST,NIST-C+ T6110,-3.1397,0.0013000000000000789,0.07188200730612536,N,COLLECTIVE (Table A.2 has no per-line source column)
6498.9,0.95816,-4.695,systematic:K07,(no row found),GF-NIST,NIST-C+ T4920,-4.6866,0.008399999999999963,0.029383777685209667,Y,COLLECTIVE (Table A.2 has no per-line source column)
6518.4,2.83159,-2.448,systematic:K07,(no row found),systematic:K07,BK+BWL,-2.438,0.009999999999999787,0.2,N,COLLECTIVE (Table A.2 has no per-line source column)
6574.2,0.99011,-5.01,systematic:K07,(no row found),GF-NIST,NIST ASD v5.11 grade A,-5.023,-0.0129999999999999,0.012837224705172217,Y,COLLECTIVE (Table A.2 has no per-line source column)
6699.1,4.59311,-2.101,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-2.1008,0.00019999999999997797,0.07188200730612536,Y,COLLECTIVE (Table A.2 has no per-line source column)
6793.3,4.07581,-2.326,systematic:K07,(no row found),GF-NIST,NIST-C+ T6110,-2.3256,0.00039999999999995595,0.04139268515822508,Y,COLLECTIVE (Table A.2 has no per-line source column)
