wavelength_vac_A,wavelength_air_A,flux_erg_s_cm2_A,syserror,fwhm_A,provenance
1195.0,1194.4273,0.008861500769853592,0.0003544600331224501,10.0,cited-composite
1205.0,1204.4319,0.0694499984383583,0.0027779999654740095,10.0,cited-composite
1215.0,1214.4361,0.6080998778343201,0.024323994293808937,10.0,cited-composite
1225.0,1224.4399,0.1437000036239624,0.005747999995946884,10.0,cited-composite
1235.0,1234.4435,0.006269500125199556,0.0002507799945306033,10.0,cited-composite
1245.0,1244.4467,0.0040755001828074455,0.00016301999858114868,10.0,cited-composite
1255.0,1254.4497,0.003378000110387802,0.00013512000441551208,10.0,cited-composite
1265.0,1264.4524,0.004162500146776438,0.00016650000179652125,10.0,cited-composite
1275.0,1274.4549,0.00241499999538064,9.660000068834051e-05,10.0,cited-composite
1285.0,1284.4572,0.0019545000977814198,7.81800044933334e-05,10.0,cited-composite
1295.0,1294.4594,0.004668000154197216,0.00018672000442165881,10.0,cited-composite
1305.0,1304.4614,0.013810000382363796,0.0005524000152945518,10.0,cited-composite
1315.0,1314.4632,0.004480999894440174,0.000179239985300228,10.0,cited-composite
1325.0,1324.4649,0.004649499896913767,0.00018597999587655067,10.0,cited-composite
1335.0,1334.4665,0.019305000081658363,0.0007722000009380281,10.0,cited-composite
1345.0,1344.468,0.00506300013512373,0.000202519993763417,10.0,cited-composite
1355.0,1354.4695,0.004196499940007925,0.00016785999468993396,10.0,cited-composite
1365.0,1364.4708,0.0034324999433010817,0.00013729999773204327,10.0,cited-composite
1375.0,1374.4721,0.0032259998843073845,0.000129039995954372,10.0,cited-composite
1385.0,1384.4734,0.004494499880820513,0.00017977999232243747,10.0,cited-composite
1395.0,1394.4747,0.00889899954199791,0.00035595998633652925,10.0,cited-composite
1405.0,1404.476,0.006819500122219324,0.0002727799874264747,10.0,cited-composite
1415.0,1414.4774,0.004612499848008156,0.00018449999333824962,10.0,cited-composite
1425.0,1424.4788,0.005121000111103058,0.00020484000560827553,10.0,cited-composite
1435.0,1434.4803,0.005578999873250723,0.0002231599937658757,10.0,cited-composite
1445.0,1444.4819,0.005570500157773495,0.00022282000281848013,10.0,cited-composite
1455.0,1454.4837,0.006039499770849943,0.0002415799826849252,10.0,cited-composite
1465.0,1464.4858,0.00769349979236722,0.0003077399742323905,10.0,cited-composite
1475.0,1474.4882,0.00919449981302023,0.00036777998320758343,10.0,cited-composite
1485.0,1484.491,0.008851000107824802,0.00035404000664129853,10.0,cited-composite
1495.0,1494.4945,0.00861700065433979,0.0003446800110395998,10.0,cited-composite
1505.0,1504.4987,0.009397000074386597,0.0003758799866773188,10.0,cited-composite
1515.0,1514.5039,0.010006500408053398,0.0004002600035164505,10.0,cited-composite
1525.0,1524.5107,0.012684999965131283,0.0005073999636806548,10.0,cited-composite
1535.0,1534.5196,0.01412499975413084,0.0005649999948218465,10.0,cited-composite
1545.0,1544.5319,0.022624999284744263,0.0009049999644048512,10.0,cited-composite
1555.0,1554.5496,0.023435000330209732,0.0009373999782837927,10.0,cited-composite
1565.0,1564.577,0.019819999113678932,0.0007927999249659479,10.0,cited-composite
1575.0,1574.6245,0.018434999510645866,0.0007373999687843025,10.0,cited-composite
1585.0,1584.7251,0.017945000901818275,0.0007177999941632152,10.0,cited-composite
1595.0,1595.0695,0.018710000440478325,0.0007483999943360686,10.0,cited-composite
1605.0,1601.2617,0.02070000022649765,0.0008280000183731318,10.0,cited-composite
