element,A_X,value_state,sigma_stat,sigma_sys,sigma_tot,sigma_stat_state
C,8.488,PINNED_INPUT_NOT_MEASURED,,0.0,,UNMEASURED
N,8.233,MEASURED,0.046,0.036,0.059,MEASURED
O,8.69,PINNED_INPUT_NOT_MEASURED,,0.0,,UNMEASURED
C/O,0.628,,,,,NOT_PROPAGATED
