element,A_X,sigma_stat,sigma_sys,sigma_tot,sigma_stat_state
C,8.488,0.017,0.03,0.034,MEASURED
N,7.384,0.835,0.768,1.135,MEASURED
O,8.81,0.421,0.006,0.421,MEASURED
C/O,0.476,,,,NOT_PROPAGATED
