element,A_X,value_state,sigma_stat,sigma_sys,sigma_tot,sigma_stat_state
C,8.488,PINNED_INPUT_NOT_MEASURED,,0.0,,UNMEASURED
N,8.512,MEASURED,0.053,0.041,0.067,MEASURED
O,9.745,MEASURED,0.079,0.042,0.09,MEASURED
C/O,0.055,,,,,NOT_PROPAGATED
