A_X,red_chi2,sigma_fit,n_pix,n_eval,status,frac_rise_weaker,edge_distance_dex,constrained,reason,key,element,role,wall_s,A_X_nlte,nlte_delta,nlte_flag,nlte_ref
8.512,557.068,0.053,600,23,ok,0.4359168752395934,1.1938293441570371,True,,NH_AX,N,primary,158.9,8.512,0.0,lte_molecular_band,molecular band — no NLTE grid (LTE-by-design)
9.745,1034.584,0.079,600,21,ok,0.24336736757635458,1.1903966805170185,True,,OH_AX,O,primary,144.5,9.745,0.0,lte_molecular_band,molecular band — no NLTE grid (LTE-by-design)
