element,A_X,value_state,sigma_stat,sigma_sys,sigma_tot,sigma_stat_state
C,8.488,PINNED_INPUT_NOT_MEASURED,,0.0,,UNMEASURED
N,7.999,MEASURED,0.037,0.033,0.05,MEASURED
O,8.69,PINNED_INPUT_NOT_MEASURED,,0.0,,UNMEASURED
C/O,0.628,,,,,NOT_PROPAGATED
