A_X,red_chi2,sigma_fit,n_pix,n_eval,status,key,element,role,wall_s,A_X_nlte,nlte_delta,nlte_flag,nlte_ref
8.324,19.012,0.002,600,19,ok,CH_Gband,C,primary,75.2,8.324,0.0,lte_molecular_band,molecular band — no NLTE grid (LTE-by-design)
8.526,60.748,0.008,170,13,ok,CI_5052,C,cross_check,8.2,8.526,0.0,cI_vis_lte_assumed,Alexeeva & Mashonkina 2015: optical C I ΔNLTE < 0.03 dex
8.32,53.971,0.007,200,13,ok,CI_5380,C,cross_check,8.4,8.32,0.0,cI_vis_lte_assumed,Alexeeva & Mashonkina 2015: optical C I ΔNLTE < 0.03 dex
8.557,16.434,0.008,600,16,ok,C2_Swan,C,cross_check,77.0,8.557,0.0,lte_molecular_band,molecular band — no NLTE grid (LTE-by-design)
9.788,28.599,0.052,1000,15,ok,CN_red,N,primary,136.9,9.788,0.0,lte_molecular_band,molecular band — no NLTE grid (LTE-by-design)
9.417,58.722,0.015,150,16,ok,OI_6300,O,primary,70.4,9.417,0.0,lte_forbidden_insensitive,[O I] forbidden — LTE-insensitive
