stored_file,element,ion,wavelength_air_A,ep_eV,stored_loggf,stored_grade,stored_grade_dex,n_nist_candidates,nist_loggf,nist_accuracy,nist_accuracy_dex,ambiguous,grade_matches,delta_loggf,value_matches
nist_reference,Ba,II,5853.688,0.604,-1.0,B,0.04139268515822507,1.0,-0.9093892921715934,B,0.04139268515822507,False,True,-0.09061070782840663,False
nist_crosscheck,Ba,II,5853.67,0.604,-1.01,A,0.012837224705172217,1.0,-0.9093892921715934,B,0.04139268515822507,False,False,-0.10061070782840664,False
nist_reference,C,I,5380.337,7.685,-1.616,B,0.04139268515822507,1.0,-1.6143937264016879,B,0.04139268515822507,False,True,-0.0016062735983122245,True
nist_crosscheck,C,I,5380.337,7.685,-1.615,B,0.04139268515822507,1.0,-1.6143937264016879,B,0.04139268515822507,False,True,-0.0006062735983121126,True
nist_reference,Ca,I,5857.451,2.933,0.24,A,0.012837224705172217,1.0,0.23299611039215382,D,0.17609125905568124,False,False,0.007003889607846175,True
nist_reference,Ca,I,6102.723,1.879,-0.793,A,0.012837224705172217,1.0,-0.7958800173440752,C,0.09691001300805642,False,False,0.0028800173440751697,True
nist_reference,Ca,I,6122.217,1.886,-0.316,A,0.012837224705172217,1.0,-0.31605286924848786,C,0.09691001300805642,False,False,5.286924848785235e-05,True
nist_reference,Ca,I,6162.173,1.899,-0.09,A,0.012837224705172217,1.0,-0.08884239126002334,C,0.09691001300805642,False,False,-0.0011576087399766538,True
nist_reference,Ca,I,6439.075,2.526,0.39,A,0.012837224705172217,1.0,0.46834733041215726,D,0.17609125905568124,False,False,-0.07834733041215725,False
nist_crosscheck,Ca,I,6122.22,1.886,-0.316,A,0.012837224705172217,1.0,-0.31605286924848786,C,0.09691001300805642,False,False,5.286924848785235e-05,True
nist_reference,Eu,II,6645.064,1.38,0.204,A,0.012837224705172217,0.0,,,,False,False,,False
nist_crosscheck,Eu,II,6645.13,1.38,0.12,B,0.04139268515822507,0.0,,,,False,False,,False
nist_reference,Fe,I,5250.209,0.121,-4.938,A,0.012837224705172217,1.0,-4.939302159646388,A,0.012837224705172217,False,True,0.0013021596463884677,True
