source,wavelength_air_A,our_loggf,our_unc_dex,n_paper_candidates,paper_loggf,paper_unc_dex,d_loggf,d_unc
Ruffoni2014,3526.238,-0.57,0.02,1,-0.57,0.02,0.0,0.0
Ruffoni2014,3664.5374,-1.08,0.03,1,-1.08,0.03,0.0,0.0
Ruffoni2014,3704.4612,-0.62,0.02,1,-0.62,0.02,0.0,0.0
Ruffoni2014,3779.2027,-2.46,0.08,1,-2.46,0.08,0.0,0.0
Ruffoni2014,3900.515,-1.04,0.05,1,-1.04,0.05,0.0,0.0
Ruffoni2014,3931.1172,-1.25,0.12,1,-1.25,0.12,0.0,0.0
Ruffoni2014,3948.0973,-0.59,0.02,1,-0.59,0.02,0.0,0.0
Ruffoni2014,3974.3807,-1.88,0.12,1,-1.88,0.12,0.0,0.0
Ruffoni2014,4051.9053,-1.49,0.07,1,-1.49,0.07,0.0,0.0
Ruffoni2014,4063.2757,-0.81,0.03,1,-0.81,0.03,0.0,0.0
Ruffoni2014,4066.5852,-1.62,0.04,1,-1.62,0.04,0.0,0.0
Ruffoni2014,4079.1681,-1.73,0.11,1,-1.73,0.11,0.0,0.0
Ruffoni2014,4083.7632,-1.41,0.04,1,-1.41,0.04,0.0,0.0
Ruffoni2014,4101.2611,-1.35,0.06,1,-1.35,0.06,0.0,0.0
Ruffoni2014,4114.9376,-1.45,0.04,1,-1.45,0.04,0.0,0.0
Ruffoni2014,4143.4146,-0.21,0.02,1,-0.21,0.02,0.0,0.0
Ruffoni2014,4143.4972,-1.47,0.09,1,-1.47,0.09,0.0,0.0
Ruffoni2014,4153.8997,-0.28,0.02,1,-0.28,0.02,0.0,0.0
Ruffoni2014,4187.039,-0.56,0.02,1,-0.56,0.02,0.0,0.0
Ruffoni2014,4199.4872,-0.69,0.02,1,-0.69,0.02,0.0,0.0
Ruffoni2014,4233.6028,-0.6,0.02,1,-0.6,0.02,0.0,0.0
Ruffoni2014,4237.1298,-0.34,0.02,1,-0.34,0.02,0.0,0.0
Ruffoni2014,4272.3558,-0.35,0.02,1,-0.35,0.02,0.0,0.0
Ruffoni2014,4276.6761,-1.75,0.14,1,-1.75,0.14,0.0,0.0
Ruffoni2014,4344.4995,-1.15,0.03,1,-1.15,0.03,0.0,0.0
Ruffoni2014,4369.7343,-1.81,0.18,1,-1.81,0.18,0.0,0.0
Ruffoni2014,4401.2899,-0.99,0.03,1,-0.99,0.03,0.0,0.0
Ruffoni2014,4423.8408,-1.61,0.05,1,-1.61,0.05,0.0,0.0
Ruffoni2014,4461.9698,-1.22,0.04,1,-1.22,0.04,0.0,0.0
Ruffoni2014,4476.0755,-0.34,0.02,1,-0.34,0.02,0.0,0.0
Ruffoni2014,4481.6093,-1.5,0.06,1,-1.5,0.06,0.0,0.0
Ruffoni2014,4482.7393,-1.44,0.06,1,-1.44,0.06,0.0,0.0
Ruffoni2014,4528.757,-2.02,0.04,1,-2.02,0.04,0.0,0.0
Ruffoni2014,4581.508,-1.83,0.03,1,-1.83,0.03,0.0,0.0
Ruffoni2014,4611.1849,-2.62,0.15,1,-2.62,0.15,0.0,0.0
Ruffoni2014,4654.6286,-1.34,0.02,1,-1.34,0.02,0.0,0.0
