wavelength_air_A,our_loggf,our_ref,nist_loggf,ours_minus_nist
5991.371,-3.54,VALD3,-3.642065152999546,0.102065152999546
6084.102,-3.78,VALD3,-3.886056647693163,0.10605664769316325
6147.734,-2.827,RU,-2.795880017344075,-0.03111998265592497
6149.246,-2.724,NIST ASD v5.11 grade B,-2.853871964321762,0.12987196432176162
6238.386,-2.6,2009A&A...,-2.75448733218585,0.15448733218584998
6247.557,-2.329,NIST ASD v5.11 grade B,-2.4436974992327127,0.11469749923271255
6369.459,-4.16,VALD3,-4.267606240177032,0.10760624017703169
6456.38,-2.1,VALD3,-2.193820026016113,0.09382002601611283
