wavelength_air_A,chi_eV,dh_loggf,dh_sigma_dex,n_candidates,our_loggf,our_ref,self_referential
3002.644,1.695261300019126,-0.87,0.04,1,-0.93,VALD3,False
3170.337,1.695261300019126,-2.38,0.07,1,-2.42,VALD3,False
3183.114,1.695261300019126,-2.01,0.04,1,-2.0,VALD3,False
3186.737,1.695261300019126,-1.64,0.03,1,-1.67,VALD3,False
3192.91,1.6706185602916517,-1.9,0.04,1,-1.915,VALD3,False
3193.801,1.723982971094191,-1.65,0.04,1,-1.68,VALD3,False
3196.071,1.6706185602916517,-1.74,0.03,1,-1.62,VALD3,False
3210.445,1.723982971094191,-1.62,0.03,1,-1.7,VALD3,False
3213.309,1.695261300019126,-1.24,0.03,1,-1.28,VALD3,False
3227.743,1.6706185602916517,-1.03,0.03,1,-1.08,VALD3,False
3255.888,0.9863337999444338,-2.51,0.04,1,-2.48,VALD3,False
3277.349,0.9863337999444338,-2.14,0.08,1,-2.39,VALD3,False
4173.451,2.582659466330795,-2.38,0.05,1,-2.74,VALD3,False
4233.162,2.582659466330795,-2.02,0.05,1,-1.9,T83av,False
4303.17,2.7043489652246624,-2.52,0.1,1,-2.56,T83av,False
4351.762,2.7043489652246624,-1.95,0.07,1,-2.02,T83av,False
4385.377,2.7784632970873617,-2.64,0.07,1,-2.68,PGHcor,False
4416.819,2.7784632970873617,-2.57,0.09,1,-2.41,BSScor,False
4508.281,2.855515149368406,-2.42,0.06,1,-2.25,T83av,False
4522.628,2.844117071232811,-2.29,0.06,1,-2.03,KK,False
4549.466,2.8281224525179844,-1.92,0.06,1,-2.02,T83av,False
4583.829,2.8066544769725676,-1.94,0.05,1,-1.86,T83av,False
