kind,element,wavelength_air_A,file,stored,correct_to,stored_dex,correct_dex
grade,Ba II,5853.67,nist_crosscheck,A,B,0.012837224705172217,0.04139268515822507
grade,Ca I,5857.451,nist_reference,A,D,0.012837224705172217,0.17609125905568124
grade,Ca I,6102.723,nist_reference,A,C,0.012837224705172217,0.09691001300805642
grade,Ca I,6122.217,nist_reference,A,C,0.012837224705172217,0.09691001300805642
grade,Ca I,6162.173,nist_reference,A,C,0.012837224705172217,0.09691001300805642
grade,Ca I,6439.075,nist_reference,A,D,0.012837224705172217,0.17609125905568124
grade,Ca I,6122.22,nist_crosscheck,A,C,0.012837224705172217,0.09691001300805642
grade,Fe I,5956.694,nist_reference,A,B+,0.012837224705172217,0.029383777685209667
grade,Fe I,6574.228,nist_reference,A,B+,0.012837224705172217,0.029383777685209667
grade,Fe I,6648.079,nist_reference,A,B+,0.012837224705172217,0.029383777685209667
grade,Fe I,5576.089,nist_reference,A,D,0.012837224705172217,0.17609125905568124
grade,Fe I,6065.482,nist_reference,A,B,0.012837224705172217,0.04139268515822507
grade,Fe I,6136.615,nist_reference,A,B,0.012837224705172217,0.04139268515822507
grade,Fe I,5576.09,nist_crosscheck,B,D,0.04139268515822507,0.17609125905568124
grade,Fe II,6149.258,nist_reference,B,E,0.04139268515822507,0.3010299956639812
grade,Fe II,6247.557,nist_reference,B,D,0.04139268515822507,0.17609125905568124
grade,Fe II,6149.25,nist_crosscheck,B,E,0.04139268515822507,0.3010299956639812
grade,Fe II,6247.56,nist_crosscheck,B,D,0.04139268515822507,0.17609125905568124
grade,Li I,6707.761,nist_reference,A+,AAA,0.008600171761917567,0.001300933020418072
grade,Li I,6707.914,nist_reference,A+,AAA,0.008600171761917567,0.001300933020418072
grade,Li I,6707.76,nist_crosscheck,A,AAA,0.012837224705172217,0.001300933020418072
grade,Mg I,4571.096,nist_reference,A,D,0.012837224705172217,0.17609125905568124
grade,Mg I,5167.322,nist_reference,A,B+,0.012837224705172217,0.029383777685209667
grade,Mg I,5711.09,nist_crosscheck,A,B,0.012837224705172217,0.04139268515822507
grade,O I,7771.944,nist_reference,A+,A,0.008600171761917567,0.012837224705172217
grade,O I,7774.166,nist_reference,A+,A,0.008600171761917567,0.012837224705172217
grade,O I,7775.388,nist_reference,A+,A,0.008600171761917567,0.012837224705172217
grade,Si I,5793.073,nist_reference,B,E,0.04139268515822507,0.3010299956639812
grade,Si I,5793.07,nist_crosscheck,B,E,0.04139268515822507,0.3010299956639812
grade,Ti I,5866.452,nist_reference,B,C+,0.04139268515822507,0.07188200730612536
grade,Ti I,5866.46,nist_crosscheck,B,C+,0.04139268515822507,0.07188200730612536
log_gf,Ba II,5853.688,nist_reference,-1.0,-0.9093892921715934,,
log_gf,Ba II,5853.67,nist_crosscheck,-1.01,-0.9093892921715934,,
log_gf,Ca I,6439.075,nist_reference,0.39,0.46834733041215726,,
log_gf,Fe I,5576.089,nist_reference,-1.0,-0.9430951486635274,,
log_gf,Fe I,5576.09,nist_crosscheck,-1.0,-0.9430951486635274,,
log_gf,Fe II,6149.258,nist_reference,-2.724,-2.853871964321762,,
log_gf,Fe II,6247.557,nist_reference,-2.329,-2.4436974992327127,,
log_gf,Fe II,6149.25,nist_crosscheck,-2.724,-2.853871964321762,,
log_gf,Fe II,6247.56,nist_crosscheck,-2.329,-2.4436974992327127,,
log_gf,Li I,6707.761,nist_reference,0.177,-0.0017668246825414716,,
log_gf,Li I,6707.914,nist_reference,-0.123,-0.30278809913598165,,
log_gf,Mg I,5167.322,nist_reference,-1.031,-0.8696662315049939,,
log_gf,Si I,5793.073,nist_reference,-1.963,-2.0163737128754655,,
log_gf,Si I,5793.07,nist_crosscheck,-1.963,-2.0163737128754655,,
