Y CI   10123.870
Y CI   10541.240
Y CI   10729.530
Y CI   10753.980
Y NI   10112.481
Y NI   10114.640
Y MgI   9986.475
Y SiI   9839.328
Y SiI   9872.207
Y SiI   9887.047
Y SiI  10025.743
Y SiI  10582.160
Y SiI  10585.141
Y SiI  10660.973
Y SiI  10727.406
Y SiI  10741.728
Y SiI  10749.378
Y SiI  10786.849
Y PI   10084.277
Y PI   10529.524
Y PI   10581.577
Y PI   10596.903
Y PI   10681.406
Y SI   10455.470
Y SI   10459.460
Y CrI  10486.250
Y FeI   9834.185
Y FeI   9868.186
Y FeI   9944.207
Y FeI   9980.463
Y FeI  10057.640
Y FeI  10230.795
Y FeI  10753.004
Y FeII 10173.515
Y NiI   9898.928
Y SrII 10327.311
J CI   11801.080
J CI   11819.040
J CI   11863.010
J CI   11879.580
J CI   11892.910
J CI   11895.750
J CI   12581.590
J CI   12601.490
J CI   12614.100
J MgI  11828.171
J MgI  12417.937
J SiI  11863.920
J SiI  11984.198
J SiI  11991.568
J SiI  12080.391
J SiI  13152.743
J CaI  11955.955
J CaII 11949.744
J NiI  13048.181
J ZnI  13053.627
H CI   15852.580
H CI   16415.820
H CI   16855.080
H CI   16862.900
H CI   16890.380
H CI   16978.160
H MgI  15024.997
H MgI  15040.246
H MgI  17108.631
H SiI  15361.161
H SiI  15376.831
H SiI  15888.409
H SiI  15960.063
H KI   15168.376
H CrI  15860.210
H FeI  17166.201
H FeI  17282.291
