SiI   10786.849 alfCMi     0.452 0.417 Y Y 0.988 Y 0.028 0.008 1.960 1.423 Y
SiI   10786.849 Sun        0.510 0.525 Y Y 0.986 Y 0.024 0.009 1.425 1.430 Y
SiI   10786.849 epsEri     0.551 0.491 Y Y 0.982 Y 0.045 0.024 5.055 1.425 N
SiI   10786.849 alfBoo     0.527 0.556 Y Y 0.927 Y 0.032 0.011 2.569 1.433 Y
SiI   10786.849 betHyi     0.490 0.478 Y Y 0.988 Y 0.019 0.005 0.910 1.423 Y
SiI   10786.849 gamSge     0.538 0.582 Y Y 0.936 Y 0.035 0.016 3.168 1.425 Y
SrII  10036.653 alfCMi     0.393 0.291 Y Y 0.999 Y 0.037 0.004 3.476 1.360 N
SrII  10036.653 Sun        0.294 0.310 Y Y 0.997 Y 0.021 0.007 1.165 1.365 N
SrII  10036.653 epsEri     0.420 0.311 Y Y 0.988 Y 0.048 0.007 5.899 1.363 N
SrII  10036.653 alfBoo     0.508 0.420 Y Y 0.987 Y 0.038 0.009 3.735 1.358 N
SrII  10036.653 betHyi     0.391 0.297 Y Y 0.998 Y 0.028 0.010 1.958 1.360 N
SrII  10036.653 gamSge     0.391 0.297 Y Y 0.956 Y 0.035 0.027 3.217 1.358 Y
