wavelength_air_A,excitation_potential_eV,ew_mA,REW,log_gf,ges_gf,gf_vs_ges,a_1dlte,resid,vald_proximity_flag,saturation_score,ew_snr_score,line_grade
6007.96,4.652,63.1,-4.9786976733010615,-0.597,-0.597,0.0,7.44,-0.06949999999999967,0.0254,0.0,1.0,B
5784.658,3.397,29.5,-5.292455671751545,-2.532,-2.547,0.015000000000000124,7.44,-0.06949999999999967,0.1487,0.0,0.8194,B
5855.076,4.608,24.8,-5.373080855843721,-1.478,-1.478,0.0,7.437,-0.07249999999999979,0.0089,0.0,0.5905,B
5412.784,4.435,21.4,-5.403006923337328,-1.716,-1.716,0.0,7.436,-0.07350000000000012,0.1008,0.0,0.5944,B
5398.279,4.446,75.1,-4.856615389498142,-0.67,-0.63,-0.040000000000000036,7.435,-0.07450000000000045,0.0219,0.0,1.0,B
5905.671,4.652,61.1,-4.9852280388774615,-0.73,-0.69,-0.040000000000000036,7.43,-0.07950000000000035,0.2057,0.0,0.6789,B
5466.396,4.371,80.2,-4.833526721638399,-0.63,-0.63,0.0,7.429,-0.0804999999999998,0.0394,0.0,1.0,B
5753.122,4.26,81.9,-4.846619681958285,-0.688,-0.623,-0.06499999999999995,7.416,-0.0934999999999997,0.0619,0.0,1.0,B
5242.491,3.634,88.3,-4.773576989989247,-0.967,-0.967,0.0,7.413,-0.09649999999999981,0.0072,0.0,1.0,B
6240.646,2.223,50.0,-5.09625954363391,-3.233,-3.23,-0.0030000000000001137,7.413,-0.09649999999999981,0.0183,0.0,1.0,B
6180.203,2.728,56.6,-5.038186309326417,-2.586,-2.591,0.0050000000000003375,7.41,-0.09949999999999992,0.0406,0.0,1.0,B
5778.453,2.588,23.1,-5.398199605329532,-3.43,-3.43,0.0,7.403,-0.10650000000000048,0.0214,0.0,0.6417,B
6419.949,4.733,86.8,-4.869011852875764,-0.24,-0.2,-0.03999999999999998,7.398,-0.11150000000000038,0.0236,0.0,1.0,B
5859.586,4.549,74.1,-4.898048724716744,-0.419,-0.419,0.0,7.391,-0.11850000000000005,0.0392,0.0,0.7057,B
5930.18,4.652,90.8,-4.814982027274937,-0.23,-0.23,0.0,7.375,-0.13450000000000006,0.0026,0.0,1.0,B
4969.917,4.218,78.9,-4.7992721326581185,-0.71,-0.71,0.0,7.366,-0.1435000000000004,0.0432,0.0,1.0,B
