band,verified_source_class,status,n_line_holding_cells,n_unique_lines
H,UNRESOLVED,HOLD,54,18
H,UNRESOLVED,N/A,180,18
NIR,EVALUATED_THEORY,HOLD,32,7
NIR,EVALUATED_THEORY,N/A,59,7
NIR,MIXED_LAB_THEORY,HOLD,4,1
NIR,MIXED_LAB_THEORY,N/A,9,1
NIR,PRIMARY_LABORATORY,HOLD,12,4
NIR,PRIMARY_LABORATORY,N/A,40,4
NIR,UNRESOLVED,HOLD,160,67
NIR,UNRESOLVED,N/A,711,67
NO_DECLARED_BAND,EVALUATED_THEORY,N/A,143,11
NO_DECLARED_BAND,MIXED_LAB_THEORY,HOLD,4,2
NO_DECLARED_BAND,MIXED_LAB_THEORY,N/A,22,2
NO_DECLARED_BAND,PRIMARY_LABORATORY,HOLD,4,2
NO_DECLARED_BAND,PRIMARY_LABORATORY,N/A,61,5
NO_DECLARED_BAND,UNRESOLVED,HOLD,6,3
NO_DECLARED_BAND,UNRESOLVED,N/A,4037,311
VIS,EVALUATED_THEORY,HOLD,7,1
VIS,EVALUATED_THEORY,N/A,6,1
VIS,PRIMARY_LABORATORY,HOLD,26,4
VIS,PRIMARY_LABORATORY,N/A,26,4
VIS,UNRESOLVED,HOLD,146,21
VIS,UNRESOLVED,N/A,127,21
near-UV,EVALUATED_THEORY,HOLD,4,1
near-UV,EVALUATED_THEORY,N/A,9,1
near-UV,PRIMARY_LABORATORY,HOLD,8,2
near-UV,PRIMARY_LABORATORY,N/A,18,2
near-UV,UNRESOLVED,HOLD,36,9
near-UV,UNRESOLVED,N/A,81,9
red-optical,EVALUATED_THEORY,HOLD,80,16
red-optical,EVALUATED_THEORY,N/A,128,16
red-optical,UNRESOLVED,HOLD,125,25
red-optical,UNRESOLVED,N/A,200,25
