canonical_line_id,species,wavelength_air,lower_EP,historical_band,historical_gf_source,historical_gf_grade,historical_source_class,historical_loggf,historical_gf_sigma_dex,verified_source_record_id,bibliography_chain,verified_source_class,verified_loggf,gf_uncertainty_bound_dex,uncertainty_basis,reference_membership,disposition_reason,physical_identity_status,component_semantics,hfs_component_status,codex_membership,deep_membership,external_membership,source_candidate_count,feature_depth,component_count,raw_component_sum_loggf,blend_flag,atomic_handoff_status,replication_membership
alphys_II_1763.8690_0010,Al II,1763.869,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.34,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.947,1.0,-0.34,False,HOLD,NONMEMBER
alphys_II_1763.9520_0011,Al II,1763.952,4.6591,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.36,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.976,1.0,0.36,False,HOLD,NONMEMBER
alphys_II_1765.8160_0012,Al II,1765.816,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.2098312359,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.954,3.0,-0.2098312359,False,HOLD,NONMEMBER
alphys_I_1766.3810_0013,Al I,1766.381,0.0139,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.46,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.999,1.0,0.46,False,HOLD,NONMEMBER
alphys_II_1767.7320_0014,Al II,1767.732,4.6591,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.12,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.957,1.0,-0.12,False,HOLD,NONMEMBER
alphys_I_1769.1330_0015,Al I,1769.133,0.0139,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.21,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.999,1.0,-0.21,False,HOLD,NONMEMBER
alphys_II_1772.8030_0016,Al II,1772.803,11.665,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.08,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.004,1.0,0.08,False,HOLD,NONMEMBER
alphys_II_1774.0020_0017,Al II,1774.002,11.6728,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.43,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.009,1.0,0.43,False,HOLD,NONMEMBER
alphys_II_1774.7700_0018,Al II,1774.77,11.6728,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.05,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.003,1.0,-0.05,False,HOLD,NONMEMBER
alphys_II_1776.9730_0019,Al II,1776.973,11.6878,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.7,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.017,1.0,0.7,False,HOLD,NONMEMBER
alphys_II_1777.8260_0020,Al II,1777.826,11.6878,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.05,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.003,1.0,-0.05,False,HOLD,NONMEMBER
alphys_II_1818.3550_0021,Al II,1818.355,11.8466,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.19,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.004,1.0,0.19,False,HOLD,NONMEMBER
alphys_II_1855.9182_0022,Al II,1855.9182,4.6361,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-1.382,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.852,1.0,-1.382,False,HOLD,NONMEMBER
alphys_II_1855.9323_0023,Al II,1855.9323,4.6361,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-1.2851147445,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.852,2.0,-1.2851147445,False,HOLD,NONMEMBER
alphys_II_1858.0250_0024,Al II,1858.025,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.5498276998,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.903,7.0,-0.5498276998,False,HOLD,NONMEMBER
