source_row,species,wavelength_vac_nm,lower_energy_eV,published_loggf,source_band,join_status,candidate_count,matched_file,matched_line,raw_transition_label,identity_basis,ambiguity_note
1,C2,493.812,1.112,0.843,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
2,C2,495.281,1.029,0.651,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
3,C2,498.060,0.874,0.614,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
4,C2,498.070,0.874,0.298,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
5,C2,499.370,0.802,0.588,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
6,C2,503.504,0.584,0.507,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
7,C2,503.518,0.584,0.193,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
8,C2,503.911,0.564,0.498,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
9,C2,504.471,1.226,0.851,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
10,C2,504.833,0.555,0.022,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
11,C2,505.404,0.489,0.461,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
12,C2,506.281,0.486,-0.334,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
13,C2,506.458,0.437,0.431,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
14,C2,506.470,0.437,0.115,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
15,C2,506.813,0.420,0.421,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
16,C2,506.825,0.420,0.104,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
17,C2,507.486,0.388,0.398,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
18,C2,507.500,0.388,0.082,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
19,C2,508.767,0.328,0.352,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
20,C2,508.781,0.328,0.033,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
21,C2,510.517,0.250,0.272,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
22,C2,510.941,0.710,0.748,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
23,C2,513.392,0.137,-0.262,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
24,C2,514.265,0.420,0.404,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
25,C2,514.274,0.420,0.087,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
26,C2,514.476,0.103,-0.409,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
27,C2,514.502,0.103,-0.444,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
28,C2,514.530,0.103,-0.478,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
29,C2,514.601,0.388,0.382,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
30,C2,515.199,0.328,0.335,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
31,C2,516.247,0.206,0.190,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
32,C2,516.486,0.169,0.115,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
33,C2,472.765,0.373,-0.138,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
34,C2,557.646,0.634,-0.137,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
35,C2,558.220,0.583,-0.551,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
36,C2,560.973,0.555,-0.118,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
37,C2,560.988,0.555,-0.436,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
38,C2,561.406,0.526,-0.461,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
39,C2,562.434,0.449,-0.223,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
40,CH,425.420,0.523,-1.506,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
41,CH,425.441,0.523,-1.471,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
42,CH,425.645,0.157,-1.455,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
43,CH,426.518,0.460,-1.575,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
44,CH,427.539,0.074,-1.563,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
45,CH,435.783,0.157,-1.793,VIS,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
46,CH,3294.615,0.773,-2.600,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
47,CH,3303.095,0.915,-2.523,IR,UNMATCHED,0,,,,,No unique three-field identity in vendored exact-release candidates
