domain,band,source_rows,matched,unresolved,verdict
molecular,FUV,0,0,0,NO_SOURCE_ROWS
molecular,NUV,0,0,0,NO_SOURCE_ROWS
molecular,VIS,45,21,24,CROSSMATCH_REVIEW
molecular,RED_OPTICAL,0,0,0,NO_SOURCE_ROWS
molecular,NIR,122,120,2,CROSSMATCH_REVIEW
molecular,IR,241,223,18,CROSSMATCH_REVIEW
atomic,FUV,0,0,0,NO_SOURCE_ROWS
atomic,NUV,0,0,0,NO_SOURCE_ROWS
atomic,VIS,14,3,11,CROSSMATCH_REVIEW
atomic,RED_OPTICAL,33,23,10,CROSSMATCH_REVIEW
atomic,NIR,1,0,1,CROSSMATCH_REVIEW
atomic,IR,0,0,0,NO_SOURCE_ROWS
