species,system,wavelength_air_A,j_lower,j_upper,branch,sym_lower,e_upper,e_lower,f_value,einstein_A,source
NH,A-X,3343.1994,2,3,rR3(2),e,30098.47755,195.6073674,0.002652208,1129919.599,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3365.0608,2,1,pP2(2),f,29807.27659,98.66640593,0.000334983,328683.4093,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3356.6742,2,1,qP32(2),f,29881.50018,98.66640593,0.000953396,940147.8771,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3369.2188,2,2,pQ12(2),f,29770.61339,98.66640593,0.000730121,428774.6324,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.4113,2,2,qQ2(2),f,29866.09587,98.66640593,0.002001506,1182991.962,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3346.5488,2,2,rQ32(2),f,29971.60868,98.66640593,0.000846592,503932.3086,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3361.1063,2,3,qR12(2),f,29842.22875,98.66640593,0.001359285,572942.2212,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3347.6221,2,3,rR2(2),f,29962.03186,98.66640593,0.002291414,973632.9802,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3332.2860,2,3,sR32(2),f,30099.46653,98.66640593,7.33E-05,31442.20416,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3380.3710,3,2,oP12(3),f,29770.60149,196.5422478,5.83E-05,47637.85135,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3369.3711,3,2,pP2(3),f,29867.14794,196.5422478,0.000762516,626861.8695,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3357.3937,3,2,qP32(3),f,29972.99346,196.5422478,0.000605619,501436.4109,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3372.1936,3,3,pQ12(3),f,29842.31486,196.5422478,0.000558446,327377.3663,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.7806,3,3,qQ2(3),f,29960.69906,196.5422478,0.002852037,1685328.518,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3343.3039,3,3,rQ32(3),f,30098.47755,196.5422478,0.000515638,307528.801,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.6958,3,4,qR12(3),f,29943.73778,196.5422478,0.000757733,347861.4237,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3344.1772,3,4,rR2(3),f,30090.66892,196.5422478,0.002409446,1117086.412,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3325.4107,3,4,sR32(3),f,30259.36726,196.5422478,5.08E-05,23838.32908,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3369.1102,3,2,pP1(3),e,29770.61339,97.70999796,0.000532051,437465.0722,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3358.3034,3,2,qP21(3),e,29866.09587,97.70999796,0.000754434,624312.2375,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3346.4417,3,2,rP31(3),e,29971.60868,97.70999796,5.26E-05,43854.63624,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3395.2352,3,2,nP13(3),e,29770.61339,326.0236991,1.13E-06,912.5917991,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3384.2604,3,2,oP23(3),e,29866.09587,326.0236991,4.31E-05,35156.39045,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3372.2150,3,2,pP3(3),e,29971.60868,326.0236991,0.001263148,1036679.847,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3360.9982,3,3,qQ1(3),e,29842.22875,97.70999796,0.00322589,1903731.254,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3347.5149,3,3,rQ21(3),e,29962.03186,97.70999796,0.000841782,500780.4257,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3332.1798,3,3,sQ31(3),e,30099.46653,97.70999796,1.21E-05,7259.340182,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3386.9970,3,3,oQ13(3),e,29842.22875,326.0236991,1.32E-05,7686.20105,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3373.3047,3,3,pQ23(3),e,29962.03186,326.0236991,0.0004177,244706.7392,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3357.7330,3,3,qQ3(3),e,30099.46653,326.0236991,0.003695025,2184830.404,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
NH,A-X,3349.5394,3,4,rR1(3),e,29943.98144,97.70999796,0.003053814,1411303.588,data/reference/cno_molecular_primary/nh_brooke2014/NH-A-X-linelist.csv
