source_row,species,system,band,wavelength_vac_nm,lower_energy_eV,published_loggf,join_status,component_count,summed_loggf,subset_candidate_count,primary_wavelengths_A,primary_energies_eV,primary_loggfs,transition_labels,primary_source,primary_lines
11,C2,Swan,(0-0),505.404,0.489,0.461,AMBIGUOUS_SUM_MATCH,5,0.461000,16,5054.03414;5054.02503;5053.88904;5053.70070;5053.55561,0.488572;0.488502;0.488502;0.488572;0.488502,0.154994;0.164480;-3.158021;-3.166033;-6.731394,rR2e(45);rR1f(46);rQ21f(46);rQ32e(45);rP31f(46),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1442;301;1061;2207;1825
12,C2,Swan,(1-1),506.281,0.486,-0.334,PRIMARY_TUPLE_MATCH,1,,0,5062.91156,0.485317,-0.333814,rR1e(33),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,27957
13,C2,Swan,(0-0),506.458,0.437,0.431,AMBIGUOUS_SUM_MATCH,4,0.430973,16,5064.58408;5064.53791;5064.52175;5064.15417,0.436438;0.436260;0.436438;0.436260,0.124706;0.134880;-3.127008;-6.393181,rR2f(42);rR1e(43);rQ32f(42);rP31e(43),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1439;298;2204;1822
14,C2,Swan,(0-0),506.470,0.437,0.115,PRIMARY_TUPLE_MATCH,1,,0,5064.69530,0.436521,0.114746,rR3e(41),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2588
15,C2,Swan,(0-0),506.813,0.420,0.421,AMBIGUOUS_SUM_MATCH,4,0.420669,8,5068.13959;5068.12418;5067.96334;5067.78304,0.419566;0.419481;0.419481;0.419566,0.114167;0.124553;-3.119554;-3.128382,rR2e(41);rR1f(42);rQ21f(42);rQ32e(41),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1438;297;1057;2203
16,C2,Swan,(0-0),506.825,0.420,0.104,PRIMARY_TUPLE_MATCH,1,,0,5068.26140,0.419797,0.103951,rR3f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2587
17,C2,Swan,(0-0),507.486,0.388,0.398,AMBIGUOUS_SUM_MATCH,2,0.398850,8,5074.87061;5074.85145,0.387377;0.387283,0.092335;0.103238,rR2e(39);rR1f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1436;295
18,C2,Swan,(0-0),507.500,0.388,0.082,PRIMARY_TUPLE_MATCH,1,,0,5074.99580,0.387615,0.081619,rR3f(38),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2585
19,C2,Swan,(0-0),508.767,0.328,0.352,AMBIGUOUS_SUM_MATCH,2,0.352440,8,5087.67447;5087.64610,0.327657;0.327543,0.045315;0.057420,rR2e(35);rR1f(36),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1432;291
20,C2,Swan,(0-0),508.781,0.328,0.033,PRIMARY_TUPLE_MATCH,1,,0,5087.80739,0.327912,0.033429,rR3f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,2581
21,C2,Swan,(0-0),510.517,0.250,0.272,AMBIGUOUS_SUM_MATCH,2,0.272590,5,5105.19333;5105.14521,0.249809;0.249655,-0.035754;-0.021248,rR2e(29);rR1f(30),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,1426;285
