element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,nlte_delta_dex,nlte_source,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,4510.8205,kpno_solar_atlas,16.526305825488485,SYNTHESIS (VIS) via _fit_synth_flux,,-5.43607976019559,ENGINE-B,False,CHI2-GATE: red_chi2 22.182 >= 10.0. The fit converged (A=6.717) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,3.6025,0.0,"none — LTE, no departure applied",False,0.16689712703206014,0.3917139595356941,2.717350258003254,22.182
Fe,I,4769.8116,kpno_solar_atlas,46.904863230542965,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.939; red_chi2=4.94; n_pix=86; window +/-0.235 A wing-wide from EW 44 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.939,-5.007283351489829,ENGINE-B,False,"REGISTRY-ATOMIC_BLEND: exclude/active per data/registry/problem_children.csv [764,783,782,809] — carried, not dropped (RYA-711)",ATOMIC_BLEND,active,"764,783,782,809",exclude,4.4346,0.0,"none — LTE, no departure applied",False,0.030944775386032856,3.438985472985246,2.0612833585437373,4.94
Fe,I,4781.7419,kpno_solar_atlas,8.988272524886414,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.507; red_chi2=1.169; n_pix=92; window +/-0.251 A wing-wide from EW 50 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.507,-5.725909899092111,ENGINE-B,True,,,,,,3.5732,0.0,"none — LTE, no departure applied",False,0.02670774238816496,3.8915029031543424,2.5074040687795476,1.169
Fe,I,4787.8264,kpno_solar_atlas,124.09701893890602,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.468; red_chi2=5.427; n_pix=93; window +/-0.259 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.468,-4.586377046106047,ENGINE-B,True,,,,,,2.998,0.0,"none — LTE, no departure applied",False,0.015678889867716574,43.30898789192732,2.5321104470398925,5.427
Fe,I,4880.5238,kpno_solar_atlas,10.850807602248258,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.056; red_chi2=1.104; n_pix=190; window +/-0.271 A wing-wide from EW 58 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.056,-5.6530043719713605,ENGINE-B,True,,,,,,4.0758,0.0,"none — LTE, no departure applied",False,0.011458240478860102,11.732830780883152,2.9443111109786697,1.104
Fe,I,4932.0836,kpno_solar_atlas,29.329754514545733,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.505; red_chi2=5.173; n_pix=88; window +/-0.256 A wing-wide from EW 52 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.505,-5.225722001362787,ENGINE-B,True,,ABUNDANCE_OUTLIER,owed,"764,783,782,809",flag,4.652,0.0,"none — LTE, no departure applied",False,0.025171840986524786,7.6548733353890155,2.495103805528032,5.173
Fe,I,4974.2458,kpno_solar_atlas,,SYNTHESIS (VIS) via _fit_synth_flux,,,ENGINE-B,False,"NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the synthetic flux by at most 0.00183. This line is absent from the synthesis line list, or carries a gf too weak to register, so no abundance can be fitted from it. Coverage gap, not a measurement failure.",,,,,5.9004,0.0,"none — LTE, no departure applied",False,,,,
Fe,I,4975.4116,kpno_solar_atlas,17.623545453367058,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.006; red_chi2=3.943; n_pix=81; window +/-0.242 A wing-wide from EW 47 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.006,-5.450735731410891,ENGINE-B,False,"REGISTRY-ATOMIC_BLEND: exclude/active per data/registry/problem_children.csv [764,783,782,809] — carried, not dropped (RYA-711)",ATOMIC_BLEND,active,"764,783,782,809",exclude,3.3014,0.0,"none — LTE, no departure applied",False,0.022130989994460826,9.243986517403965,1.9937067599613911,3.943
Fe,I,5054.6423,kpno_solar_atlas,43.334410398775624,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.439; red_chi2=2.848; n_pix=82; window +/-0.254 A wing-wide from EW 52 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.439,-5.066857535460496,ENGINE-B,True,,,,,,3.6398,0.0,"none — LTE, no departure applied",False,0.014378377147882988,83.66066887018604,2.561352017309958,2.848
Fe,I,5106.4573,kpno_solar_atlas,81.43062953046784,SYNTHESIS (VIS) via _fit_synth_flux,,-4.7973319124205505,ENGINE-B,False,CHI2-GATE: red_chi2 21.881 >= 10.0. The fit converged (A=7.550) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,4.607,0.0,"none — LTE, no departure applied",False,0.05032809427652834,2.218530528073102,2.450312641143155,21.881
