element,ion,band,instrument,treatment,handler,A,n_lines,n_excluded,stat_dex,syst_dex,dominant
Fe,II,VIS,kpno_solar_atlas,1D-LTE,ProfileFitHandler,7.542,10,1,0.0624,0.1705,gf scale (UNGRADED)
Fe,II,VIS,kpno_solar_atlas,ENGINE-A,ProfileFitHandler,7.517,3,7,0.0845,0.1705,gf scale (UNGRADED)
Fe,II,VIS,kpno_solar_atlas,ENGINE-B,SynthesisHandler,7.486,9,2,0.0129,0.17,gf scale (UNGRADED)
