element,total_lines,nir_lines,canonical,note
Nb,7491,0,False,non-canonical (lanthanide/heavy)
Ce,5873,20,False,non-canonical (lanthanide/heavy)
Pr,5776,0,False,non-canonical (lanthanide/heavy)
Ta,5654,0,False,non-canonical (lanthanide/heavy)
La,3662,0,False,non-canonical (lanthanide/heavy)
Tb,1785,0,False,non-canonical (lanthanide/heavy)
Nd,1238,0,False,non-canonical (lanthanide/heavy)
Sm,1129,7,False,non-canonical (lanthanide/heavy)
Th,879,0,False,non-canonical (lanthanide/heavy)
Gd,806,0,False,non-canonical (lanthanide/heavy)
Dy,805,8,False,non-canonical (lanthanide/heavy)
W,799,0,False,non-canonical (lanthanide/heavy)
Ru,788,0,False,non-canonical (lanthanide/heavy)
Os,777,0,False,non-canonical (lanthanide/heavy)
Mo,702,0,False,non-canonical (lanthanide/heavy)
Er,609,4,False,non-canonical (lanthanide/heavy)
Hf,523,0,False,non-canonical (lanthanide/heavy)
Ho,497,0,False,non-canonical (lanthanide/heavy)
Ir,455,0,False,non-canonical (lanthanide/heavy)
Lu,402,0,False,non-canonical (lanthanide/heavy)
Tm,380,0,False,non-canonical (lanthanide/heavy)
Re,322,0,False,non-canonical (lanthanide/heavy)
Yb,321,5,False,non-canonical (lanthanide/heavy)
Rh,309,0,False,non-canonical (lanthanide/heavy)
Pt,274,0,False,non-canonical (lanthanide/heavy)
U,187,0,False,non-canonical (lanthanide/heavy)
Sb,70,0,False,non-canonical (lanthanide/heavy)
Ge,70,12,False,non-canonical (lanthanide/heavy)
Sn,69,0,False,non-canonical (lanthanide/heavy)
As,64,0,False,non-canonical (lanthanide/heavy)
Zn,56,8,False,Zn: real but non-canonical — clears no canon criterion
Pd,55,0,False,non-canonical (lanthanide/heavy)
Pb,45,0,False,non-canonical (lanthanide/heavy)
Rb,42,30,False,non-canonical (lanthanide/heavy)
Ga,41,4,False,non-canonical (lanthanide/heavy)
Au,38,0,False,non-canonical (lanthanide/heavy)
B,32,3,False,non-canonical (lanthanide/heavy)
Bi,29,0,False,non-canonical (lanthanide/heavy)
In,22,0,False,non-canonical (lanthanide/heavy)
Cd,20,0,False,non-canonical (lanthanide/heavy)
Be,18,0,False,non-canonical (lanthanide/heavy)
Tl,18,0,False,non-canonical (lanthanide/heavy)
Cl,18,3,False,non-canonical (lanthanide/heavy)
Te,11,0,False,non-canonical (lanthanide/heavy)
Hg,9,0,False,non-canonical (lanthanide/heavy)
Se,8,0,False,non-canonical (lanthanide/heavy)
Ag,8,0,False,non-canonical (lanthanide/heavy)
Cs,1,0,False,non-canonical (lanthanide/heavy)
