element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,4741.52917,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),83.88,9.65,voigt,0.0127,False,
Ti,I,4742.7892,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),40.77,11.73,voigt,0.0176,False,
Cr,I,4745.3065,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),209.25,25.55,voigt,0.0111,False,
V,I,4748.5065,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),135.96,11.21,voigt,0.0066,False,
Ti,I,4759.2697,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),44.52,12.62,voigt,0.0092,False,
Cr,I,4759.47537,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),43.55,12.7,voigt,0.0095,False,
Cr,I,4759.75386,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),93.2,160.75,voigt,0.0143,False,
Cu,I,4767.41639,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),197.76,176.6,voigt,0.0361,False,
Fe,I,4771.88344,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),232.24,24.11,voigt,0.015,False,
Cr,I,4777.58487,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),40.53,96.74,voigt,0.008,False,
Fe,I,4782.78801,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),288.75,33.67,voigt,0.0161,False,
Fe,I,4785.72211,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),261.38,61.95,voigt,0.0196,False,
Fe,I,4787.49462,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),277.29,139.63,voigt,0.0337,False,
Ti,I,4787.6352,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),230.88,146.69,voigt,0.0369,False,
Ni,I,4793.42602,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),151.9,20.32,voigt,0.0074,False,
Fe,I,4794.3536,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.91,11.94,voigt,0.0087,False,
Fe,I,4797.03396,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),106.46,104.85,voigt,0.0086,False,
Fe,I,4800.12754,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),252.71,122.38,voigt,0.0179,False,
Fe,I,4807.70799,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),94.06,13.59,voigt,0.0137,False,
Cr,I,4807.81135,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),275.43,31.98,voigt,0.0113,False,
Zr,I,4815.04,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),122.1,98.45,voigt,0.0047,False,
Cr,I,4816.1392,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),57.68,102.29,voigt,0.0058,False,
Fe,I,4821.00215,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.7,4.69,voigt,0.0034,False,
Fe,I,4835.86715,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.01,5.92,voigt,0.0047,False,
Ti,I,4837.39563,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),119.99,94.28,voigt,0.0149,False,
Ti,I,4839.2514,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),283.45,141.95,voigt,0.025,False,
Fe,I,4852.25771,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),123.4,42.81,voigt,0.0048,False,
Fe,I,4854.48056,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),255.17,124.99,voigt,0.0224,False,
Fe,I,4868.93168,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),167.31,150.75,voigt,0.0181,False,
Fe,I,4873.75074,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.88,14.12,voigt,0.0395,False,
Fe,I,4875.02987,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),274.97,132.02,voigt,0.0199,False,
Fe,I,4893.69693,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.69,6.76,voigt,0.0057,False,
Fe,I,4907.32003,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),126.97,16.23,voigt,0.0058,False,
Ti,I,4915.2287,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),8.81,9.03,voigt,0.0113,False,
Fe,I,4916.66379,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),126.93,137.95,voigt,0.015,False,
Fe,I,4924.30076,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),256.9,24.71,voigt,0.0234,False,
Fe,I,4928.56766,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),166.21,140.28,voigt,0.0167,False,
Ti,I,4943.0668,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),135.76,20.33,voigt,0.0082,False,
Ni,I,4963.09608,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),95.07,37.41,voigt,0.0072,False,
Ti,I,4964.72,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),167.33,32.45,voigt,0.0182,False,
Cr,I,4964.92723,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),233.45,31.36,voigt,0.0167,False,
Fe,I,4972.9104,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.82,10.94,voigt,0.0056,False,
Fe,I,4980.53962,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),120.2,44.99,voigt,0.0421,False,
Ti,I,4988.60249,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),148.8,12.49,voigt,0.0068,False,
Cr,I,4992.58389,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),174.37,238.05,voigt,0.0442,False,
Fe,I,4995.40742,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),138.0,116.18,voigt,0.0238,False,
Ti,I,4997.0967,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),89.99,10.36,voigt,0.0077,False,
Mn,I,4998.1212,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),63.37,9.77,voigt,0.0206,False,
Ni,I,4998.2242,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),63.72,10.11,voigt,0.021,False,
Fe,I,5008.64147,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),8.82,8.3,voigt,0.0272,False,
Ti,I,5009.6447,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),160.63,32.37,voigt,0.0066,False,
Fe,I,5016.47696,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.59,20.93,voigt,0.0496,False,
Ti,I,5038.3979,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),53.45,28.61,gaussian,0.0625,False,
Fe,I,5039.53895,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),109.12,37.44,gaussian,0.0499,False,
Fe,I,5045.56215,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.65,9.74,voigt,0.0079,False,
Ti,I,5054.07445,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),112.29,61.77,voigt,0.0049,False,
Cr,I,5055.58089,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.74,21.12,voigt,0.0047,False,
Fe,I,5104.18906,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),186.44,29.79,voigt,0.0159,False,
Fe,I,5119.89927,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),112.1,156.08,voigt,0.0132,False,
Ti,I,5132.9286,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),290.78,66.88,voigt,0.028,False,
Fe,I,5159.95,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),170.05,54.41,voigt,0.0076,False,
Fe,II,5169.02818,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),290.93,78.39,gaussian,0.0976,False,
Fe,I,5171.31646,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),130.73,31.06,gaussian,0.0656,False,
Fe,I,5176.99294,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),125.83,50.33,voigt,0.0053,False,
Ti,II,5185.902,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),50.89,24.51,gaussian,0.0858,False,
