element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,5552.69148,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),84.46,13.74,voigt,0.0034,False,
Fe,I,5554.74071,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.75,11.49,voigt,0.0049,False,
Fe,I,5559.35903,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),89.02,29.74,voigt,0.0077,False,
Fe,I,5560.21088,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.14,1.62,voigt,0.0003,False,
Fe,I,5561.24211,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),89.21,68.41,voigt,0.0087,False,
Cr,I,5566.54284,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),192.6,26.09,voigt,0.0126,False,
Fe,I,5568.81,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),211.95,49.09,voigt,0.0206,False,
Fe,I,5570.05062,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),205.82,11.01,voigt,0.0075,False,
Fe,I,5576.089,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),125.13,28.03,voigt,0.0182,True,blend_flag
Fe,I,5577.02439,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),17.87,14.92,voigt,0.0185,False,
Fe,I,5579.94268,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),67.7,76.88,voigt,0.0062,False,
Ti,I,5589.99559,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),106.24,21.75,voigt,0.034,False,
Fe,I,5602.54119,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),269.37,14.39,voigt,0.0161,False,
S,I,5606.77395,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),27.24,7.81,voigt,0.0004,False,
Fe,II,5607.12521,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.97,21.1,voigt,0.0005,False,
Cr,I,5609.16006,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.98,5.64,voigt,0.0005,False,
Fe,I,5611.35608,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),12.92,1.36,voigt,0.0002,False,
V,I,5616.63921,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),285.92,105.8,voigt,0.0364,False,
Ti,I,5618.346,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),58.13,4.02,voigt,0.0033,False,
Fe,I,5619.22418,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),131.83,40.52,voigt,0.0064,False,
Fe,I,5620.02655,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),126.44,25.29,voigt,0.0061,False,
Si,I,5622.2197,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),44.52,106.47,voigt,0.0057,False,
Fe,I,5624.02126,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),265.86,33.86,voigt,0.0126,False,
Fe,I,5627.08049,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),80.66,76.82,voigt,0.0039,False,
Fe,I,5627.36145,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.43,4.34,voigt,0.0016,False,
Fe,I,5636.69544,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),25.95,10.91,voigt,0.0128,False,
Fe,I,5636.82447,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),155.1,55.8,voigt,0.0108,False,
Fe,I,5638.93247,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),137.47,89.59,voigt,0.0101,False,
Fe,I,5640.30654,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.73,11.64,voigt,0.0102,False,
Cr,I,5641.73476,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),98.32,7.2,voigt,0.0042,False,
Fe,I,5642.75027,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),115.07,77.01,voigt,0.0104,False,
Si,I,5645.03323,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),103.51,35.21,voigt,0.0044,False,
Fe,I,5645.83246,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.32,5.79,voigt,0.003,False,
Fe,I,5646.68359,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),11.73,5.22,voigt,0.0023,False,
Ti,I,5648.56598,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),80.19,24.42,voigt,0.0034,False,
Fe,I,5648.88419,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),92.95,69.06,voigt,0.0045,False,
Fe,I,5649.98657,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),143.18,14.42,voigt,0.0036,False,
Si,I,5650.48315,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),157.39,53.49,voigt,0.0046,False,
Si,I,5650.59813,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.88,7.53,voigt,0.0051,False,
Fe,I,5650.70512,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),55.32,7.55,voigt,0.0051,False,
Fe,I,5652.31726,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.43,10.72,voigt,0.0041,False,
Fe,I,5653.86444,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),53.97,11.09,voigt,0.0119,False,
Ti,I,5654.76501,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),260.88,17.55,voigt,0.0065,False,
Si,I,5660.67668,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.8,60.44,voigt,0.0271,False,
Fe,I,5660.80073,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.96,35.5,voigt,0.0216,False,
Fe,I,5661.01999,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),87.58,28.76,voigt,0.0142,False,
Fe,I,5661.9703,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),234.11,39.17,voigt,0.0108,False,
Ti,I,5662.15,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),184.37,19.42,voigt,0.0103,False,
Si,I,5666.67685,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),164.08,19.85,voigt,0.0051,False,
Cr,I,5667.81511,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),76.25,7.23,voigt,0.0044,False,
Ni,I,5669.94313,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),66.01,9.85,voigt,0.0025,False,
Fe,I,5672.26135,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),42.69,8.3,voigt,0.0007,False,
Cr,I,5674.17436,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.41,22.87,voigt,0.0042,False,
Cr,I,5675.07013,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),105.17,4.4,voigt,0.001,False,
Si,I,5675.75544,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),99.59,2.27,voigt,0.0003,False,
V,I,5676.58435,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),64.88,17.9,voigt,0.0041,False,
Fe,I,5677.68403,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.02,4.46,voigt,0.0049,False,
Ti,I,5679.91693,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),84.58,17.57,voigt,0.0043,False,
Fe,I,5681.50574,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),149.54,28.5,voigt,0.0128,False,
Na,I,5682.633,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),159.39,9.69,voigt,0.0059,True,blend_flag; NLTE_flag
Fe,I,5683.00433,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),169.83,16.8,voigt,0.0122,False,
Fe,I,5683.45084,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),205.16,30.3,voigt,0.0175,False,
Fe,I,5686.12,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),101.5,51.12,voigt,0.0087,False,
Fe,I,5686.52947,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),110.81,12.88,voigt,0.0129,False,
Fe,I,5687.85661,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),170.42,14.61,voigt,0.0121,False,
Na,I,5688.205,harps,"inherited: entered via RYA-465 recovery / RYA-102-103 charter force-include; HARPS by lineage, not individually re-verified",163.0,10.0,voigt,0.0079,True,blend_flag; NLTE_flag
Ti,I,5689.46,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.58,15.79,voigt,0.0183,False,
Fe,I,5691.17328,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.99,6.15,voigt,0.0041,False,
Fe,I,5693.21578,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),64.36,32.25,voigt,0.0071,False,
Fe,I,5693.31954,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),51.65,14.65,voigt,0.0059,False,
Fe,I,5693.6159,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),58.71,4.4,voigt,0.0033,False,
Fe,I,5698.01991,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),110.86,13.48,voigt,0.0012,False,
Si,I,5701.104,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),176.19,17.3,voigt,0.0073,False,
Ti,I,5701.64598,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),110.35,7.44,voigt,0.0049,False,
Fe,I,5701.89768,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),117.68,8.87,voigt,0.0059,False,
Ti,I,5702.00598,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),178.81,22.77,voigt,0.009,False,
Ti,I,5703.8981,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),36.52,7.97,voigt,0.0035,False,
Fe,I,5704.73264,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.99,9.44,voigt,0.0116,False,
Fe,I,5705.99176,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),127.01,16.02,voigt,0.0155,False,
S,I,5706.424,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),142.73,19.19,voigt,0.0127,False,
Fe,I,5707.2479,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),141.23,32.51,voigt,0.0183,False,
Fe,I,5708.09347,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),230.97,39.33,voigt,0.0267,False,
Si,I,5708.39952,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),143.57,23.69,voigt,0.026,False,
Fe,I,5709.37755,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),238.51,31.66,voigt,0.0242,False,
Mg,I,5711.088,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),90.94,2.68,voigt,0.0002,False,
Fe,I,5712.13085,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),217.18,22.69,voigt,0.0138,False,
Cr,I,5712.7714,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),189.93,165.25,voigt,0.0188,False,
Fe,I,5713.41544,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),64.15,166.34,voigt,0.018,False,
Ti,I,5713.88045,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),81.77,138.23,voigt,0.014,False,
Fe,I,5714.14532,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),25.39,9.45,voigt,0.0087,False,
Fe,I,5714.55034,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),118.35,28.79,voigt,0.0055,False,
Fe,I,5714.87113,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),82.28,2.28,voigt,0.0007,False,
Fe,I,5715.4694,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),85.7,5.3,voigt,0.003,False,
Ca,I,5717.51758,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),77.21,2.13,voigt,0.0006,False,
Mn,I,5718.25995,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),85.01,8.38,voigt,0.0028,False,
Mn,I,5720.17924,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),43.37,12.01,voigt,0.0004,False,
Si,I,5721.02117,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.13,1.17,voigt,0.0002,False,
Fe,I,5723.67037,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),16.75,1.57,voigt,0.0001,False,
Fe,I,5730.854,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),83.82,19.34,voigt,0.0043,False,
Fe,I,5732.29591,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.13,11.67,voigt,0.0035,False,
Fe,I,5732.86229,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),76.97,23.89,voigt,0.0045,False,
Ca,I,5735.3994,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),12.86,1.93,voigt,0.0002,False,
Cr,I,5736.62535,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.05,25.6,voigt,0.0005,False,
Fe,I,5739.77868,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),34.05,25.05,voigt,0.0004,False,
Fe,I,5741.84732,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),35.95,1.91,voigt,0.0004,False,
Fe,I,5742.96,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),49.33,9.57,voigt,0.0016,False,
Fe,I,5744.33133,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.62,5.55,voigt,0.0003,False,
Fe,I,5747.45746,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),129.12,8.6,voigt,0.0017,False,
Fe,I,5752.03124,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.51,9.81,voigt,0.0092,False,
Fe,I,5752.36056,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.12,6.52,voigt,0.0094,False,
Fe,I,5753.12194,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),117.09,10.19,voigt,0.0081,False,
Fe,I,5754.40217,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),109.35,11.06,voigt,0.0104,False,
Ti,I,5756.85032,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.29,0.94,voigt,0.0001,False,
Ca,I,5757.6298,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),42.95,24.17,voigt,0.0013,False,
Fe,I,5759.26172,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),40.2,11.76,voigt,0.0024,False,
Fe,I,5762.41276,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),190.65,66.72,voigt,0.0094,False,
Si,I,5763.42766,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),177.65,13.53,voigt,0.0071,False,
Fe,I,5769.67405,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),17.23,1.54,voigt,0.0001,False,
V,I,5770.03237,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.44,14.37,voigt,0.0002,False,
Fe,I,5770.15492,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.86,67.57,voigt,0.0016,False,
Fe,I,5771.60969,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),82.64,8.7,voigt,0.0022,False,
Si,I,5772.146,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.51,2.22,voigt,0.0003,False,
Fe,I,5775.08016,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),66.94,1.26,voigt,0.0003,False,
Fe,I,5776.224,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),36.56,17.89,voigt,0.0044,False,
Fe,I,5779.55568,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),97.3,34.98,voigt,0.0047,False,
Fe,I,5780.28284,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),107.58,43.49,voigt,0.0072,False,
Si,I,5780.38377,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),151.39,18.99,voigt,0.0077,False,
Fe,I,5780.59935,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),171.72,19.55,voigt,0.0072,False,
Cr,I,5788.3809,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.29,10.37,voigt,0.0021,False,
Fe,I,5790.4078,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),139.29,18.15,voigt,0.0069,False,
Fe,I,5791.5235,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),139.46,54.28,voigt,0.0082,False,
Cr,I,5792.17246,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),100.73,71.44,voigt,0.0121,False,
Fe,I,5793.67864,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),43.31,3.76,voigt,0.0024,False,
Fe,I,5793.91435,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),43.4,3.73,voigt,0.0024,False,
Cr,I,5794.629,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),63.03,74.32,voigt,0.0037,False,
Fe,I,5796.65873,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),63.57,78.77,voigt,0.0045,False,
Cr,I,5798.50825,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),72.44,5.66,voigt,0.0022,False,
V,I,5798.91658,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.57,15.78,voigt,0.0039,False,
C,I,5800.6,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.27,2.99,voigt,0.0001,False,NLTE_flag
Ti,I,5804.26004,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),104.71,12.66,voigt,0.0028,False,
Fe,I,5807.97538,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),58.5,19.73,voigt,0.0065,False,
Fe,I,5812.4446,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.31,15.0,voigt,0.0003,False,
Fe,I,5815.62536,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),135.37,21.22,voigt,0.006,False,
Ni,I,5820.21514,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),18.11,2.2,voigt,0.0001,False,
S,I,5822.7966,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.12,5.93,voigt,0.0001,False,
Cr,I,5824.14502,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.52,13.24,voigt,0.0001,False,
Fe,I,5825.17974,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.6,4.59,voigt,0.0001,False,
Fe,I,5827.8767,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),17.5,1.09,voigt,0.0001,False,
Ni,I,5831.59547,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),33.94,0.83,voigt,0.0001,False,
Ti,I,5832.47563,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),40.67,34.28,voigt,0.0013,False,
Fe,I,5833.92489,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.07,2.64,voigt,0.0005,False,
Fe,I,5835.09966,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),24.57,2.95,voigt,0.0007,False,
Fe,I,5837.70081,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),63.75,8.49,voigt,0.0005,False,
Cr,I,5837.81535,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.3,6.58,voigt,0.0004,False,
Ti,I,5841.17343,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),13.92,8.07,voigt,0.0001,False,
Cr,I,5842.54096,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.46,4.01,voigt,0.0,False,
Si,I,5843.0525,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.09,5.28,voigt,0.0001,False,
Fe,I,5844.91808,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),31.99,5.97,voigt,0.0001,False,
Fe,I,5849.18358,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),55.1,11.57,voigt,0.002,False,
Fe,I,5851.2041,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),52.28,22.41,voigt,0.0023,False,
Fe,I,5853.1483,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),121.96,28.63,voigt,0.0071,False,
Ba,II,5853.668,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),74.62,3.56,voigt,0.0027,True,blend_flag; hfs_total_ew
Fe,I,5855.07513,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.27,5.29,voigt,0.0072,False,
Fe,I,5856.0876,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.24,12.41,voigt,0.0199,False,
Fe,I,5858.778,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),149.04,37.71,voigt,0.024,False,
Fe,I,5859.95651,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),84.18,3.79,voigt,0.002,False,
Fe,I,5861.10811,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.12,11.42,voigt,0.0145,False,
Fe,I,5862.35574,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),100.75,12.46,voigt,0.0038,False,
Cr,I,5863.44672,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),84.22,20.08,voigt,0.0077,False,
Cr,I,5864.02935,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),22.78,27.78,voigt,0.008,False,
Fe,I,5864.24364,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.73,9.92,voigt,0.008,False,
Fe,I,5864.39191,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),10.17,5.94,voigt,0.0028,False,
Fe,I,5864.80303,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),32.44,93.3,voigt,0.0032,False,
Si,I,5866.0536,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.16,16.99,voigt,0.0026,False,
Ca,I,5867.562,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),30.24,4.2,voigt,0.0032,False,
Ti,I,5869.19822,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),28.56,48.17,voigt,0.0009,False,
Fe,I,5873.21214,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.77,1.46,voigt,0.0002,False,
Fe,I,5876.27567,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.73,5.04,voigt,0.0004,False,
Cr,I,5876.555,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.65,5.12,voigt,0.0005,False,
Fe,I,5878.59321,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),37.36,13.86,voigt,0.0008,False,
Fe,I,5879.487,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),44.11,18.04,voigt,0.0008,False,
Fe,I,5880.02674,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),70.79,11.44,voigt,0.0006,False,
Fe,I,5883.8162,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),84.48,1.81,voigt,0.0002,False,
Cr,I,5884.436,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),105.16,28.62,voigt,0.0054,False,
Fe,I,5898.2153,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),15.61,7.09,voigt,0.0047,False,
Fe,I,5899.06094,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.44,4.17,voigt,0.0017,False,
Fe,I,5901.53027,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.24,2.9,voigt,0.0011,False,
Ti,I,5903.31486,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),19.91,8.69,voigt,0.0013,False,
Ti,I,5905.78322,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.87,1.75,voigt,0.0005,False,
Fe,I,5906.84192,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.77,7.25,voigt,0.0047,False,
Cr,I,5908.23479,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),38.96,58.86,voigt,0.002,False,
Ti,I,5913.72713,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),150.04,15.1,voigt,0.0086,False,
Fe,I,5918.93076,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),95.15,16.15,voigt,0.0012,False,
Fe,I,5923.74864,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),72.86,7.91,voigt,0.0011,False,
Ni,I,5923.93293,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),68.13,7.79,voigt,0.001,False,
Fe,I,5929.67573,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),66.48,12.36,voigt,0.011,False,
Ca,I,5930.96503,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),144.19,27.77,voigt,0.0093,False,
Fe,I,5940.99072,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),59.44,5.8,voigt,0.0018,False,
Si,I,5944.4244,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),7.82,3.47,voigt,0.0016,False,
Ti,I,5944.66017,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.29,2.69,voigt,0.0009,False,
Si,I,5950.09157,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),109.18,131.14,voigt,0.0088,False,
Fe,I,5952.71759,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),86.79,4.12,voigt,0.0015,False,
Fe,I,5952.88596,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),85.81,4.06,voigt,0.0014,False,
Ti,I,5953.15927,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.63,13.87,voigt,0.0029,False,
Ti,I,5957.3567,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),110.53,15.75,voigt,0.0044,False,
Fe,I,5957.86368,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),82.47,16.14,voigt,0.0045,False,
Fe,I,5958.3324,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),57.16,11.13,voigt,0.0044,False,
Si,I,5959.42815,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),50.94,26.7,voigt,0.0011,False,
S,I,5961.21132,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),18.96,7.72,voigt,0.0001,False,
Fe,I,5961.91771,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.18,10.38,voigt,0.0001,False,
Fe,I,5963.05425,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),26.46,7.67,voigt,0.0001,False,
Fe,I,5966.98107,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),58.09,9.89,voigt,0.0014,False,
Ti,I,5969.13621,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),45.17,6.69,voigt,0.0004,False,
Fe,I,5969.56179,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),6.06,2.6,voigt,0.0005,False,
Cr,I,5970.68948,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.68,9.17,voigt,0.0002,False,
Cr,I,5972.25997,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.96,5.46,voigt,0.0001,False,
Fe,I,5976.4383,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.03,9.93,voigt,0.0047,False,
Fe,I,5976.77631,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),96.74,7.19,voigt,0.0042,False,
Fe,I,5978.32534,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.68,8.65,voigt,0.0054,False,
Ti,I,5982.53149,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),58.17,18.38,voigt,0.0053,False,
Fe,I,5984.81467,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),116.24,9.1,voigt,0.0066,False,
Fe,I,5985.18587,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),113.65,19.98,voigt,0.0127,False,
Fe,I,5986.08899,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),83.93,26.31,voigt,0.0126,False,
Fe,I,5994.10285,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),20.87,7.14,voigt,0.0001,False,
Fe,I,5994.2635,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),21.17,7.34,voigt,0.0001,False,
Fe,I,5996.49018,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),66.22,14.75,voigt,0.0038,False,
Fe,I,5997.77632,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),97.78,4.55,voigt,0.0011,False,
Si,I,5997.96812,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),95.91,4.41,voigt,0.001,False,
