element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ew_inversion
Fe,I,5783.9065,kpno_solar_atlas,68.90032382567938,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.009; red_chi2=1.293; n_pix=92; window +/-0.283 A wing-wide from EW 63 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.009,-4.924000000676629,ENGINE-B-NLTE,True,,False
Fe,I,5806.7248,kpno_solar_atlas,88.69797398517277,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.648; red_chi2=3.456; n_pix=99; window +/-0.308 A wing-wide from EW 72 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.648,-4.816017543951777,ENGINE-B-NLTE,True,,False
Fe,I,5809.1552,kpno_solar_atlas,60.27449084621826,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.602; red_chi2=3.316; n_pix=94; window +/-0.294 A wing-wide from EW 67 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.602,-4.98397942896742,ENGINE-B-NLTE,True,,False
Fe,I,5809.217,kpno_solar_atlas,60.24246212051062,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.599; red_chi2=3.515; n_pix=94; window +/-0.294 A wing-wide from EW 67 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.599,-4.9842148863520706,ENGINE-B-NLTE,True,,False
Fe,I,5833.9249,kpno_solar_atlas,24.384415018306235,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.962; red_chi2=0.94; n_pix=61; window +/-0.192 A wing-wide from EW 28 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.962,-5.378848492821951,ENGINE-B-NLTE,True,,False
Fe,I,5834.0383,kpno_solar_atlas,25.91752159438137,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.994; red_chi2=1.468; n_pix=61; window +/-0.193 A wing-wide from EW 28 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.994,-5.352375806843816,ENGINE-B-NLTE,True,,False
Fe,I,5845.9605,kpno_solar_atlas,13.488885540933307,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.385; red_chi2=0.641; n_pix=51; window +/-0.162 A wing-wide from EW 16 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.385,-5.636879807081749,ENGINE-B-NLTE,True,,False
Fe,I,5848.0661,kpno_solar_atlas,45.753445770993224,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.318; red_chi2=1.972; n_pix=75; window +/-0.238 A wing-wide from EW 45 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.318,-5.106588465655362,ENGINE-B-NLTE,True,,False
Fe,I,5848.1259,kpno_solar_atlas,45.76097129756299,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.320; red_chi2=1.052; n_pix=76; window +/-0.238 A wing-wide from EW 45 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.32,-5.106521479674857,ENGINE-B-NLTE,True,,False
Fe,I,5852.218,kpno_solar_atlas,54.94765035245137,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.576; red_chi2=1.73; n_pix=77; window +/-0.242 A wing-wide from EW 47 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.576,-5.027371369541522,ENGINE-B-NLTE,True,,False
Fe,I,5855.0751,kpno_solar_atlas,35.66799840092777,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.477; red_chi2=1.206; n_pix=60; window +/-0.191 A wing-wide from EW 27 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.477,-5.21525373141384,ENGINE-B-NLTE,True,,False
Fe,I,5856.0876,kpno_solar_atlas,37.28061499699123,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.227; red_chi2=3.943; n_pix=70; window +/-0.223 A wing-wide from EW 40 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.227,-5.196124496571212,ENGINE-B-NLTE,True,,False
Fe,I,5880.0267,kpno_solar_atlas,26.468129215469027,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.469; red_chi2=1.038; n_pix=118; window +/-0.245 A wing-wide from EW 48 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.469,-5.346656051952537,ENGINE-B-NLTE,True,,False
Fe,I,5885.0534,kpno_solar_atlas,9.948461833149395,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.251; red_chi2=0.496; n_pix=56; window +/-0.183 A wing-wide from EW 24 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.251,-5.771994469782397,ENGINE-B-NLTE,True,,False
Fe,I,5905.6709,kpno_solar_atlas,69.55370009961577,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.555; red_chi2=5.338; n_pix=93; window +/-0.300 A wing-wide from EW 69 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.555,-4.928949003338853,ENGINE-B-NLTE,True,,False
Fe,I,5916.2469,kpno_solar_atlas,68.55120146068342,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.656; red_chi2=9.112; n_pix=90; window +/-0.290 A wing-wide from EW 66 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.656,-4.9360312190719995,ENGINE-B-NLTE,True,,False
Fe,I,5918.9308,kpno_solar_atlas,9.509661275153517,SYNTHESIS (VIS) via _fit_synth_flux,,-5.794078214466502,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 31.713 >= 10.0. The fit converged (A=7.680) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,5927.7883,kpno_solar_atlas,46.920638646021146,SYNTHESIS (VIS) via _fit_synth_flux,,-5.101528770472563,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 16.499 >= 10.0. The fit converged (A=7.437) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,5940.9907,kpno_solar_atlas,35.84490810752203,SYNTHESIS (VIS) via _fit_synth_flux,,-5.219431401174164,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 34.155 >= 10.0. The fit converged (A=7.751) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
