element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ew_inversion
Fe,I,6436.4055,kpno_solar_atlas,11.75810254956338,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.723; red_chi2=3.034; n_pix=39; window +/-0.154 A wing-wide from EW 13 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.723,-5.738306153660834,ENGINE-B-NLTE,True,,False
Fe,I,6469.1172,kpno_solar_atlas,67.10300838839359,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.556; red_chi2=3.415; n_pix=78; window +/-0.301 A wing-wide from EW 70 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.556,-4.984103028191978,ENGINE-B-NLTE,True,,False
Fe,I,6469.1917,kpno_solar_atlas,67.26715231532864,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.556; red_chi2=3.457; n_pix=79; window +/-0.301 A wing-wide from EW 70 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.556,-4.983046978006548,ENGINE-B-NLTE,True,,False
Fe,I,6481.8694,kpno_solar_atlas,79.11172198935817,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.651; red_chi2=8.053; n_pix=79; window +/-0.309 A wing-wide from EW 73 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.651,-4.913459438689215,ENGINE-B-NLTE,True,,False
Fe,I,6495.7409,kpno_solar_atlas,316.73540638714013,SYNTHESIS (VIS) via _fit_synth_flux,,-4.3119320797231575,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 34.253 >= 10.0. The fit converged (A=7.658) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6498.9379,kpno_solar_atlas,46.24613036647973,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.574; red_chi2=8.332; n_pix=66; window +/-0.257 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.574,-5.1477669880141885,ENGINE-B-NLTE,True,,False
Fe,I,6518.3653,kpno_solar_atlas,62.28182525067401,SYNTHESIS (VIS) via _fit_synth_flux,,-5.019777363741371,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 22.316 >= 10.0. The fit converged (A=7.480) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6533.9276,kpno_solar_atlas,47.069934122461895,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.750; red_chi2=5.276; n_pix=67; window +/-0.263 A wing-wide from EW 55 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.75,-5.142430727429194,ENGINE-B-NLTE,True,,False
Fe,I,6551.6767,kpno_solar_atlas,5.036322392417687,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.451; red_chi2=1.014; n_pix=63; window +/-0.247 A wing-wide from EW 49 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.451,-6.114238935504119,ENGINE-B-NLTE,True,,False
Fe,I,6597.5588,kpno_solar_atlas,47.14789386680965,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.596; red_chi2=3.147; n_pix=63; window +/-0.253 A wing-wide from EW 51 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.596,-5.145920972276581,ENGINE-B-NLTE,True,,False
Fe,I,6604.5854,kpno_solar_atlas,5.17605937136425,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.653; red_chi2=1.309; n_pix=57; window +/-0.228 A wing-wide from EW 41 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.653,-6.1058463109457675,ENGINE-B-NLTE,True,,False
Fe,I,6608.0246,kpno_solar_atlas,28.82615452851435,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.606; red_chi2=1.746; n_pix=43; window +/-0.177 A wing-wide from EW 22 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.606,-5.360284940656403,ENGINE-B-NLTE,True,,False
Fe,I,6609.1093,kpno_solar_atlas,100.41288923942211,SYNTHESIS (VIS) via _fit_synth_flux,,-4.818353470727618,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 11.036 >= 10.0. The fit converged (A=7.576) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6625.0211,kpno_solar_atlas,18.759217078240194,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.575; red_chi2=2.639; n_pix=42; window +/-0.174 A wing-wide from EW 21 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.575,-5.547972556787616,ENGINE-B-NLTE,True,,False
Fe,I,6627.5434,kpno_solar_atlas,32.67284578206571,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.629; red_chi2=2.193; n_pix=50; window +/-0.204 A wing-wide from EW 32 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.629,-5.307165617492032,ENGINE-B-NLTE,True,,False
Fe,I,6653.8509,kpno_solar_atlas,12.589209247340243,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.331; red_chi2=0.255; n_pix=38; window +/-0.157 A wing-wide from EW 14 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.331,-5.723074612852388,ENGINE-B-NLTE,True,,False
Fe,I,6703.5655,kpno_solar_atlas,55.74695414933224,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.599; red_chi2=4.174; n_pix=54; window +/-0.228 A wing-wide from EW 42 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.599,-5.080084713406233,ENGINE-B-NLTE,True,,False
Fe,I,6705.1169,kpno_solar_atlas,62.64280491587593,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.362; red_chi2=2.612; n_pix=62; window +/-0.257 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.362,-5.029535158332378,ENGINE-B-NLTE,True,,False
Fe,I,6710.3176,kpno_solar_atlas,19.12998626911537,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.596; red_chi2=1.171; n_pix=41; window +/-0.173 A wing-wide from EW 20 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.596,-5.545028417551616,ENGINE-B-NLTE,True,,False
Fe,I,6713.742,kpno_solar_atlas,62.15461254896222,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.607; red_chi2=0.628; n_pix=46; window +/-0.191 A wing-wide from EW 27 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.607,-5.033491284332137,ENGINE-B-NLTE,True,,False
Fe,I,6715.3813,kpno_solar_atlas,47.05226835753541,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.578; red_chi2=0.51; n_pix=51; window +/-0.211 A wing-wide from EW 35 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.578,-5.154490111680934,ENGINE-B-NLTE,True,,False
Fe,I,6725.3553,kpno_solar_atlas,21.1229228911381,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.405; red_chi2=2.352; n_pix=41; window +/-0.174 A wing-wide from EW 21 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.405,-5.502961219368019,ENGINE-B-NLTE,True,,False
Fe,I,6726.6658,kpno_solar_atlas,54.83376697388234,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.659; red_chi2=5.179; n_pix=60; window +/-0.255 A wing-wide from EW 52 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.659,-5.08875176912611,ENGINE-B-NLTE,True,,False
Fe,I,6729.0116,kpno_solar_atlas,,SYNTHESIS (VIS) via _fit_synth_flux,,,ENGINE-B-NLTE,False,"NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the synthetic flux by at most 0.00022. This line is absent from the synthesis line list, or carries a gf too weak to register, so no abundance can be fitted from it. Coverage gap, not a measurement failure.",False
Fe,I,6732.0643,kpno_solar_atlas,8.501934338961817,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.308; red_chi2=6.007; n_pix=35; window +/-0.150 A wing-wide from EW 10 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.308,-5.898630508845531,ENGINE-B-NLTE,True,,False
Fe,I,6733.1498,kpno_solar_atlas,30.105134089122473,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.226; red_chi2=5.29; n_pix=47; window +/-0.200 A wing-wide from EW 31 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.226,-5.3495777109086,ENGINE-B-NLTE,True,,False
Fe,I,6739.52,kpno_solar_atlas,14.09386446826762,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.430; red_chi2=0.637; n_pix=38; window +/-0.161 A wing-wide from EW 16 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.43,-5.6795988756026015,ENGINE-B-NLTE,True,,False
Fe,I,6750.151,kpno_solar_atlas,85.23131777746588,SYNTHESIS (VIS) via _fit_synth_flux,,-4.8987142848474345,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 10.829 >= 10.0. The fit converged (A=7.656) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6752.7066,kpno_solar_atlas,60.27353677617481,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.511; red_chi2=2.557; n_pix=55; window +/-0.230 A wing-wide from EW 42 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.511,-5.049351204287306,ENGINE-B-NLTE,True,,False
Fe,I,6786.858,kpno_solar_atlas,64.69638050004376,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.600; red_chi2=3.252; n_pix=47; window +/-0.204 A wing-wide from EW 32 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.6,-5.020788778300178,ENGINE-B-NLTE,True,,False
Fe,I,6806.8425,kpno_solar_atlas,41.385256767365526,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.566; red_chi2=3.705; n_pix=52; window +/-0.222 A wing-wide from EW 39 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.566,-5.21610004776092,ENGINE-B-NLTE,True,,False
Fe,I,6810.2618,kpno_solar_atlas,59.67295020234856,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.566; red_chi2=2.108; n_pix=63; window +/-0.266 A wing-wide from EW 56 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.566,-5.057386297688767,ENGINE-B-NLTE,True,,False
Fe,I,6819.5883,kpno_solar_atlas,34.70558376720755,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.188; red_chi2=3.006; n_pix=37; window +/-0.156 A wing-wide from EW 14 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.188,-5.293358803122992,ENGINE-B-NLTE,True,,False
Fe,I,6820.3709,kpno_solar_atlas,69.01212412159848,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.630; red_chi2=1.888; n_pix=56; window +/-0.239 A wing-wide from EW 46 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.63,-4.994882598011282,ENGINE-B-NLTE,True,,False
Fe,I,6828.5912,kpno_solar_atlas,66.30100017288967,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.535; red_chi2=5.863; n_pix=67; window +/-0.290 A wing-wide from EW 65 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.535,-5.012811034118659,ENGINE-B-NLTE,True,,False
Fe,I,6837.0051,kpno_solar_atlas,20.743026324025976,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.509; red_chi2=1.109; n_pix=42; window +/-0.183 A wing-wide from EW 24 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.509,-5.517993785366105,ENGINE-B-NLTE,True,,False
Fe,I,6839.8295,kpno_solar_atlas,42.45438086947776,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.537; red_chi2=2.36; n_pix=57; window +/-0.223 A wing-wide from EW 40 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.537,-5.207122764210274,ENGINE-B-NLTE,True,,False
Fe,I,6841.3381,kpno_solar_atlas,67.574752490011,SYNTHESIS (VIS) via _fit_synth_flux,,-5.0053565901982715,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 13.236 >= 10.0. The fit converged (A=7.277) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,6842.6853,kpno_solar_atlas,86.69859100385952,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.607; red_chi2=3.381; n_pix=58; window +/-0.250 A wing-wide from EW 50 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.607,-4.897214527414468,ENGINE-B-NLTE,True,,False
Fe,I,6843.6549,kpno_solar_atlas,92.568099540721,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.455; red_chi2=4.688; n_pix=68; window +/-0.300 A wing-wide from EW 69 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.455,-4.868826753984473,ENGINE-B-NLTE,True,,False
Fe,I,6850.4355,kpno_solar_atlas,,SYNTHESIS (VIS) via _fit_synth_flux,,,ENGINE-B-NLTE,False,"NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the synthetic flux by at most 0.00044. This line is absent from the synthesis line list, or carries a gf too weak to register, so no abundance can be fitted from it. Coverage gap, not a measurement failure.",False
Fe,I,6857.2488,kpno_solar_atlas,78.93662074279423,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.513; red_chi2=1.491; n_pix=43; window +/-0.189 A wing-wide from EW 27 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.513,-4.938871376741127,ENGINE-B-NLTE,True,,False
Fe,I,6858.1396,kpno_solar_atlas,83.13895644482635,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.501; red_chi2=2.468; n_pix=63; window +/-0.271 A wing-wide from EW 58 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.501,-4.916401752129497,ENGINE-B-NLTE,True,,False
Fe,I,6862.48,kpno_solar_atlas,53.54309064590276,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.580; red_chi2=6.557; n_pix=50; window +/-0.216 A wing-wide from EW 37 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.58,-5.107777655575847,ENGINE-B-NLTE,True,,False
