centre_A,n_px,n_insane,median_ratio,p90_ratio,kp_p90,wallace_p90,spectral_corr
3005.0,3145,0,1.0011451822132171,1.0280337601846863,0.663992,0.6826061924925503,0.9916233069458292
3015.0,2936,0,1.0009925451416006,1.0242002350937722,0.86313,0.8840179489164876,0.9898165748782739
3025.0,2794,0,0.997302661210264,1.0202593724345284,0.8200520000000001,0.8366657388836799,0.9946724306434854
3035.0,2904,0,1.0297418564207113,1.030863552012251,0.8904960000000001,0.9179798696127016,0.9920160681198917
3045.0,3119,0,1.0171996163663422,1.017426630709584,0.8010480000000001,0.8150075676766511,0.9916082446011364
3055.0,2809,0,1.000683960484697,1.0025021957711393,0.8615280000000001,0.8636837117183183,0.9933351854630516
3065.0,2856,0,1.026335240734956,1.0247406132855563,0.76825,0.7872569761566286,0.9873365799237926
3075.0,2828,0,1.0433255811598716,1.0463605960229425,0.873885,0.9143988294555092,0.9907314718898702
3085.0,3087,0,1.0494583979207186,1.0501676742808412,0.8110320000000001,0.8517195892073394,0.9883576731190784
3095.0,2655,0,1.0393343734154543,1.0391312105981263,0.723308,0.7516119176753095,0.9895777701533782
3105.0,2747,0,1.0158092412747624,1.0133644714695995,0.883994,0.8958081125922971,0.9893994957668752
3115.0,2793,0,0.9860290503581706,0.9864625163033169,0.85744,0.8458324199791161,0.9895376047245101
3125.0,3058,0,0.9489180104681316,0.9496117250885773,0.817922,0.7767083214078994,0.986070534209903
3135.0,2767,0,0.9120187454521091,0.912157200015774,0.805444,0.7346915438095052,0.9881092760535504
3145.0,2766,0,0.8909022634580244,0.892368038327998,0.834015,0.7442483294861253,0.9887481407611163
3155.0,2710,0,0.8734642828828343,0.8777734637863562,0.820198,0.7199480394506418,0.989700168854998
3165.0,2961,0,0.86875331801589,0.8702508414755987,0.79712,0.6936943507570293,0.9867963200613576
3175.0,2696,0,0.8774817526600966,0.8773702612930792,0.85185,0.7473878570825094,0.990476188638463
3185.0,2679,0,0.9030261281997896,0.910188492109443,0.8729260000000005,0.7945271996631281,0.9905939603081643
3195.0,2622,0,0.9295389311037308,0.9303224942063014,0.80338,0.7474024853954584,0.9905417351360133
3205.0,2917,0,0.9458897499392513,0.9484780528068799,0.854166,0.8101577044538414,0.9894920579923445
3215.0,2609,0,0.9643964727077045,0.9679348278193336,0.7807520000000001,0.7557170526896004,0.9903302908233856
3225.0,2581,0,0.9779471154897978,0.976763481728479,0.74996,0.7325335407570901,0.9915102932133221
3235.0,2557,0,0.9961124847508791,0.999008501924905,0.786752,0.7859719369064229,0.9901580589419653
3245.0,2820,0,1.0071494387086766,1.0045594280425698,0.8247969999999999,0.8285576025712273,0.9906848529813439
3255.0,2585,0,1.0142923254314828,1.0140087247954876,0.889644,0.9021067779619567,0.9907063053795943
3265.0,2573,0,1.0148582097779928,1.0151665267059218,0.9111440000000001,0.9249628898089404,0.9867433910922102
3275.0,2538,0,1.011303245589112,1.011595300270135,0.888187,0.8984857949610304,0.9871580723452253
3285.0,2790,0,1.008593291462362,1.0087603835303243,0.86033,0.867866820762644,0.9888956837391609
3295.0,2535,0,1.005623069182767,1.0060448137570102,0.9376599999999999,0.943327980067398,0.9875968380330776
3305.0,2586,0,1.0038932141080552,1.002521935144414,0.930785,0.9331323794033933,0.9884329754416513
3315.0,2569,0,1.0175435686300716,1.0129712653049157,0.893486,0.905075643952228,0.9822032785708686
3325.0,2798,0,1.0168276486829892,1.0149510796458414,0.9166150000000002,0.9303193838695731,0.9872182343107508
3335.0,2534,0,1.0338079476053998,1.0289742021560975,0.8648660000000002,0.8899248023219356,0.9854597563244076
3345.0,2515,0,1.0370478428411136,1.0353268799893323,0.888196,0.9195731934990049,0.9912125075867477
3355.0,2517,0,1.0491771879224725,1.050083664540753,0.923952,0.9702269020197578,0.9860384798194382
3365.0,2712,0,1.0582249735303384,1.054184121577995,0.8322649999999999,0.87736054794511,0.9904310427129922
3375.0,2484,0,1.0629171828387012,1.062239401176791,0.8543660000000001,0.9075412282258104,0.9874349373286482
3385.0,2459,0,1.048772286069063,1.0447808881255376,0.8988720000000001,0.9391242864711783,0.9886866117084239
3395.0,2434,0,1.023900058697261,1.0201625954582698,0.9026830000000001,0.9208834321560575,0.9866988111781166
3405.0,2667,0,1.0018007190390956,0.9999857014754996,0.921558,0.9215448230803585,0.9871258527184171
3415.0,2402,0,1.0110179028875161,1.0107376006337139,0.891484,0.9010563991633459,0.9876217266287431
3425.0,2403,0,1.0213868944716094,1.020246432096755,0.870412,0.8880347374542007,0.9886975155143626
3435.0,2383,0,1.0459236797161588,1.0493298364710133,0.8588520000000001,0.9012190287128027,0.990868678979405
3445.0,2539,0,1.0630313947883303,1.0681489989896262,0.7321300000000004,0.7820239266302754,0.9906478247833832
3455.0,2333,0,1.0803462957097272,1.0835600056213102,0.872068,0.9449380069821647,0.9889156065369367
3465.0,2332,0,1.0907591836591286,1.0928854665769534,0.8439340000000001,0.9223232033501547,0.9874182295646836
3475.0,2307,0,1.0862971139881816,1.0907267481632537,0.8747680000000001,0.9541328560372733,0.9882820616746981
3485.0,2563,0,1.0702364062208576,1.069957453374786,0.8149100000000002,0.8719190283296471,0.9837566869219891
3495.0,2285,0,1.0348797062776636,1.0293590760538804,0.851448,0.8764457265879244,0.9870659736393427
3505.0,2306,0,1.0069658128252388,1.0026149321206523,0.9422950000000001,0.9447590374626302,0.9857050749719891
3515.0,2259,0,1.007720066943218,1.0094403592422254,0.911212,0.9198141686258267,0.9883260559036395
