wavelength_obs_A,wavelength_ritz_A,fik,gi,aki_s-1,nist_grade,ref_transition_probability,ref_line,ei_ek_raw,ei_eV,log_gf,nist_acc_pct,wavelength_A,gk_implied,species
,2038.34,20000000.0,4.0,5000000.0,E,T10528,,22.529299   -   28.60995,22.529299,7.903089986991944,100.0,2038.34,25686631475.40889,C II
,2039.052,50000000.0,6.0,8000000.0,E,T10528,,22.532400   -   28.61093,22.5324,8.477121254719663,100.0,2039.052,60161006238.42342,C II
,2039.38,17000000.0,6.0,4000000.0,E,T10528,,22.532400   -   28.60995,22.5324,8.008600171761918,100.0,2039.38,40896326094.28247,C II
,2040.565,14000000.0,8.0,2300000.0,E,T10528,,22.536905   -   28.61093,22.536905,8.049218022670182,100.0,2040.565,78006312138.21426,C II
,2441.83,25000000.0,6.0,3100000.0,E,T10528,,24.271876      -   29.34784,24.271876,8.176091259055681,100.0,2441.83,54130138892.18176,C II
,2441.87,13000000.0,4.0,3200000.0,E,T10528,,24.270232      -   29.3461,24.270232,7.7160033436348,100.0,2441.87,18178109416.16003,C II
,2442.0,26000000.0,6.0,3300000.0,E,T10528,,24.271876      -   29.3474,24.271876,8.193124598354462,100.0,2442.0,52876142668.891045,C II
,2443.2,9000000.0,8.0,1100000.0,E,T10528,,24.274339      -   29.3474,24.274339,7.857332496431268,100.0,2443.2,73141219694.1306,C II
,2444.593,20000000.0,10.0,2000000.0,E,T10528,,24.277795      -   29.348031,24.277795,8.301029995663981,100.0,2444.593,111616216962.52731,C II
,2491.21,38000000.0,4.0,9000000.0,E,T10528,,24.370757      -   29.3461,24.370757,8.181843587944773,100.0,2491.21,18151847234.971672,C II
,2491.5,10000000.0,8.0,1300000.0,E,T10528,,24.373054      -   29.34784,24.373054,7.903089986991944,100.0,2491.5,66124938043.6355,C II
,2491.7,15000000.0,8.0,1900000.0,E,T10528,,24.373054      -   29.3474,24.373054,8.079181246047625,100.0,2491.7,67854173848.4998,C II
,2597.66,7000000.0,8.0,900000.0,E,T10528,,24.373054      -   29.14454,24.373054,7.748188027006201,100.0,2597.66,61506544717.20871,C II
,2820.33,6000000.0,6.0,1600000.0,E,T10528,,24.271876   -   28.66667,24.271876,7.556302500767287,100.0,2820.33,18867879349.338226,C II
,2885.727,26000000.0,8.0,3200000.0,E,T10528,,24.373054   -   28.668257,24.373054,8.318063334962762,100.0,2885.727,52064691247.15254,C II
,2885.95,5000000.0,6.0,1400000.0,E,T10528,,24.371800   -   28.66667,24.3718,7.477121254719663,100.0,2885.95,17161531445.687922,C II
,3085.939,11000000.0,6.0,1800000.0,E,T10528,,24.371800   -    28.388347,24.3718,7.819543935541868,100.0,3085.939,25682493255.60632,C II
,3087.1,12000000.0,4.0,2900000.0,E,T10528,,24.370757   -    28.38580,24.370757,7.681241237375588,100.0,3087.1,11584632746.406202,C II
,3087.95,10000000.0,2.0,5000000.0,E,T10528,,24.370080   -   [28.38401],24.37008,7.301029995663981,100.0,3087.95,2798078526.2036567,C II
,3088.47,10000000.0,4.0,5000000.0,E,T10528,,24.370757   -   [28.38401],24.370757,7.602059991327963,100.0,3088.47,5594272781.754567,C II
,3159.65,7000000.0,6.0,1100000.0,E,T10528,,24.371800   -    28.29464,24.3718,7.623249290397901,100.0,3159.65,25510506196.779247,C II
,3846.51,4000000.0,4.0,2200000.0,E,T10528,,24.270232   -    27.492608,24.270232,7.204119982655925,100.0,3846.51,3278717484.1732144,C II
,3850.417,7000000.0,6.0,1700000.0,E,T10528,,24.271876   -    27.490983,24.271876,7.623249290397901,100.0,3850.417,11115404282.706106,C II
,3853.347,3300000.0,8.0,500000.0,E,T10528,,24.274339   -    27.490999,24.274339,7.421603926869831,100.0,3853.347,23719094731.839176,C II
,4001.848,3700000.0,4.0,600000.0,E,T10528,,24.370757   -    27.468054,24.370757,7.1702617153949575,100.0,4001.848,10273767030.665792,C II
,4293.917,2000000.0,4.0,330000.0,E,T10528,,24.601624   -    27.488250,24.601624,6.903089986991944,100.0,4293.917,8770193646.923279,C II
,4318.265,2600000.0,6.0,320000.0,E,T10528,,24.602961   -    27.473311,24.602961,7.193124598354461,100.0,4318.265,17437991673.37587,C II
,4324.171,2100000.0,4.0,350000.0,E,T10528,,24.601624   -    27.468054,24.601624,6.924279286061882,100.0,4324.171,8561422869.546098,C II
,4490.754,1400000.0,6.0,180000.0,E,T10528,,24.653514   -    27.413617,24.653514,6.924279286061882,100.0,4490.754,15435072601.88287,C II
,4601.8,3300000.0,8.0,600000.0,E,T10528,,24.794748   -    27.488250,24.794748,7.421603926869831,100.0,4601.8,13859182811.353022,C II
,4634.575,5000000.0,8.0,600000.0,E,T10528,,24.794748   -    27.469200,24.794748,7.602059991327963,100.0,4634.575,20702811990.8808,C II
,4732.04,1200000.0,8.0,120000.0,E,T10528,,24.794748   -    27.414114,24.794748,6.982271233039568,100.0,4732.04,23830524402.165127,C II
,5039.639,2300000.0,4.0,390000.0,E,T10528,,24.370757   -    26.830251,24.370757,6.963787827345556,100.0,5039.639,6195334937.124413,C II
,5043.582,3800000.0,2.0,900000.0,E,T10528,,24.370080   -    26.827651,24.37008,6.880813592280791,100.0,5043.582,2214284077.286726,C II
,5207.977,800000.0,6.0,200000.0,E,T10528,,24.371800   -    26.751796,24.3718,6.681241237375588,100.0,5207.977,5902194988.134785,C II
,5270.62,1100000.0,4.0,180000.0,E,T10528,,26.628437   -    28.980146,26.628437,6.643452676486188,100.0,5270.62,5869447015.014113,C II
,5280.16,1900000.0,2.0,500000.0,E,T10528,,26.626817   -    28.97428,26.626817,6.57978359661681,100.0,5280.16,1818276195.9948397,C II
,5718.03,800000.0,2.0,400000.0,E,T10528,,24.657857   -    26.825558,24.657857,6.204119982655925,100.0,5718.03,816032693.4320054,C II
,5776.01,2700000.0,2.0,1300000.0,E,T10528,,26.825558   -    28.97150,26.825558,6.732393759822968,100.0,5776.01,830491058.6705472,C II
