band,element,species,line_label,census_wavelength_A,n_in_list,list_wavelength_A,list_log_gf,list_theoretical_depth,verdict
VIS,C,C I,505.2nm,5052.16,1,5052.144,-1.304,0.26,PRESENT
VIS,C,C I,538.0nm,5380.34,2,5380.325,-1.615,0.16,PRESENT
VIS,C,C I,658.8nm,6587.61,1,6587.61,-1.021,0.08,PRESENT
VIS,O,O I,615.6nm,6155.96,3,6155.971,-1.011,0.01,PRESENT
VIS,O,O I,615.6nm,6155.97,3,6155.971,-1.011,0.01,PRESENT
VIS,O,O I,615.6nm,6155.99,3,6155.971,-1.011,0.01,PRESENT
VIS,O,O I,615.7nm,6156.73,3,6156.778,-0.694,0.01,PRESENT
VIS,O,O I,615.7nm,6156.75,3,6156.778,-0.694,0.01,PRESENT
VIS,O,O I,615.7nm,6156.77,3,6156.778,-0.694,0.01,PRESENT
VIS,O,O I,615.8nm,6158.15,1,6158.186,-0.296,0.02,PRESENT
VIS,O,O I,615.8nm,6158.17,1,6158.186,-0.296,0.02,PRESENT
VIS,O,O I,615.8nm,6158.18,1,6158.186,-0.296,0.02,PRESENT
VIS,O,O I,630.0nm,6300.3,1,6300.304,-9.715,0.04,PRESENT
VIS,O,O I,636.4nm,6363.77,1,6363.776,-10.19,0.01,PRESENT
red-optical,C,C I,711.1nm,7111.47,1,7111.461,-1.085,0.06,PRESENT
red-optical,C,C I,711.3nm,7113.18,1,7113.171,-0.773,0.1,PRESENT
red-optical,C,C I,833.5nm,8335.14,1,8335.147,-0.437,0.31,PRESENT
red-optical,C,C I,872.7nm,8727.12,1,8727.139,-8.136,0.03,PRESENT
red-optical,C,C I,906.1nm,9061.43,1,9061.43,-0.347,0.35,PRESENT
red-optical,C,C I,906.2nm,9062.48,1,9062.47,-0.455,0.33,PRESENT
red-optical,C,C I,907.8nm,9078.28,1,9078.28,-0.581,0.31,PRESENT
red-optical,C,C I,908.9nm,9088.5,1,9088.508,-0.43,0.34,PRESENT
red-optical,C,C I,909.5nm,9094.82,1,9094.829,0.151,0.42,PRESENT
red-optical,C,C I,911.2nm,9111.8,1,9111.799,-0.297,0.36,PRESENT
red-optical,O,O I,777.2nm,7771.94,1,7771.944,0.369,0.28,PRESENT
red-optical,O,O I,777.4nm,7774.16,1,7774.166,0.223,0.25,PRESENT
red-optical,O,O I,777.5nm,7775.38,1,7775.388,0.002,0.21,PRESENT
red-optical,O,O I,844.6nm,8446.24,1,8446.247,-0.463,0.08,PRESENT
red-optical,O,O I,844.6nm,8446.35,1,8446.359,0.236,0.18,PRESENT
red-optical,O,O I,844.7nm,8446.75,1,8446.758,0.014,0.14,PRESENT
red-optical,N,N I,7442.29A,7442.29,1,7442.298,-0.401,0.01,PRESENT
red-optical,N,N I,8216.33A,8216.33,1,8216.336,0.138,0.03,PRESENT
red-optical,N,N I,8629.23A,8629.23,1,8629.235,0.077,0.01,PRESENT
red-optical,N,N I,8683.40A,8683.4,1,8683.403,0.105,0.03,PRESENT
NIR,C,C I,940.6nm,9405.72,1,9405.73,0.286,0.295,PRESENT
NIR,C,C I,960.3nm,9603.03,1,9603.03,-0.896,0.15,PRESENT
NIR,C,C I,962.1nm,9620.77,1,9620.8,-0.445,0.218,PRESENT
NIR,C,C I,965.8nm,9658.42,1,9658.44,-0.28,0.242,PRESENT
NIR,O,O I,926.1nm,9260.8,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.1nm,9260.84,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.1nm,9260.93,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.3nm,9262.58,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.3nm,9262.66,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.3nm,9262.77,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.6nm,9265.82,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.6nm,9265.93,0,,,,ABSENT FROM THE BAND LIST
NIR,O,O I,926.6nm,9266.0,0,,,,ABSENT FROM THE BAND LIST
NIR,N,N I,10108.90A,10108.9,0,,,,ABSENT FROM THE BAND LIST
