element,species,band,line_type,lines,graded,solar_holdings_covering_band,holdings
C,C I,H,atomic,84,43,5,elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,C I,NIR,atomic,237,142,10,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,C I,VIS,atomic,734,115,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
C,C I,out-of-band,atomic,2,1,0,
C,C I,red-optical,atomic,263,65,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,C II,VIS,atomic,227,43,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
C,C II,red-optical,atomic,155,17,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,C III,VIS,atomic,44,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
C,C III,red-optical,atomic,28,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,C IV,VIS,atomic,6,0,8,solar_harps|solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|solar_harps_molecfit_corrected|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016
C,C IV,red-optical,atomic,6,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,C V,red-optical,atomic,2,0,11,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_delbouille_liege|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
C,12C16O,NIR,molecular,28,0,10,
C,12C16O,out-of-band,molecular,52,0,0,
C,C2,VIS,molecular,39,0,8,
C,CH,VIS,molecular,6,0,8,
C,CH,out-of-band,molecular,48,0,0,
C,CN,NIR,molecular,59,0,10,
N,N I,H,atomic,5,5,5,elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
N,N I,NIR,atomic,8,8,10,solar_kpno|solar_kpno_kurucz2005_corrected|solar_iag|elgueta2026_vizier|solar_crires_plus_y_rya794|solar_vesta_crires_plus_idp|solar_kpno_molecfit_corrected|solar_iag_reiners2016|solar_crires_plus_y_wide_rya1054|solar_crires_plus_h_rya1094
