element,species,line_label,wavelength_air_A,lower_EP_eV,band,use_status,census_join_status,census_line_id,n_store_candidates,store_line_id,separation_A,verdict,store_wavelength_A,store_log_gf,store_gf_tier,store_nist_grade,store_gf_sigma_dex
C,C I,505.2nm,5052.16,7.684766,VIS,SOURCE_ANALYSIS_GRID_SET,AMBIGUOUS,,2,gf_001679|gf_001680,,AMBIGUOUS_TIE_REPORTED_NOT_PICKED,,,,,
C,C I,538.0nm,5380.34,7.684766,VIS,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_001814,1,gf_001814,-0.015,PRESENT,5380.325,-1.615,NIST-C+,B,
C,C I,658.8nm,6587.61,8.537097,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_002178,0.0,PRESENT,6587.61,-1.004365,NIST-C+,B,0.041393
C,C I,711.1nm,7111.47,8.640394,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002286,1,gf_002286,-0.009,PRESENT,7111.461,-1.091515,NIST-C+,B,0.041393
C,C I,711.3nm,7113.18,8.647158,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002287,1,gf_002287,-0.009,PRESENT,7113.171,-0.772885,NIST-C+,B,0.041393
C,C I,833.5nm,8335.14,7.684766,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002427,1,gf_002427,0.007,PRESENT,8335.147,-0.436519,NIST-C+,B+,0.029384
C,C I,872.7nm,8727.12,1.263725,red-optical,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_002448,0.019,PRESENT,8727.139,-8.154902,NIST-C+,B,0.041393
C,C I,906.1nm,9061.43,7.482772,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002484,1,gf_002484,0.0,PRESENT,9061.43,-0.346787,NIST-C+,B,0.041393
C,C I,906.2nm,9062.48,7.480392,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002485,1,gf_002485,-0.01,PRESENT,9062.47,-0.455932,NIST-C+,B,0.041393
C,C I,907.8nm,9078.28,7.482772,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002486,1,gf_002486,0.0,PRESENT,9078.28,-0.583359,NIST-C+,B,0.041393
C,C I,908.9nm,9088.5,7.482772,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002488,1,gf_002488,0.008,PRESENT,9088.508,-0.429457,NIST-C+,B,0.041393
C,C I,909.5nm,9094.82,7.487795,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002489,1,gf_002489,0.009,PRESENT,9094.829,0.146128,NIST-C+,B,0.041393
C,C I,911.2nm,9111.8,7.487795,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_002491,1,gf_002491,-0.001,PRESENT,9111.799,-0.296709,NIST-C+,B,0.041393
C,C I,940.6nm,9405.72,7.684766,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_167215,1,gf_167215,0.01,PRESENT,9405.73,0.283301,NIST-C+,B+,0.029384
C,C I,960.3nm,9603.03,7.480392,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_167259,1,gf_167259,0.0,PRESENT,9603.03,-0.896196,NIST-C+,B,0.041393
C,C I,962.1nm,9620.77,7.482772,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_167261,1,gf_167261,0.03,PRESENT,9620.8,-0.443697,NIST-C+,B,0.041393
C,C I,965.8nm,9658.42,7.487795,red-optical,SOURCE_ANALYSIS_GRID_SET,PHYSICAL_TUPLE_MATCH,gf_167273,1,gf_167273,0.02,PRESENT,9658.44,-0.279841,NIST-C+,B,0.041393
O,O I,615.6nm,6155.96,10.740225,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108766,0.0153,PRESENT,6155.9753,-0.664342,NIST-C+,B+,0.029384
O,O I,615.6nm,6155.97,10.740225,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108766,0.0053,PRESENT,6155.9753,-0.664342,NIST-C+,B+,0.029384
O,O I,615.6nm,6155.99,10.740225,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108766,-0.0147,PRESENT,6155.9753,-0.664342,NIST-C+,B+,0.029384
O,O I,615.7nm,6156.73,10.7404755,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108767,0.0363,PRESENT,6156.7663,-0.442373,NIST-C+,B+,0.029384
O,O I,615.7nm,6156.75,10.7404755,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108767,0.0163,PRESENT,6156.7663,-0.442373,NIST-C+,B+,0.029384
O,O I,615.7nm,6156.77,10.7404755,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108767,-0.0037,PRESENT,6156.7663,-0.442373,NIST-C+,B+,0.029384
O,O I,615.8nm,6158.15,10.7409313,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108768,0.037,PRESENT,6158.187,-0.409,VALD3,,
O,O I,615.8nm,6158.17,10.7409313,VIS,SOURCE_ANALYSIS_GRID_SET,ABSENT,,1,gf_108768,0.017,PRESENT,6158.187,-0.409,VALD3,,
