element,line_label,line_A,half_width_A,target_share,n_blend_rows
C,505.2nm,5052.16,0.25,0.947,4
C,505.2nm,5052.16,0.5,0.3017,9
C,505.2nm,5052.16,0.62,0.1037,13
C,505.2nm,5052.16,1.1,0.0512,27
C,505.2nm,5052.16,1.4,0.05,36
C,505.2nm,5052.16,2.0,0.0455,49
C,538.0nm,5380.34,0.25,1.0,0
C,538.0nm,5380.34,0.5,0.8478,4
C,538.0nm,5380.34,0.62,0.7156,7
C,538.0nm,5380.34,1.1,0.0382,40
C,538.0nm,5380.34,1.4,0.0331,46
C,538.0nm,5380.34,2.0,0.0216,73
C,658.8nm,6587.61,0.25,1.0,0
C,658.8nm,6587.61,0.5,0.9535,1
C,658.8nm,6587.61,0.62,0.3154,4
C,658.8nm,6587.61,1.1,0.2789,8
C,658.8nm,6587.61,1.4,0.0329,29
C,658.8nm,6587.61,2.0,0.0323,35
C,711.1nm,7111.47,0.25,0.65,3
C,711.1nm,7111.47,0.5,0.5306,5
C,711.1nm,7111.47,0.62,0.0621,12
C,711.1nm,7111.47,1.1,0.0389,15
C,711.1nm,7111.47,1.4,0.0385,18
C,711.1nm,7111.47,2.0,0.0313,31
C,711.3nm,7113.18,0.25,0.4842,9
C,711.3nm,7113.18,0.5,0.0466,33
C,711.3nm,7113.18,0.62,0.0465,34
C,711.3nm,7113.18,1.1,0.0372,37
C,711.3nm,7113.18,1.4,0.0352,38
C,711.3nm,7113.18,2.0,0.0331,47
C,833.5nm,8335.14,0.25,0.875,2
C,833.5nm,8335.14,0.5,0.8673,3
C,833.5nm,8335.14,0.62,0.7717,4
C,833.5nm,8335.14,1.1,0.5506,9
C,833.5nm,8335.14,1.4,0.5506,9
C,833.5nm,8335.14,2.0,0.5158,14
C,872.7nm,8727.12,0.25,0.9524,1
C,872.7nm,8727.12,0.5,0.9091,2
C,872.7nm,8727.12,0.62,0.9091,2
C,872.7nm,8727.12,1.1,0.0625,3
C,872.7nm,8727.12,1.4,0.0612,6
C,872.7nm,8727.12,2.0,0.0487,9
C,906.1nm,9061.43,0.25,0.9958,1
C,906.1nm,9061.43,0.5,0.9958,1
C,906.1nm,9061.43,0.62,0.9958,1
C,906.1nm,9061.43,1.1,0.3026,8
C,906.1nm,9061.43,1.4,0.3026,8
C,906.1nm,9061.43,2.0,0.301,10
C,906.2nm,9062.48,0.25,0.4078,3
C,906.2nm,9062.48,0.5,0.4078,3
C,906.2nm,9062.48,0.62,0.4071,4
