element,ion,wave_A,verdict,served_deltas,query_nodes
Fe,I,6430.846,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,I,6574.233,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,I,6609.119,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,I,6625.026,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,3884.676,TRUE_PLACEHOLDER,-0.000 -0.000 -0.000 -0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4199.09,TRUE_PLACEHOLDER,-0.000 +0.000 +0.000 NaN +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4343.275,TRUE_PLACEHOLDER,-0.000 +0.000 -0.000 +0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4361.205,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4380.74,TRUE_PLACEHOLDER,+0.000 NaN +0.000 NaN +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4455.266,TRUE_PLACEHOLDER,-0.000 +0.000 -0.000 +0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4455.85,TRUE_PLACEHOLDER,-0.000 +0.000 -0.000 +0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4461.706,TRUE_PLACEHOLDER,-0.000 +0.000 -0.000 +0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4480.688,TRUE_PLACEHOLDER,-0.000 +0.000 -0.000 NaN -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4720.15,TRUE_PLACEHOLDER,-0.000 -0.000 +0.000 -0.000 +0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4847.555,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,4893.812,TRUE_PLACEHOLDER,+0.000 +0.000 -0.000 +0.000 -0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,5732.72,TRUE_PLACEHOLDER,-0.000 -0.000 +0.000 -0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,6129.707,TRUE_PLACEHOLDER,+0.000 -0.000 -0.000 -0.000 -0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,6150.1,TRUE_PLACEHOLDER,+0.000 -0.000 +0.000 -0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,6369.375,TRUE_PLACEHOLDER,+0.000 +0.000 +0.000 +0.000 +0.000 +0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Fe,II,6432.68,TRUE_PLACEHOLDER,-0.000 -0.000 -0.000 +0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
Si,I,6253.6,TRUE_PLACEHOLDER,-0.000 -0.000 -0.000 -0.000 -0.000 -0.000,n5800g44f00;n5400g43f00;n6200g45f02;n5000g40f02m;n6600g46f035;n5800g43f00
