separation_A,depth_ratio,noise,catalogue_error_A,realisation,true_ew_A,ew_two_A,ew_one_A,err_two,err_one,interloper_depth,chi2_two,chi2_one
0.02,0.1,0.0005,0.0,0,0.03871518746591226,0.03874235497080354,0.04258957652358826,0.0007017273238106728,0.10007413914984406,0.029796014163463707,2.633353735114322e-07,2.6620104792195447e-07
0.02,0.1,0.0005,0.0,1,0.03871518746591226,0.03992491978238484,0.042565384588339576,0.03124697039211604,0.09944926976828716,0.02040391044129416,2.0896483937194764e-07,2.1010548617560666e-07
0.02,0.1,0.0005,0.0,2,0.03871518746591226,0.04248262957861345,0.04262375525285397,0.0973117362796791,0.10095696399205376,0.001084842714131936,2.5595158181652544e-07,2.5530791645535045e-07
0.02,0.1,0.0005,0.0,3,0.03871518746591226,0.03953142419631347,0.042588405383851516,0.021083114504350145,0.10004388901253618,0.023639458164906757,2.2186367715007092e-07,2.236606380166026e-07
0.02,0.1,0.0005,0.0,4,0.03871518746591226,0.03906969018556527,0.04257907978160255,0.009156683535760768,0.09980301190824281,0.027156932858661085,2.50231448350155e-07,2.526768935542537e-07
0.02,0.1,0.0005,0.0,5,0.03871518746591226,0.04025644116628709,0.04260290133459314,0.03981005391571121,0.10041831444323804,0.018110266549252185,2.567192741823489e-07,2.573873512221562e-07
0.02,0.1,0.0005,0.0,6,0.03871518746591226,0.04079167604937235,0.042602872191732546,0.05363498718141013,0.10041756169315455,0.01397362969645985,2.6794025535308894e-07,2.68062814707405e-07
0.02,0.1,0.0005,0.0,7,0.03871518746591226,0.038920715147167044,0.04258381592105998,0.005308709442147158,0.09992534476435,0.028369264720390672,2.7867557235218035e-07,2.812485738840219e-07
0.02,0.1,0.0005,0.0,8,0.03871518746591226,0.03753788613637489,0.0426033631197428,0.030409289134243563,0.100430242195107,0.039321969804364816,2.3498645500976644e-07,2.406636945707442e-07
0.02,0.1,0.0005,0.0,9,0.03871518746591226,0.03849659528434813,0.04261312252736114,0.005646160999648866,0.10068232434315118,0.0318932269689506,2.7208611091777017e-07,2.755073748915347e-07
0.02,0.1,0.0005,0.0,10,0.03871518746591226,0.03526361613432057,0.042590108990933066,0.08915290245283472,0.1000878925985462,0.057184626609198666,2.380761157021033e-07,2.5080989117958325e-07
0.02,0.1,0.0005,0.0,11,0.03871518746591226,0.03762752103427303,0.042607792066551166,0.028094050496252618,0.10054464037055864,0.03864937302166779,2.437202431998551e-07,2.4983995133820824e-07
0.02,0.1,0.0005,0.01,0,0.03871518746591226,0.04024688959174887,0.04260995444053681,0.039563340024770376,0.100600493748191,0.01828771300179475,2.539773293037854e-07,2.7114629276725037e-07
0.02,0.1,0.0005,0.01,1,0.03871518746591226,0.042018604211153346,0.04257135936824618,0.08532612035392215,0.09960359628192897,0.004244843632259777,2.47349769514837e-07,2.4765073218637857e-07
0.02,0.1,0.0005,0.01,2,0.03871518746591226,0.04174669255991806,0.0426020677158111,0.07830273575906002,0.10039678235630757,0.006577780466319002,2.236028816957824e-07,2.252802924469046e-07
0.02,0.1,0.0005,0.01,3,0.03871518746591226,0.041982864297765446,0.04262639014626388,0.08440297066184413,0.10102502238418294,0.004940795526030252,2.1137957854806646e-07,2.1211998944669085e-07
0.02,0.1,0.0005,0.01,4,0.03871518746591226,0.04059955573742358,0.04257989745956205,0.04867258548523014,0.09982413224919981,0.015310372616257778,2.2401987669785177e-07,2.3567466681672664e-07
0.02,0.1,0.0005,0.01,5,0.03871518746591226,0.04154437130424306,0.04257592825320053,0.07307684718876344,0.09972160901164576,0.007941058590366604,2.8012505222060836e-07,2.8269077810250053e-07
0.02,0.1,0.0005,0.01,6,0.03871518746591226,0.04132351103980366,0.042583711365897836,0.0673721023871566,0.0999226441404091,0.009706255202160466,2.3414170993120426e-07,2.3843386766492954e-07
0.02,0.1,0.0005,0.01,7,0.03871518746591226,0.04086940996746581,0.042630183472704516,0.05564282759705842,0.10112300270376613,0.01358743130052872,2.494965260503822e-07,2.586424646224714e-07
0.02,0.1,0.0005,0.01,8,0.03871518746591226,0.042344621470758896,0.042590060600096874,0.09374703423668715,0.10008664267986157,0.0018829667125873264,2.3551049484998503e-07,2.350974033548873e-07
0.02,0.1,0.0005,0.01,9,0.03871518746591226,0.042199539120290244,0.04256561149637625,0.08999960693580185,0.09945513072496914,0.0028108704116381875,2.825838553219718e-07,2.8227641431568497e-07
0.02,0.1,0.0005,0.01,10,0.03871518746591226,0.04237298001824652,0.04260197820393263,0.09447952578183576,0.1003944702952193,0.0017559720400425742,2.41219078760732e-07,2.40761808588278e-07
0.02,0.1,0.0005,0.01,11,0.03871518746591226,0.04180253051283396,0.04258510225445047,0.07974501091180378,0.09995857031418409,0.006015898413465601,2.758725546795336e-07,2.7704706345216307e-07
0.02,0.1,0.0005,0.03,0,0.03871518746591226,0.04237303271884371,0.04263156864580703,0.0944808870201673,0.10115878124942682,0.001935121526852928,2.4175015031198994e-07,2.447130348847109e-07
0.02,0.1,0.0005,0.03,1,0.03871518746591226,0.042295619536448656,0.04260532786653022,0.09248133109748925,0.10048099093006156,0.00231983781997618,2.63736834889655e-07,2.682211999720915e-07
0.02,0.1,0.0005,0.03,2,0.03871518746591226,0.0422142792274675,0.04257196697651583,0.09038033884340868,0.09961929059492138,0.002681600160992178,2.623970184499234e-07,2.6863324873321064e-07
