src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:29.441.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2023-06-01T16:03:04.239.fits,UVES,REVIEW,LABEL-UNVERIFIED(target='14392810-6050040'),14392810-6050040
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:06.008.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:41.867.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:24.350.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:39.776.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:02.801.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:23.727.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:44.001.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:43.529.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:43.791.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:43.382.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:04.893.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:25.613.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:17.046.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2023-06-01T16:03:04.238.fits,UVES,REVIEW,LABEL-UNVERIFIED(target='14392810-6050040'),14392810-6050040
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:17.953.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:43.169.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:02.667.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:22.849.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:28.060.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:04.174.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:53.295.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:25.897.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:25.194.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:05.207.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:43.691.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:50:24.992.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:04.587.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:28.935.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T11:42:06.644.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:41.726.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:40.180.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:42.561.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:40.382.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:51.586.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:15.011.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-11T18:08:28.275.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2021-09-17T13:37:16.346.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-11-09T10:49:49.679.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T17:07:43.893.fits,UVES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/Alpha Centauri B ESO/ADP.2020-08-04T18:37:42.809.fits,UVES,DUP,dedup,
