src,instr,star,method,target
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210117.1200.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210114.1193.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210113.1182.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210203.1179.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210119.1185.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210107.1198.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210109.1196.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210124.1186.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210106.1191.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210111.1193.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210119.1186.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210105.1185.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210109.1195.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210124.1185.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210123.1194.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210118.1180.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210110.1195.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210108.1193.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210201.1187.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210201.1168.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210113.1181.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210107.1197.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210203.1177.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210201.1169.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210114.1191.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210108.1192.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210118.1181.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210110.1194.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210105.1184.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210111.1192.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210106.1190.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210110.1193.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210127.1158.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210128.1275.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210130.1176.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210116.1192.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210105.1183.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210112.1197.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210115.1190.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210124.1183.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210131.1166.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210123.1192.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210123.1193.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210125.1188.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210112.1196.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210116.1193.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210117.1199.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/CHIRON/chi210104.1192.fits,CHIRON,REVIEW,LABEL-UNVERIFIED(target=''),
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-10-09T12:32:23.101.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-09-05T15:08:28.814.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-09-05T14:24:19.442.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2024-09-04T14:27:45.986.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2025-11-12T13:32:27.598.fits,CRIRES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2024-04-09T09:21:59.066.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-09-05T14:56:59.399.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-07-10T13:16:59.844.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2025-11-12T13:32:27.604.fits,CRIRES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2025-11-12T13:32:27.607.fits,CRIRES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-09-05T14:59:03.127.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-10-09T12:36:20.722.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2024-07-05T15:44:32.458.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2024-07-05T15:23:01.579.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-09-05T15:10:26.671.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-10-09T12:34:19.306.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2025-11-12T13:32:27.601.fits,CRIRES,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2024-07-05T15:36:08.167.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/ESO download/ADP.2023-09-05T15:00:54.599.fits,ESPRESSO,A,"depth-CONFIRMED-A(ESPRESSO, RYA-384)",alf Cen B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20060320S0149.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen 10 um
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20040507S0048.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20040509S0101.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen A/B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20040507S0049.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20040508S0055.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen A/B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20040508S0079.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen A/B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20100628S0089.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20060629S0097.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20100628S0090.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20040506S0092.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20100628S0089.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20100628S0090.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),HD128620
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20060629S0097.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20040506S0092.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20050202S0074.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha 1 Centaurus
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20060320S0149.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen 10 um
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20050202S0073.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha 1 Centaurus
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20040509S0101.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen A/B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20040507S0048.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/rS20040507S0049.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20050203S0097.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha 1 Centaurus
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20040508S0079.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen A/B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/GEMINI/S20040508S0055.fits,TReCS-midIR,NOT-FOR-ABUNDANCES,instrument (mid-IR/raw),alpha Cen A/B
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ocre10050/ocre10050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oeae10030/oeae10030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oevg11030/oevg11030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ocre10060/ocre10060_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oeqw10020/oeqw10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ob8w01050/ob8w01050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ocre11060/ocre11060_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oeqw11020/oeqw11020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02070/o53p02070_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ob8w02040/ob8w02040_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ocre11050/ocre11050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oevg10030/oevg10030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02040/o53p02040_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ob8w02030/ob8w02030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ocre11020/ocre11020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02030/o53p02030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ocre10020/ocre10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/octr10020/octr10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/od5c11020/od5c11020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oduz10020/oduz10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02020/o53p02020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/octr11020/octr11020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/odzy10050/odzy10050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02010/o53p02010_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/od5c10020/od5c10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/octr11060/octr11060_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oevg10020/oevg10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02050/o53p02050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/od5c10060/od5c10060_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/ob8w01040/ob8w01040_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oeqw11030/oeqw11030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/octr11050/octr11050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/odzy10020/odzy10020_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/o53p02060/o53p02060_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/od5c10050/od5c10050_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
/Users/ryanschmitt/Documents/Exoplanet Codex/data/spectra/exoplanetcodex-data/Alpha Centauri B/nuv-e230h/mastDownload/HST/oeqw10030/oeqw10030_x1d.fits,HST-STIS-NUV-E230H,DUP,dedup,
