band,species,wave_A,ep_eV,loggf,reached
Y,TiI,9832.14,1.887,-1.13,True
Y,SiI,9887.047,6.223,-1.326,True
Y,SiI,9891.725,6.125,-1.321,True
Y,NiI,9898.928,4.236,-1.249,True
Y,CrI,9949.073,3.556,-1.093,True
Y,MgI,9986.475,5.932,-1.676,True
Y,MgI,9993.209,5.933,-1.455,True
Y,SiI,10025.743,6.083,-1.79,True
Y,SrII,10036.653,1.805,-1.189,True
Y,SiI,10068.329,6.099,-1.318,True
Y,CI,10123.87,8.537,-0.031,True
Y,SiI,10288.944,4.92,-1.511,True
Y,NiI,10302.611,4.266,-0.881,True
Y,SiI,10313.197,6.399,-0.886,True
Y,CaI,10343.819,2.933,-0.3,True
Y,TiI,10396.8,0.848,-1.539,True
Y,SiI,10407.037,6.616,-0.597,True
Y,SiI,10414.913,6.619,-1.137,True
Y,SI,10456.79,6.86,-0.447,True
Y,SI,10459.46,6.86,0.03,True
Y,CrI,10486.25,3.011,-0.953,True
Y,CrI,10510.01,3.013,-1.539,True
Y,PI,10529.524,6.954,0.24,True
Y,CI,10541.24,8.537,-1.398,True
Y,PI,10581.577,6.985,0.45,True
Y,SiI,10582.16,6.223,-1.169,True
Y,SiI,10627.648,5.862,-0.866,True
Y,CrI,10647.64,3.011,-1.585,True
Y,SiI,10660.973,4.92,-0.266,True
Y,CrI,10672.14,3.013,-1.358,True
Y,CI,10683.08,7.483,0.079,True
Y,CI,10685.34,7.48,-0.272,True
Y,SiI,10689.716,5.954,-0.12,True
Y,CI,10691.25,7.488,0.344,True
Y,SiI,10694.251,5.964,0.048,True
Y,CI,10707.32,7.483,-0.411,True
Y,SiI,10727.406,5.984,0.217,True
Y,CI,10729.53,7.488,-0.42,True
Y,SiI,10749.378,4.93,-0.205,True
Y,SiI,10784.562,5.964,-0.839,True
Y,SiI,10786.849,4.93,-0.303,True
Y,SiI,10796.106,6.181,-1.266,True
J,CI,11801.08,8.647,-0.735,True
J,MgI,11828.171,4.346,-0.333,True
J,CI,11848.71,8.643,-0.697,True
J,CI,11863.01,8.64,-0.71,True
J,SiI,11863.92,5.984,-1.457,True
J,CI,11879.58,8.64,-0.61,True
J,SiI,11900.055,5.964,-1.864,True
J,CaI,11955.955,4.131,-0.849,True
J,SiI,11991.568,4.92,-0.109,True
J,SiI,12031.504,4.954,0.477,True
J,MgI,12039.822,5.753,-1.53,True
J,FeI,12053.082,4.559,-1.543,True
J,SiI,12103.534,4.93,-0.35,True
J,SiI,12110.659,6.616,-0.136,True
J,SiI,12175.733,6.619,-0.855,True
J,SiI,12178.339,6.269,-1.1,True
J,SiI,12189.241,6.616,-1.005,True
J,FeI,12190.098,3.635,-2.33,True
J,FeI,12227.112,4.607,-1.368,True
J,SiI,12270.692,4.954,-0.396,True
J,FeI,12283.298,6.169,-0.537,True
J,FeI,12297.197,6.325,-0.278,True
J,FeI,12342.916,4.638,-1.463,True
J,SiI,12390.154,5.082,-1.767,True
J,SiI,12395.832,4.954,-1.644,True
J,MgI,12417.937,5.931,-1.664,True
J,MgI,12423.029,5.932,-1.188,True
J,MgI,12433.452,5.933,-0.967,True
J,SiI,12439.963,5.082,-2.732,True
J,CrI,12532.84,2.709,-1.887,True
J,CI,12549.49,8.847,-0.565,True
J,FeI,12556.996,2.279,-3.626,True
J,CI,12562.12,8.848,-0.522,True
J,CI,12569.04,8.848,-0.598,True
J,CI,12581.59,8.848,-0.536,True
J,SiI,12583.924,6.616,-0.462,True
J,CI,12601.49,8.851,-0.443,True
J,CI,12614.1,8.851,0.049,True
J,FeI,12615.928,4.638,-1.517,True
J,FeI,12638.703,4.559,-0.783,True
J,FeI,12648.741,4.607,-1.14,True
J,FeI,12807.152,3.64,-2.452,True
J,FeI,12808.243,4.988,-1.362,True
J,TiI,12831.445,1.43,-1.49,True
J,FeI,12840.574,4.956,-1.329,True
J,TiI,12847.034,1.443,-1.33,True
J,FeI,12879.766,2.279,-3.458,True
J,FeI,12896.118,4.913,-1.424,True
J,CaI,12909.07,4.43,-0.224,True
J,CrI,12910.09,2.708,-1.789,True
J,FeI,12933.006,5.02,-1.548,True
J,FeI,12934.666,5.393,-0.948,True
J,FeI,13014.841,5.446,-1.693,True
J,CaI,13033.555,4.441,-0.064,True
J,FeI,13039.647,5.655,-0.731,True
J,NiI,13048.181,4.538,-1.008,True
J,ZnI,13053.627,6.654,0.34,True
J,FeI,13098.876,5.01,-1.29,True
J,MgI,13117.156,6.118,-1.93,True
J,CaI,13134.942,4.451,0.085,True
J,FeI,13147.92,5.393,-0.814,True
J,SiI,13152.743,4.92,-2.504,True
J,SiI,13154.531,6.616,-0.997,True
H,MgI,15024.997,5.108,0.357,True
H,MgI,15040.246,5.108,0.135,True
H,KI,15168.376,2.67,0.48,True
H,NiI,15173.584,5.488,-0.547,True
H,SiI,15376.831,6.223,-0.691,True
H,SI,15400.077,8.699,0.55,True
H,SI,15469.816,8.045,-0.05,True
H,SI,15478.482,8.046,0.18,True
H,MgI,15740.706,5.931,-0.212,True
H,NiI,15753.606,5.469,-0.602,True
H,CI,16021.7,9.631,0.222,True
H,FeI,16042.716,6.266,0.353,True
H,FeI,16051.734,6.264,-0.942,True
H,FeI,16070.18,5.956,-0.569,True
H,FeI,16073.87,6.349,-0.604,True
H,FeI,16100.281,6.351,-0.043,True
H,FeI,16102.408,5.874,0.546,True
H,FeI,16115.966,6.39,0.433,True
H,FeI,16123.212,6.351,-0.521,True
H,FeI,16125.899,6.351,0.86,True
H,SiI,16129.015,7.139,-0.659,True
H,NiI,16136.096,5.488,-0.003,True
H,CaI,16136.823,4.531,-0.363,True
H,CaI,16150.762,4.532,-0.032,True
H,FeI,16153.247,5.352,-0.685,True
H,CaI,16155.236,4.532,-0.496,True
H,SiI,16163.691,5.954,-0.862,True
H,FeI,16165.029,6.319,0.988,True
H,SiI,16170.164,6.734,-1.427,True
H,FeI,16171.93,6.38,-0.445,True
H,FeI,16174.975,6.38,0.185,True
H,FeI,16177.991,6.38,-0.402,True
H,FeI,16179.583,6.319,0.261,True
H,FeI,16180.9,6.275,0.295,True
H,FeI,16185.799,6.394,0.264,True
H,FeI,16316.32,6.28,1.073,True
H,FeI,16331.524,5.979,-0.392,True
H,FeI,16345.494,6.474,-0.82,True
H,SiI,16346.857,7.113,-1.088,True
H,NiI,16363.103,5.282,0.588,True
H,FeI,16377.388,6.365,-0.465,True
H,FeI,16394.389,5.956,0.358,True
H,CI,16419.33,9.331,-0.713,True
H,SiI,16434.927,5.964,-1.187,True
H,FeI,16444.816,5.828,0.663,True
H,FeI,16466.921,6.394,0.003,True
H,FeI,16476.933,6.286,-0.592,True
H,FeI,16481.228,6.394,-0.162,True
H,FeI,16506.293,5.946,-0.463,True
H,FeI,16517.223,6.287,0.679,True
H,FeI,16524.466,6.336,0.688,True
H,NiI,16536.156,6.04,-0.156,True
H,FeI,16537.994,6.287,-0.867,True
H,FeI,16539.193,6.336,-0.119,True
H,FeI,16544.667,6.336,-0.029,True
H,NiI,16550.383,6.217,0.266,True
H,FeI,16612.761,6.398,0.286,True
H,FeI,16645.874,5.956,-0.032,True
H,FeI,16665.481,6.017,-0.039,True
H,FeI,16724.685,6.38,-0.408,True
H,FeI,16725.44,6.38,-0.561,True
H,SiI,16828.159,5.984,-1.028,True
H,FeI,16837.877,6.411,-0.384,True
H,CI,16890.38,9.003,0.57,True
H,FeI,16898.883,6.306,-0.908,True
H,FeI,16927.611,6.427,-0.163,True
H,SiI,16957.794,7.092,-1.068,True
