wave_A,klass,A,chi2,synth_depth,obs_depth,n_pix,a_lo,a_hi
10145.561,ctrl,6.4959999999999996,24866.250452734508,0.20523859895850094,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,6.9959999999999996,18685.91839963829,0.31504872659870975,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,7.4959999999999996,16955.337181674928,0.3966532635687726,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,7.7459999999999996,17633.886741588452,0.4288260430617761,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,7.9959999999999996,19183.59927303899,0.4572079552112721,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,8.245999999999999,21410.907841431203,0.4829298330604427,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,8.495999999999999,24153.968407929984,0.5067910011281739,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,8.995999999999999,31263.366323441012,0.5502999008064791,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,9.495999999999999,42207.736240586935,0.5871878734123122,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,9.995999999999999,58426.162100479385,0.6133478062328098,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,10.495999999999999,74531.50695210943,0.6263908283010555,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,11.495999999999999,87308.29128997,0.6317147256810727,0.42196999999999996,236,4.4959999999999996,12.495999999999999
10145.561,ctrl,12.495999999999999,88898.00665988712,0.6320784258329424,0.42196999999999996,236,4.4959999999999996,12.495999999999999
11119.795,ctrl,6.4959999999999996,318999.65379518055,0.1914625607186614,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,6.9959999999999996,314335.6914764849,0.3005850313679035,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,7.4959999999999996,312347.93142427306,0.38368058815223893,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,7.7459999999999996,312029.2340244384,0.4180825867397795,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,7.9959999999999996,312089.27397974615,0.4492882744162574,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,8.245999999999999,312529.5924941957,0.47791284973452564,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,8.495999999999999,313350.2629081171,0.504336545859069,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,8.995999999999999,316034.58104627253,0.5510923183537901,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,9.495999999999999,319623.8824569483,0.588698267538717,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,9.995999999999999,323007.0497908541,0.6138024044846349,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,10.495999999999999,324959.1461555795,0.6247389364576019,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,11.495999999999999,325711.20215379074,0.627359588603271,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11119.795,ctrl,12.495999999999999,325744.1641879368,0.6272815353337455,0.39876999999999996,267,4.4959999999999996,12.495999999999999
11572.523,ctrl,6.4959999999999996,130902.19700013606,0.04676146905750378,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,6.9959999999999996,127584.05287011918,0.11685095932832601,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,7.4959999999999996,124445.04639608963,0.22105674683275356,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,7.7459999999999996,123738.79106204431,0.27056461690574984,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,7.9959999999999996,123570.69473780917,0.3123683434857688,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,8.245999999999999,123753.9449190583,0.3468252440056031,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,8.495999999999999,124152.33198357766,0.3758039508374572,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,8.995999999999999,125321.83555011248,0.4233127831338074,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,9.495999999999999,126612.35070104216,0.4595853854919615,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,9.995999999999999,127212.7332643337,0.4807850041121221,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,10.495999999999999,126686.54463087034,0.48584363992059254,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,11.495999999999999,125490.2792969437,0.48202242274297435,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11572.523,ctrl,12.495999999999999,125278.13424301294,0.48096918875195316,0.23828000000000005,181,4.4959999999999996,12.495999999999999
11593.588,RAIL,6.4959999999999996,301463.72344857256,0.28297600568981607,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,6.9959999999999996,287604.30845802015,0.37238991327422943,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,7.4959999999999996,271414.40776083205,0.4426254021103285,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,7.7459999999999996,262498.0349876356,0.47334224327186203,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,7.9959999999999996,253960.53765789323,0.5016650246758778,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,8.245999999999999,246506.47905541875,0.5278315410628929,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,8.495999999999999,240395.13115876468,0.5520611459108137,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,8.995999999999999,231693.992807392,0.5951691043239893,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,9.495999999999999,225960.84644149395,0.6297592999190951,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,9.995999999999999,221637.44779958058,0.650621119482665,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,10.495999999999999,219463.09718194886,0.6562094798875305,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,11.495999999999999,222583.47084749967,0.6533822626144712,0.58829,180,4.4959999999999996,12.495999999999999
11593.588,RAIL,12.495999999999999,224307.1760186069,0.6524996861923674,0.58829,180,4.4959999999999996,12.495999999999999
11689.972,RAIL,6.4959999999999996,57551.431965539115,0.3710990925832347,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,6.9959999999999996,53057.484025515216,0.4403210410896623,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,7.4959999999999996,49372.55499551506,0.49850017255195334,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,7.7459999999999996,47740.59270337456,0.5245617114758353,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,7.9959999999999996,46344.98535500304,0.5488723931737245,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,8.245999999999999,45296.276209353455,0.571598786197278,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,8.495999999999999,44657.55842473669,0.5929426746217149,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,8.995999999999999,44481.58687216925,0.631313954025688,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,9.495999999999999,44971.05668811682,0.6606277906970452,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,9.995999999999999,44888.531595311055,0.6747046678733293,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,10.495999999999999,44052.155747394965,0.6746238926928725,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,11.495999999999999,43068.76547561289,0.6677039795088155,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11689.972,RAIL,12.495999999999999,42935.87210495916,0.6663083684581943,0.5386299999999999,177,4.4959999999999996,12.495999999999999
11973.046,RAIL,6.4959999999999996,128613.69591238782,0.4468331882145483,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,6.9959999999999996,105604.56911138554,0.5077017150905869,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,7.4959999999999996,79439.83332807178,0.5600759929571003,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,7.7459999999999996,67784.56507058628,0.583234424098126,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,7.9959999999999996,58567.29872020432,0.6047465994883574,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,8.245999999999999,52012.68658401969,0.6248442593433843,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,8.495999999999999,47628.304920576884,0.6434432207789307,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,8.995999999999999,42481.75746639041,0.6740725802363325,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,9.495999999999999,39087.514825891936,0.6917041557221104,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,9.995999999999999,37367.43346388237,0.6946905793484168,0.7198100000000001,169,4.4959999999999996,12.495999999999999
11973.046,RAIL,10.495999999999999,38146.677358126486,0.6879154674546983,0.7198100000000001,169,4.4959999999999996,12.495999999999999
