element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ew_inversion
Fe,I,10065.045,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.547,,1D-LTE,True,,False
Fe,I,10145.561,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.452,,1D-LTE,True,,False
Fe,I,10216.313,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.5,,1D-LTE,True,,False
Fe,I,10340.885,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.446,,1D-LTE,True,,False
Fe,I,10347.965,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.306,,1D-LTE,True,,False
Fe,I,10395.794,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.492,,1D-LTE,True,,False
Fe,I,10423.743,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.385,,1D-LTE,True,,False
Fe,I,10469.652,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.437,,1D-LTE,True,,False
Fe,I,10532.234,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.353,,1D-LTE,True,,False
Fe,I,10717.806,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",6.449,,1D-LTE,True,,False
Fe,I,10753.004,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.272,,1D-LTE,True,,False
Fe,I,10783.05,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.324,,1D-LTE,True,,False
Fe,I,10818.274,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.296,,1D-LTE,True,,False
Fe,I,10863.518,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.689,,1D-LTE,True,,False
Fe,I,10884.263,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.308,,1D-LTE,True,,False
Fe,I,10896.299,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.305,,1D-LTE,True,,False
Fe,I,11119.795,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.833,,1D-LTE,True,,False
Fe,I,11572.523,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.979,,1D-LTE,True,,False
Fe,I,11593.588,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",10.559,,1D-LTE,True,,False
Fe,I,11607.572,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.55,,1D-LTE,True,,False
Fe,I,11638.26,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.517,,1D-LTE,True,,False
Fe,I,11689.972,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",12.486,,1D-LTE,False,SYNTHESIS: edge_pinned,False
Fe,I,11783.265,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.949,,1D-LTE,True,,False
Fe,I,11882.844,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.851,,1D-LTE,True,,False
Fe,I,11973.046,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",10.056,,1D-LTE,True,,False
Fe,I,12190.098,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.736,,1D-LTE,True,,False
Fe,I,12227.112,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.419,,1D-LTE,True,,False
Fe,I,12342.916,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.438,,1D-LTE,True,,False
Fe,I,12556.996,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.307,,1D-LTE,True,,False
Fe,I,12615.928,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.702,,1D-LTE,True,,False
Fe,I,12638.703,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",12.486,,1D-LTE,True,,False
Fe,I,12648.741,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",12.489,,1D-LTE,False,SYNTHESIS: edge_pinned,False
