centroid_A,ep_mean_eV,n_components,n_isotopes,isotopes,n_isotopes_catalogued,naive_total,per_isotope_total,per_isotope_spread,line_id,physical_id,species,wavelength_air_A,excitation_potential_eV,published_log_gf,sibling_gf_linelist_vald,loggf_reference,gf_tier,offset_dex,log10_n_isotopes,offset_minus_log10n,form_A,published_equals_naive,verdict,reason,corrected_log_gf,correction_term,sibling_residual
4811.341029885789,0.064,17,7,142;143;144;145;146;148;150,7,-0.294923,-1.140021,0.000112,gf_098680,pk_15301bb84143,Nd II,4811.342,0.064,-1.14,-1.14,VALD3,VALD3,2.1e-05,0.845098,-0.84507661,True,False,NOT_BUILT_BY_NAIVE_SUM,published -1.1400 is not the naive cluster sum -0.2949; this row took another column and is already correct or differs for another reason,,,
4902.029365553251,0.064,17,7,142;143;144;145;146;148;150,7,-0.494923,-1.340021,0.000112,gf_098701,pk_04b0a8b35de1,Nd II,4902.0294,0.064,-0.4949,-1.34,HLSC,OTHER,0.845121,0.845098,2.339e-05,True,True,CORRECT,,-1.34,-0.845098,-2.1e-05
4959.111878079435,0.064,17,7,142;143;144;145;146;148;150,7,0.045077,-0.800021,0.000112,gf_098716,pk_d90869b8d9f1,Nd II,4959.1119,0.064,0.0451,-0.8,HLSC,OTHER,0.845121,0.845098,2.339e-05,True,True,CORRECT,,-0.8,-0.845098,-2.1e-05
8530.537265825858,0.06400000000000002,21,7,142;143;144;145;146;148;150,7,-2.764932,-3.61003,0.000106,gf_099143,pk_051eaefc09e2,Nd II,8530.5373,0.064,-2.7649,,MC,OTHER,0.84513,0.845098,3.219e-05,True,True,CORRECT,,-3.61,-0.845098,
5143.333635795868,0.182,18,7,142;143;144;145;146;148;150,7,-0.724909,-1.570007,6.1e-05,gf_098752,pk_c1596741d67f,Nd II,5143.3336,0.182,-0.7249,-1.57,HLSC,OTHER,0.845107,0.845098,8.69e-06,True,True,CORRECT,,-1.57,-0.845098,-7e-06
4943.899700035751,0.205,9,7,142;143;144;145;146;148;150,7,-0.79495,-1.640048,0.000274,gf_098711,pk_ea1c34749f5d,Nd II,4943.8997,0.205,-0.7949,-1.64,MC,OTHER,0.845148,0.845098,4.952e-05,True,True,CORRECT,,-1.64,-0.845098,-4.8e-05
5089.831414180695,0.205,9,7,142;143;144;145;146;148;150,7,-0.31495,-1.160048,0.000274,gf_098739,pk_6adc3da1e746,Nd II,5089.8314,0.205,-0.3149,-1.16,MC,OTHER,0.845148,0.845098,4.952e-05,True,True,CORRECT,,-1.16,-0.845098,-4.8e-05
5212.358556943989,0.205,9,7,142;143;144;145;146;148;150,7,-0.11495,-0.960048,0.000274,gf_098767,pk_8ab9692e6947,Nd II,5212.3586,0.205,-0.1149,-0.96,HLSC,OTHER,0.845148,0.845098,4.952e-05,True,True,CORRECT,,-0.96,-0.845098,-4.8e-05
5255.499190726152,0.205,9,7,142;143;144;145;146;148;150,7,0.17505,-0.670048,0.000274,gf_098777,pk_1d1e331397b1,Nd II,5255.4992,0.205,0.1751,-0.67,HLSC,OTHER,0.845148,0.845098,4.952e-05,True,True,CORRECT,,-0.67,-0.845098,-4.8e-05
4859.026992451099,0.32100000000000006,13,7,142;143;144;145;146;148;150,7,0.405058,-0.44004,0.000165,gf_098693,pk_88a8f2250777,Nd II,4859.027,0.321,0.4051,-0.44,HLSC,OTHER,0.84514,0.845098,4.2e-05,True,True,CORRECT,,-0.44,-0.845098,-4e-05
4970.908457310923,0.32100000000000006,14,7,142;143;144;145;146;148;150,7,-0.544925,-1.390023,0.000177,gf_098720,pk_72aa095268ae,Nd II,4970.9085,0.321,-0.5449,-1.39,HLSC,OTHER,0.845123,0.845098,2.509e-05,True,True,CORRECT,,-1.39,-0.845098,-2.3e-05
4914.377356929206,0.37999999999999995,12,7,142;143;144;145;146;148;150,7,0.145105,-0.699993,0.000261,gf_098702,pk_b22b29761913,Nd II,4914.3774,0.38,0.1451,-0.7,HLSC,OTHER,0.845093,0.845098,-5.36e-06,True,True,CORRECT,,-0.7,-0.845098,7e-06
5092.784067410507,0.37999999999999995,12,7,142;143;144;145;146;148;150,7,0.235103,-0.609995,9e-05,gf_098740,pk_d138da083dba,Nd II,5092.7841,0.38,0.2351,-0.61,HLSC,OTHER,0.845095,0.845098,-2.77e-06,True,True,CORRECT,,-0.61,-0.845098,5e-06
4849.061285714286,0.47100000000000003,7,7,142;143;144;145;146;148;150,7,-0.244902,-1.09,0.0,gf_098692,pk_630f0ecde641,Nd II,4849.0613,0.471,-0.2449,-1.09,MC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-1.09,-0.845098,0.0
5234.19565143129,0.55,10,7,142;143;144;145;146;148;150,7,0.335059,-0.510039,0.000585,gf_098773,pk_1aedfbdbc40e,Nd II,5234.1957,0.55,0.3351,-0.51,HLSC,OTHER,0.845139,0.845098,4.112e-05,True,True,CORRECT,,-0.51,-0.845098,-3.9e-05
5319.815047282244,0.55,10,7,142;143;144;145;146;148;150,7,0.705146,-0.139952,0.000193,gf_098793,pk_4d0c182ad640,Nd II,5319.81,0.55,-0.14,-0.14,VALD3,VALD3,-4.8e-05,0.845098,-0.84514572,True,False,NOT_BUILT_BY_NAIVE_SUM,published -0.1400 is not the naive cluster sum +0.7051; this row took another column and is already correct or differs for another reason,,,
5548.432729082264,0.55,10,7,142;143;144;145;146;148;150,7,-0.424916,-1.270015,0.000382,gf_098843,pk_22e9e57c9a02,Nd II,5548.4327,0.55,-0.4249,-1.27,HLSC,OTHER,0.845115,0.845098,1.65e-05,True,True,CORRECT,,-1.27,-0.845098,-1.5e-05
4947.0169762982105,0.559,15,7,142;143;144;145;146;148;150,7,-0.284899,-1.129997,0.000118,gf_098713,pk_4ed54251cc95,Nd II,4947.017,0.559,-0.2849,-1.13,HLSC,OTHER,0.845097,0.845098,-1.38e-06,True,True,CORRECT,,-1.13,-0.845098,3e-06
5132.325612588198,0.559,15,7,142;143;144;145;146;148;150,7,0.135102,-0.709996,0.000124,gf_098750,pk_b35909b9d3a6,Nd II,5132.3256,0.559,0.1351,-0.71,HLSC,OTHER,0.845096,0.845098,-2.11e-06,True,True,CORRECT,,-0.71,-0.845098,4e-06
5200.118428571429,0.559,7,7,142;143;144;145;146;148;150,7,0.355098,-0.49,0.0,gf_098766,pk_4fa739cd95ef,Nd II,5200.1184,0.559,0.3551,-0.49,MC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-0.49,-0.845098,-0.0
5361.192862853354,0.559,17,7,142;143;144;145;146;148;150,7,-0.634898,-1.479996,0.000103,gf_098802,pk_a8e41aff8ca9,Nd II,5361.1929,0.559,-0.6349,,HLSC,OTHER,0.845096,0.845098,-1.65e-06,True,True,CORRECT,,-1.48,-0.845098,
5533.8167142857155,0.559,7,7,142;143;144;145;146;148;150,7,-0.384902,-1.23,0.0,gf_098839,pk_8c54bc9dafcc,Nd II,5533.8167,0.559,-0.3849,-1.23,HLSC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-1.23,-0.845098,-0.0
5882.7815714285725,0.559,7,7,142;143;144;145;146;148;150,7,-0.844902,-1.69,0.0,gf_098909,pk_1a53266dd98b,Nd II,5882.7816,0.559,-0.8449,-1.69,MC,OTHER,0.8451,0.845098,1.96e-06,True,True,CORRECT,,-1.69,-0.845098,0.0
4961.3869989066925,0.631,20,7,142;143;144;145;146;148;150,7,0.135107,-0.709991,3.8e-05,gf_098717,pk_d95a618e8aa6,Nd II,4961.387,0.631,0.1351,-0.71,MC,OTHER,0.845091,0.845098,-7.41e-06,True,True,CORRECT,,-0.71,-0.845098,9e-06
